Orthogroup	Lymph_LDV1_L63545.1	Daphi_LS484712.1
OG0000000	Lymph_LDV1_L63545.1_00007	Daphi_LS484712.1_00114
OG0000001	Lymph_LDV1_L63545.1_00079	Daphi_LS484712.1_00142
OG0000002	Lymph_LDV1_L63545.1_00035	Daphi_LS484712.1_00095
OG0000003	Lymph_LDV1_L63545.1_00076	Daphi_LS484712.1_00187
OG0000005	Lymph_LDV1_L63545.1_00090	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234
OG0000006	Lymph_LDV1_L63545.1_00108	Daphi_LS484712.1_00248
OG0000007	Lymph_LDV1_L63545.1_00093	Daphi_LS484712.1_00040
OG0000008	Lymph_LDV1_L63545.1_00024	Daphi_LS484712.1_00130
OG0000009	Lymph_LDV1_L63545.1_00056	Daphi_LS484712.1_00256
OG0000011	Lymph_LDV1_L63545.1_00009	Daphi_LS484712.1_00192
OG0000012	Lymph_LDV1_L63545.1_00013	Daphi_LS484712.1_00194
OG0000013	Lymph_LDV1_L63545.1_00068	Daphi_LS484712.1_00053
OG0000014	Lymph_LDV1_L63545.1_00073	Daphi_LS484712.1_00048
OG0000015	Lymph_LDV1_L63545.1_00098	Daphi_LS484712.1_00188
OG0000016	Lymph_LDV1_L63545.1_00071	Daphi_LS484712.1_00200
OG0000017	Lymph_LDV1_L63545.1_00004	Daphi_LS484712.1_00143
OG0000018	Lymph_LDV1_L63545.1_00030	Daphi_LS484712.1_00202
OG0000019	Lymph_LDV1_L63545.1_00069	Daphi_LS484712.1_00203
OG0000020	Lymph_LDV1_L63545.1_00110	Daphi_LS484712.1_00135
OG0000021	Lymph_LDV1_L63545.1_00072	Daphi_LS484712.1_00240
OG0000022	Lymph_LDV1_L63545.1_00043	Daphi_LS484712.1_00096
OG0000023	Lymph_LDV1_L63545.1_00054	Daphi_LS484712.1_00117
OG0000024	Lymph_LDV1_L63545.1_00015	Daphi_LS484712.1_00149
OG0000133	Lymph_LDV1_L63545.1_00016	Daphi_LS484712.1_00197
OG0000134	Lymph_LDV1_L63545.1_00092	Daphi_LS484712.1_00057
OG0000137	Lymph_LDV1_L63545.1_00100	Daphi_LS484712.1_00251
OG0000138	Lymph_LDV1_L63545.1_00023	Daphi_LS484712.1_00063
