Orthogroup	Lymph_LDV1_L63545.1	Rana_SGIV_AY521625.1
OG0000000	Lymph_LDV1_L63545.1_00007	Rana_SGIV_AY521625.1_00091
OG0000001	Lymph_LDV1_L63545.1_00079	Rana_SGIV_AY521625.1_00064
OG0000002	Lymph_LDV1_L63545.1_00035	Rana_SGIV_AY521625.1_00077
OG0000003	Lymph_LDV1_L63545.1_00076	Rana_SGIV_AY521625.1_00130
OG0000004	Lymph_LDV1_L63545.1_00001	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070
OG0000005	Lymph_LDV1_L63545.1_00090	Rana_SGIV_AY521625.1_00016
OG0000006	Lymph_LDV1_L63545.1_00108	Rana_SGIV_AY521625.1_00085
OG0000007	Lymph_LDV1_L63545.1_00093	Rana_SGIV_AY521625.1_00051
OG0000008	Lymph_LDV1_L63545.1_00024	Rana_SGIV_AY521625.1_00142
OG0000009	Lymph_LDV1_L63545.1_00056	Rana_SGIV_AY521625.1_00100
OG0000011	Lymph_LDV1_L63545.1_00009	Rana_SGIV_AY521625.1_00086
OG0000012	Lymph_LDV1_L63545.1_00013	Rana_SGIV_AY521625.1_00065
OG0000013	Lymph_LDV1_L63545.1_00068	Rana_SGIV_AY521625.1_00047
OG0000014	Lymph_LDV1_L63545.1_00073	Rana_SGIV_AY521625.1_00073
OG0000015	Lymph_LDV1_L63545.1_00098	Rana_SGIV_AY521625.1_00074
OG0000016	Lymph_LDV1_L63545.1_00071	Rana_SGIV_AY521625.1_00110
OG0000017	Lymph_LDV1_L63545.1_00004	Rana_SGIV_AY521625.1_00048
OG0000018	Lymph_LDV1_L63545.1_00030	Rana_SGIV_AY521625.1_00115
OG0000019	Lymph_LDV1_L63545.1_00069	Rana_SGIV_AY521625.1_00053
OG0000020	Lymph_LDV1_L63545.1_00110	Rana_SGIV_AY521625.1_00035
OG0000021	Lymph_LDV1_L63545.1_00072	Rana_SGIV_AY521625.1_00059
OG0000022	Lymph_LDV1_L63545.1_00043	Rana_SGIV_AY521625.1_00054
OG0000023	Lymph_LDV1_L63545.1_00054	Rana_SGIV_AY521625.1_00062
OG0000024	Lymph_LDV1_L63545.1_00015	Rana_SGIV_AY521625.1_00042
OG0000026	Lymph_LDV1_L63545.1_00002	Rana_SGIV_AY521625.1_00060
OG0000027	Lymph_LDV1_L63545.1_00058	Rana_SGIV_AY521625.1_00022
OG0000113	Lymph_LDV1_L63545.1_00042	Rana_SGIV_AY521625.1_00036
OG0000133	Lymph_LDV1_L63545.1_00016	Rana_SGIV_AY521625.1_00102
OG0000134	Lymph_LDV1_L63545.1_00092	Rana_SGIV_AY521625.1_00098
OG0000137	Lymph_LDV1_L63545.1_00100	Rana_SGIV_AY521625.1_00056
OG0000150	Lymph_LDV1_L63545.1_00085	Rana_SGIV_AY521625.1_00002
OG0000152	Lymph_LDV1_L63545.1_00018	Rana_SGIV_AY521625.1_00018
OG0000160	Lymph_LDV1_L63545.1_00055	Rana_SGIV_AY521625.1_00126
OG0000165	Lymph_LDV1_L63545.1_00048	Rana_SGIV_AY521625.1_00140
OG0000166	Lymph_LDV1_L63545.1_00066	Rana_SGIV_AY521625.1_00005
OG0000177	Lymph_LDV1_L63545.1_00091	Rana_SGIV_AY521625.1_00011
OG0000205	Lymph_LDV1_L63545.1_00106	Rana_SGIV_AY521625.1_00066
OG0000231	Lymph_LDV1_L63545.1_00082	Rana_SGIV_AY521625.1_00057
OG0000234	Lymph_LDV1_L63545.1_00021	Rana_SGIV_AY521625.1_00061
OG0000235	Lymph_LDV1_L63545.1_00109	Rana_SGIV_AY521625.1_00094
OG0000237	Lymph_LDV1_L63545.1_00032	Rana_SGIV_AY521625.1_00128
OG0000238	Lymph_LDV1_L63545.1_00025	Rana_SGIV_AY521625.1_00023
OG0000239	Lymph_LDV1_L63545.1_00022	Rana_SGIV_AY521625.1_00116
OG0000297	Lymph_LDV1_L63545.1_00067	Rana_SGIV_AY521625.1_00055
OG0000299	Lymph_LDV1_L63545.1_00061	Rana_SGIV_AY521625.1_00010
