Orthogroup	Lymph_LDV1_L63545.1	MCV_Unlassified_OL310752.1
OG0000000	Lymph_LDV1_L63545.1_00007	MCV_Unlassified_OL310752.1_00113, MCV_Unlassified_OL310752.1_00108
OG0000001	Lymph_LDV1_L63545.1_00079	MCV_Unlassified_OL310752.1_00019
OG0000002	Lymph_LDV1_L63545.1_00035	MCV_Unlassified_OL310752.1_00018
OG0000003	Lymph_LDV1_L63545.1_00076	MCV_Unlassified_OL310752.1_00012
OG0000004	Lymph_LDV1_L63545.1_00001	MCV_Unlassified_OL310752.1_00060
OG0000005	Lymph_LDV1_L63545.1_00090	MCV_Unlassified_OL310752.1_00042
OG0000006	Lymph_LDV1_L63545.1_00108	MCV_Unlassified_OL310752.1_00107
OG0000007	Lymph_LDV1_L63545.1_00093	MCV_Unlassified_OL310752.1_00078
OG0000008	Lymph_LDV1_L63545.1_00024	MCV_Unlassified_OL310752.1_00116
OG0000009	Lymph_LDV1_L63545.1_00056	MCV_Unlassified_OL310752.1_00036
OG0000011	Lymph_LDV1_L63545.1_00009	MCV_Unlassified_OL310752.1_00046
OG0000012	Lymph_LDV1_L63545.1_00013	MCV_Unlassified_OL310752.1_00083
OG0000013	Lymph_LDV1_L63545.1_00068	MCV_Unlassified_OL310752.1_00065
OG0000014	Lymph_LDV1_L63545.1_00073	MCV_Unlassified_OL310752.1_00045
OG0000015	Lymph_LDV1_L63545.1_00098	MCV_Unlassified_OL310752.1_00114
OG0000016	Lymph_LDV1_L63545.1_00071	MCV_Unlassified_OL310752.1_00004
OG0000017	Lymph_LDV1_L63545.1_00004	MCV_Unlassified_OL310752.1_00096
OG0000018	Lymph_LDV1_L63545.1_00030	MCV_Unlassified_OL310752.1_00071
OG0000019	Lymph_LDV1_L63545.1_00069	MCV_Unlassified_OL310752.1_00027
OG0000020	Lymph_LDV1_L63545.1_00110	MCV_Unlassified_OL310752.1_00072
OG0000021	Lymph_LDV1_L63545.1_00072	MCV_Unlassified_OL310752.1_00085
OG0000022	Lymph_LDV1_L63545.1_00043	MCV_Unlassified_OL310752.1_00021
OG0000023	Lymph_LDV1_L63545.1_00054	MCV_Unlassified_OL310752.1_00052
OG0000024	Lymph_LDV1_L63545.1_00015	MCV_Unlassified_OL310752.1_00104
OG0000026	Lymph_LDV1_L63545.1_00002	MCV_Unlassified_OL310752.1_00062
OG0000027	Lymph_LDV1_L63545.1_00058	MCV_Unlassified_OL310752.1_00044
OG0000028	Lymph_LDV1_L63545.1_00003	MCV_Unlassified_OL310752.1_00087
