Orthogroup	Lymph_LDV1_L63545.1	Chlor_AMIV_KF938901.1
OG0000000	Lymph_LDV1_L63545.1_00007	Chlor_AMIV_KF938901.1_00126
OG0000001	Lymph_LDV1_L63545.1_00079	Chlor_AMIV_KF938901.1_00044
OG0000002	Lymph_LDV1_L63545.1_00035	Chlor_AMIV_KF938901.1_00080
OG0000003	Lymph_LDV1_L63545.1_00076	Chlor_AMIV_KF938901.1_00005
OG0000004	Lymph_LDV1_L63545.1_00001	Chlor_AMIV_KF938901.1_00043
OG0000005	Lymph_LDV1_L63545.1_00090	Chlor_AMIV_KF938901.1_00053
OG0000006	Lymph_LDV1_L63545.1_00108	Chlor_AMIV_KF938901.1_00067
OG0000007	Lymph_LDV1_L63545.1_00093	Chlor_AMIV_KF938901.1_00072
OG0000008	Lymph_LDV1_L63545.1_00024	Chlor_AMIV_KF938901.1_00114
OG0000009	Lymph_LDV1_L63545.1_00056	Chlor_AMIV_KF938901.1_00125
OG0000011	Lymph_LDV1_L63545.1_00009	Chlor_AMIV_KF938901.1_00012
OG0000012	Lymph_LDV1_L63545.1_00013	Chlor_AMIV_KF938901.1_00023
OG0000013	Lymph_LDV1_L63545.1_00068	Chlor_AMIV_KF938901.1_00025
OG0000014	Lymph_LDV1_L63545.1_00073	Chlor_AMIV_KF938901.1_00046
OG0000015	Lymph_LDV1_L63545.1_00098	Chlor_AMIV_KF938901.1_00047
OG0000016	Lymph_LDV1_L63545.1_00071	Chlor_AMIV_KF938901.1_00054
OG0000017	Lymph_LDV1_L63545.1_00004	Chlor_AMIV_KF938901.1_00060
OG0000018	Lymph_LDV1_L63545.1_00030	Chlor_AMIV_KF938901.1_00074
OG0000019	Lymph_LDV1_L63545.1_00069	Chlor_AMIV_KF938901.1_00092
OG0000020	Lymph_LDV1_L63545.1_00110	Chlor_AMIV_KF938901.1_00095
OG0000021	Lymph_LDV1_L63545.1_00072	Chlor_AMIV_KF938901.1_00123
OG0000022	Lymph_LDV1_L63545.1_00043	Chlor_AMIV_KF938901.1_00124
OG0000023	Lymph_LDV1_L63545.1_00054	Chlor_AMIV_KF938901.1_00031
OG0000024	Lymph_LDV1_L63545.1_00015	Chlor_AMIV_KF938901.1_00094
OG0000113	Lymph_LDV1_L63545.1_00005, Lymph_LDV1_L63545.1_00088, Lymph_LDV1_L63545.1_00051, Lymph_LDV1_L63545.1_00047, Lymph_LDV1_L63545.1_00050	Chlor_AMIV_KF938901.1_00104
OG0000133	Lymph_LDV1_L63545.1_00016	Chlor_AMIV_KF938901.1_00007
OG0000134	Lymph_LDV1_L63545.1_00092	Chlor_AMIV_KF938901.1_00086
OG0000137	Lymph_LDV1_L63545.1_00100	Chlor_AMIV_KF938901.1_00048
OG0000138	Lymph_LDV1_L63545.1_00023	Chlor_AMIV_KF938901.1_00065
OG0000152	Lymph_LDV1_L63545.1_00018	Chlor_AMIV_KF938901.1_00027
OG0000154	Lymph_LDV1_L63545.1_00012	Chlor_AMIV_KF938901.1_00106
OG0000165	Lymph_LDV1_L63545.1_00048	Chlor_AMIV_KF938901.1_00009
OG0000166	Lymph_LDV1_L63545.1_00066	Chlor_AMIV_KF938901.1_00017
OG0000198	Lymph_LDV1_L63545.1_00105	Chlor_AMIV_KF938901.1_00137
