Orthogroup	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MT128666	MT128667	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	occupancy	complete_level	num_values_present	missing_values
OG0000000	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	ORF045_ref_gen ORF045	ORF045_ref_gen ORF045	GQ273492.1_00048 hypothetical protein	ORF045_ref_gen ORF045	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	MG570131.1_00049 hypothetical protein	MG570132.1_00049 hypothetical protein	ORF045_refgen ORF045	ORF045_refgen ORF045	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	ORF045_refgen ORF045	ORF045_refgen ORF045	ORF045_refgen ORF045	ORF045_refgen ORF045	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	OQ475017.1_00048 OQ475017.1 - hypothetical protein translation	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000001	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	ORF065L_refgen ORF065L	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_ref_gen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_ref_gen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_ref_gen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	MG570131.1_00065 hypothetical protein	MG570132.1_00065 hypothetical protein	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	ORF065L_refgen ORF065L	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	ORF065L_ref gen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	ORF065L_ref gen ORF065L	ORF065L_ref gen ORF065L	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	ORF065L_refgen ORF065L	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	RING-finger-containing E3 ubiquitin ligase_refgen RING-finger-containing E3 ubiquitin ligase	ORF065L_ref gen ORF065L	ORF065L_refgen ORF065L	OQ475017.1_00064 OQ475017.1 - hypothetical protein translation	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	ORF065L_refgen ORF065L	100	FALSE	3	SDDV, TSIV, n/a
OG0000002	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	MK689686.1_00077 hypothetical protein	MK689686.1_00077 hypothetical protein	MK689686.1_00077 hypothetical protein	GQ273492.1_00076 hypothetical protein	MK689686.1_00077 hypothetical protein	AF371960.1_00081 hypothetical protein	MK689686.1_00077 hypothetical protein	MG570131.1_00076 hypothetical protein	MG570132.1_00076 hypothetical protein	MK689686.1_00077 hypothetical protein	MK689686.1_00077 hypothetical protein	MK689686.1_00077 hypothetical protein	AF371960.1_00081 hypothetical protein	MK689686.1_00077 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	MK689686.1_00077 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	MK689686.1_00077 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	MK689686.1_00077 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	MK689686.1_00077 hypothetical protein	MK689686.1_00077 hypothetical protein	MK689686.1_00077 hypothetical protein	MK689686.1_00077 hypothetical protein	MK689686.1_00077 hypothetical protein	MK689686.1_00077 hypothetical protein	AF371960.1_00081 hypothetical protein	MK689686.1_00077 hypothetical protein	MK689686.1_00077 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	OQ475017.1_00076 OQ475017.1 - hypothetical protein translation	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	AF371960.1_00081 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000003	MK689686.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	GQ273492.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MG570131.1_00002 hypothetical protein	MG570132.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	OQ475017.1_00002 OQ475017.1 - hypothetical protein translation	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000004	MK689686.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	GQ273492.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MG570131.1_00003 hypothetical protein	MG570132.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	MK689686.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	OQ475017.1_00003 OQ475017.1 - hypothetical protein translation	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	AF371960.1_00003 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000005	MK689686.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	GQ273492.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	NLI interacting factor-like phosphatase_refgen NLI interacting factor-like phosphatase	MG570132.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000006	MK689686.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	GQ273492.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MG570131.1_00008 Major capsid protein	MG570132.1_00008 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000007	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	GQ273492.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MG570131.1_00009 hypothetical protein	MG570132.1_00009 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000008	MK689686.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	GQ273492.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	MG570131.1_00010 hypothetical protein	MG570132.1_00010 hypothetical protein	MK689686.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	MK689686.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	OQ475017.1_00009 OQ475017.1 - hypothetical protein translation	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	AF371960.1_00009 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
OG0000009	MK689686.1_00011 hypothetical protein	AF371960.1_00012 hypothetical protein	MK689686.1_00011 hypothetical protein	MK689686.1_00011 hypothetical protein	MK689686.1_00011 hypothetical protein	GQ273492.1_00012 hypothetical protein	MK689686.1_00011 hypothetical protein	AF371960.1_00012 hypothetical protein	MK689686.1_00011 hypothetical protein	MG570131.1_00013 hypothetical protein	MG570132.1_00013 hypothetical protein	MK689686.1_00011 hypothetical protein	MK689686.1_00011 hypothetical protein	MK689686.1_00011 hypothetical protein	AF371960.1_00012 hypothetical protein	MK689686.1_00011 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	MK689686.1_00011 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	MK689686.1_00011 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	MK689686.1_00011 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	MK689686.1_00011 hypothetical protein	MK689686.1_00011 hypothetical protein	MK689686.1_00011 hypothetical protein	MK689686.1_00011 hypothetical protein	MK689686.1_00011 hypothetical protein	MK689686.1_00011 hypothetical protein	AF371960.1_00012 hypothetical protein	MK689686.1_00011 hypothetical protein	MK689686.1_00011 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	OQ475017.1_00012 OQ475017.1 - hypothetical protein translation	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	AF371960.1_00012 hypothetical protein	100	FALSE	3	SDDV, TSIV, n/a
