Orthogroup	AY894343.1	MT798582.1
OG0000000	AY894343.1_00029	MT798582.1_00076
OG0000001	AY894343.1_00007	MT798582.1_00019
OG0000002	AY894343.1_00077	MT798582.1_00087
OG0000003	AY894343.1_00008	MT798582.1_00018
OG0000004	AY894343.1_00015	MT798582.1_00012
OG0000005	AY894343.1_00028	MT798582.1_00077
OG0000006	AY894343.1_00076	MT798582.1_00088
OG0000007	AY894343.1_00090	MT798582.1_00116
OG0000008	AY894343.1_00113	MT798582.1_00037
OG0000009	AY894343.1_00115	MT798582.1_00036
OG0000010	AY894343.1_00005	MT798582.1_00021
OG0000011	AY894343.1_00021	MT798582.1_00004
OG0000012	AY894343.1_00030	MT798582.1_00075
OG0000013	AY894343.1_00032	MT798582.1_00073
OG0000014	AY894343.1_00034	MT798582.1_00071
OG0000015	AY894343.1_00056	MT798582.1_00049
OG0000016	AY894343.1_00063	MT798582.1_00100
OG0000017	AY894343.1_00086	MT798582.1_00120
OG0000018	AY894343.1_00087	MT798582.1_00119
OG0000019	AY894343.1_00108	MT798582.1_00042
OG0000020	AY894343.1_00123	MT798582.1_00028
OG0000021	AY894343.1_00124	MT798582.1_00027
OG0000022	AY894343.1_00043	MT798582.1_00062
OG0000023	AY894343.1_00096	MT798582.1_00111
OG0000024	AY894343.1_00111	MT798582.1_00039
OG0000025	AY894343.1_00064	MT798582.1_00099
OG0000026	AY894343.1_00088	MT798582.1_00118
OG0000027	AY894343.1_00046	MT798582.1_00059
OG0000028	AY894343.1_00006	MT798582.1_00020
OG0000029	AY894343.1_00060	MT798582.1_00045
OG0000029	AY894343.1_00061	MT798582.1_00102
OG0000030	AY894343.1_00001	MT798582.1_00025
OG0000031	AY894343.1_00081	MT798582.1_00125
OG0000032	AY894343.1_00089	MT798582.1_00117
OG0000033	AY894343.1_00125	MT798582.1_00026
OG0000034	AY894343.1_00013	MT798582.1_00014
OG0000035	AY894343.1_00014	MT798582.1_00013
OG0000036	AY894343.1_00019	MT798582.1_00008
OG0000037	AY894343.1_00020	MT798582.1_00007
OG0000038	AY894343.1_00022	MT798582.1_00003
OG0000039	AY894343.1_00023	MT798582.1_00002
OG0000040	AY894343.1_00031	MT798582.1_00074
OG0000041	AY894343.1_00035	MT798582.1_00070
OG0000042	AY894343.1_00048	MT798582.1_00057
OG0000043	AY894343.1_00049	MT798582.1_00056
OG0000044	AY894343.1_00054	MT798582.1_00051
OG0000045	AY894343.1_00055	MT798582.1_00050
OG0000046	AY894343.1_00057	MT798582.1_00048
OG0000047	AY894343.1_00058	MT798582.1_00047
OG0000048	AY894343.1_00059	MT798582.1_00046
OG0000049	AY894343.1_00078	MT798582.1_00086
OG0000050	AY894343.1_00082	MT798582.1_00124
OG0000051	AY894343.1_00083	MT798582.1_00123
OG0000052	AY894343.1_00095	MT798582.1_00112
OG0000053	AY894343.1_00097	MT798582.1_00110
OG0000054	AY894343.1_00100	MT798582.1_00107
OG0000055	AY894343.1_00112	MT798582.1_00038
OG0000056	AY894343.1_00117	MT798582.1_00034
OG0000057	AY894343.1_00119	MT798582.1_00032
OG0000058	AY894343.1_00002	MT798582.1_00024
OG0000059	AY894343.1_00010	MT798582.1_00016
OG0000060	AY894343.1_00018	MT798582.1_00009
OG0000061	AY894343.1_00091	MT798582.1_00115
OG0000062	AY894343.1_00025	MT798582.1_00080
OG0000063	AY894343.1_00072	MT798582.1_00091
OG0000064	AY894343.1_00017	MT798582.1_00010
OG0000065	AY894343.1_00037	MT798582.1_00068
OG0000066	AY894343.1_00041	MT798582.1_00064
OG0000067	AY894343.1_00045	MT798582.1_00060
OG0000068	AY894343.1_00067	MT798582.1_00096
OG0000069	AY894343.1_00099	MT798582.1_00108
OG0000070	AY894343.1_00101	MT798582.1_00106
OG0000071	AY894343.1_00116	MT798582.1_00035
OG0000072	AY894343.1_00009	MT798582.1_00017
OG0000073	AY894343.1_00011	MT798582.1_00015
OG0000074	AY894343.1_00016	MT798582.1_00011
OG0000075	AY894343.1_00033	MT798582.1_00072
OG0000076	AY894343.1_00036	MT798582.1_00069
OG0000077	AY894343.1_00039	MT798582.1_00066
OG0000078	AY894343.1_00040	MT798582.1_00065
OG0000079	AY894343.1_00044	MT798582.1_00061
OG0000080	AY894343.1_00050	MT798582.1_00055
OG0000081	AY894343.1_00051	MT798582.1_00054
OG0000082	AY894343.1_00052	MT798582.1_00053
OG0000083	AY894343.1_00062	MT798582.1_00101
OG0000084	AY894343.1_00065	MT798582.1_00098
OG0000085	AY894343.1_00068	MT798582.1_00095
OG0000086	AY894343.1_00069	MT798582.1_00094
OG0000087	AY894343.1_00073	MT798582.1_00090
OG0000088	AY894343.1_00074	MT798582.1_00089
OG0000089	AY894343.1_00084	MT798582.1_00122
OG0000090	AY894343.1_00085	MT798582.1_00121
OG0000091	AY894343.1_00098	MT798582.1_00109
OG0000092	AY894343.1_00102	MT798582.1_00105
OG0000093	AY894343.1_00106	MT798582.1_00044
OG0000094	AY894343.1_00109	MT798582.1_00041
OG0000095	AY894343.1_00110	MT798582.1_00040
OG0000096	AY894343.1_00121	MT798582.1_00030
OG0000097	AY894343.1_00003	MT798582.1_00023
OG0000098	AY894343.1_00004	MT798582.1_00022
OG0000099	AY894343.1_00038	MT798582.1_00067
OG0000100	AY894343.1_00042	MT798582.1_00063
OG0000101	AY894343.1_00070	MT798582.1_00093
OG0000102	AY894343.1_00079	MT798582.1_00085
OG0000103	AY894343.1_00103	MT798582.1_00104
OG0000104	AY894343.1_00107	MT798582.1_00043
OG0000105	AY894343.1_00118	MT798582.1_00033
OG0000106	AY894343.1_00027	MT798582.1_00078
OG0000107	AY894343.1_00104	MT798582.1_00103
OG0000108	AY894343.1_00122	MT798582.1_00029
OG0000109	AY894343.1_00071	MT798582.1_00092
OG0000110	AY894343.1_00120	MT798582.1_00031
OG0000111	AY894343.1_00094	MT798582.1_00113
OG0000115	AY894343.1_00053	MT798582.1_00052
OG0000116	AY894343.1_00066	MT798582.1_00097
OG0000130	AY894343.1_00047	MT798582.1_00058
OG0000131	AY894343.1_00092	MT798582.1_00114
OG0000174	AY894343.1_00024	MT798582.1_00082
