Orthogroup	AY894343.1	OK042108.1
OG0000000	AY894343.1_00029	OK042108.1_00047
OG0000001	AY894343.1_00007	OK042108.1_00069
OG0000002	AY894343.1_00077	OK042108.1_00122
OG0000003	AY894343.1_00008	OK042108.1_00068
OG0000004	AY894343.1_00015	OK042108.1_00062
OG0000005	AY894343.1_00028	OK042108.1_00048
OG0000006	AY894343.1_00076	OK042108.1_00001
OG0000007	AY894343.1_00090	OK042108.1_00109
OG0000008	AY894343.1_00113	OK042108.1_00087
OG0000009	AY894343.1_00115	OK042108.1_00085
OG0000010	AY894343.1_00005	OK042108.1_00070
OG0000011	AY894343.1_00021	OK042108.1_00055
OG0000012	AY894343.1_00030	OK042108.1_00046
OG0000013	AY894343.1_00032	OK042108.1_00044
OG0000014	AY894343.1_00034	OK042108.1_00042
OG0000015	AY894343.1_00056	OK042108.1_00020
OG0000016	AY894343.1_00063	OK042108.1_00013
OG0000017	AY894343.1_00086	OK042108.1_00113
OG0000018	AY894343.1_00087	OK042108.1_00112
OG0000019	AY894343.1_00108	OK042108.1_00092
OG0000020	AY894343.1_00123	OK042108.1_00077
OG0000021	AY894343.1_00124	OK042108.1_00076
OG0000022	AY894343.1_00043	OK042108.1_00033
OG0000023	AY894343.1_00096	OK042108.1_00104
OG0000024	AY894343.1_00111	OK042108.1_00089
OG0000025	AY894343.1_00064	OK042108.1_00012
OG0000026	AY894343.1_00088	OK042108.1_00111
OG0000027	AY894343.1_00046	OK042108.1_00030
OG0000029	AY894343.1_00060, AY894343.1_00061	OK042108.1_00015
OG0000030	AY894343.1_00001	OK042108.1_00074
OG0000031	AY894343.1_00081	OK042108.1_00118
OG0000032	AY894343.1_00089	OK042108.1_00110
OG0000033	AY894343.1_00125	OK042108.1_00075
OG0000034	AY894343.1_00013	OK042108.1_00064
OG0000035	AY894343.1_00014	OK042108.1_00063
OG0000036	AY894343.1_00019	OK042108.1_00058
OG0000037	AY894343.1_00020	OK042108.1_00057
OG0000038	AY894343.1_00022	OK042108.1_00054
OG0000039	AY894343.1_00023	OK042108.1_00053
OG0000040	AY894343.1_00031	OK042108.1_00045
OG0000041	AY894343.1_00035	OK042108.1_00041
OG0000042	AY894343.1_00048	OK042108.1_00028
OG0000043	AY894343.1_00049	OK042108.1_00027
OG0000044	AY894343.1_00054	OK042108.1_00022
OG0000045	AY894343.1_00055	OK042108.1_00021
OG0000046	AY894343.1_00057	OK042108.1_00019
OG0000047	AY894343.1_00058	OK042108.1_00018
OG0000048	AY894343.1_00059	OK042108.1_00016
OG0000049	AY894343.1_00078	OK042108.1_00121
OG0000050	AY894343.1_00082	OK042108.1_00117
OG0000051	AY894343.1_00083	OK042108.1_00116
OG0000052	AY894343.1_00095	OK042108.1_00105
OG0000053	AY894343.1_00097	OK042108.1_00103
OG0000054	AY894343.1_00100	OK042108.1_00100
OG0000055	AY894343.1_00112	OK042108.1_00088
OG0000056	AY894343.1_00117	OK042108.1_00083
OG0000057	AY894343.1_00119	OK042108.1_00081
OG0000058	AY894343.1_00002	OK042108.1_00073
OG0000059	AY894343.1_00010	OK042108.1_00066
OG0000060	AY894343.1_00018	OK042108.1_00059
OG0000061	AY894343.1_00091	OK042108.1_00108
OG0000062	AY894343.1_00025	OK042108.1_00050
OG0000063	AY894343.1_00072	OK042108.1_00004
OG0000064	AY894343.1_00017	OK042108.1_00060
OG0000065	AY894343.1_00037	OK042108.1_00039
OG0000066	AY894343.1_00041	OK042108.1_00035
OG0000067	AY894343.1_00045	OK042108.1_00031
OG0000068	AY894343.1_00067	OK042108.1_00009
OG0000069	AY894343.1_00099	OK042108.1_00101
OG0000070	AY894343.1_00101	OK042108.1_00099
OG0000071	AY894343.1_00116	OK042108.1_00084
OG0000072	AY894343.1_00009	OK042108.1_00067
OG0000073	AY894343.1_00011	OK042108.1_00065
OG0000074	AY894343.1_00016	OK042108.1_00061
OG0000075	AY894343.1_00033	OK042108.1_00043
OG0000076	AY894343.1_00036	OK042108.1_00040
OG0000077	AY894343.1_00039	OK042108.1_00037
OG0000078	AY894343.1_00040	OK042108.1_00036
OG0000079	AY894343.1_00044	OK042108.1_00032
OG0000080	AY894343.1_00050	OK042108.1_00026
OG0000081	AY894343.1_00051	OK042108.1_00025
OG0000082	AY894343.1_00052	OK042108.1_00024
OG0000083	AY894343.1_00062	OK042108.1_00014
OG0000084	AY894343.1_00065	OK042108.1_00011
OG0000085	AY894343.1_00068	OK042108.1_00008
OG0000086	AY894343.1_00069	OK042108.1_00007
OG0000087	AY894343.1_00073	OK042108.1_00003
OG0000088	AY894343.1_00074	OK042108.1_00002
OG0000089	AY894343.1_00084	OK042108.1_00115
OG0000090	AY894343.1_00085	OK042108.1_00114
OG0000091	AY894343.1_00098	OK042108.1_00102
OG0000092	AY894343.1_00102	OK042108.1_00098
OG0000093	AY894343.1_00106	OK042108.1_00094
OG0000094	AY894343.1_00109	OK042108.1_00091
OG0000095	AY894343.1_00110	OK042108.1_00090
OG0000096	AY894343.1_00121	OK042108.1_00079
OG0000097	AY894343.1_00003	OK042108.1_00072
OG0000098	AY894343.1_00004	OK042108.1_00071
OG0000099	AY894343.1_00038	OK042108.1_00038
OG0000100	AY894343.1_00042	OK042108.1_00034
OG0000101	AY894343.1_00070	OK042108.1_00006
OG0000102	AY894343.1_00079	OK042108.1_00120
OG0000103	AY894343.1_00103	OK042108.1_00097
OG0000104	AY894343.1_00107	OK042108.1_00093
OG0000105	AY894343.1_00118	OK042108.1_00082
OG0000107	AY894343.1_00104	OK042108.1_00096
OG0000108	AY894343.1_00122	OK042108.1_00078
OG0000109	AY894343.1_00071	OK042108.1_00005
