Orthogroup	AY894343.1	MN803438.1
OG0000000	AY894343.1_00029	MN803438.1_00124
OG0000001	AY894343.1_00007	MN803438.1_00023
OG0000003	AY894343.1_00008	MN803438.1_00101, MN803438.1_00056
OG0000004	AY894343.1_00015	MN803438.1_00113
OG0000005	AY894343.1_00028	MN803438.1_00106
OG0000006	AY894343.1_00076	MN803438.1_00142
OG0000007	AY894343.1_00090	MN803438.1_00027
OG0000008	AY894343.1_00113	MN803438.1_00104
OG0000009	AY894343.1_00115	MN803438.1_00109
OG0000010	AY894343.1_00005	MN803438.1_00089
OG0000011	AY894343.1_00021	MN803438.1_00128
OG0000012	AY894343.1_00030	MN803438.1_00068
OG0000013	AY894343.1_00032	MN803438.1_00035
OG0000014	AY894343.1_00034	MN803438.1_00013
OG0000015	AY894343.1_00056	MN803438.1_00007
OG0000016	AY894343.1_00063	MN803438.1_00049
OG0000017	AY894343.1_00086	MN803438.1_00097
OG0000018	AY894343.1_00087	MN803438.1_00122
OG0000019	AY894343.1_00108	MN803438.1_00051
OG0000020	AY894343.1_00123	MN803438.1_00070
OG0000021	AY894343.1_00124	MN803438.1_00046
OG0000022	AY894343.1_00043	MN803438.1_00077
OG0000023	AY894343.1_00096	MN803438.1_00071
OG0000024	AY894343.1_00111	MN803438.1_00126
OG0000026	AY894343.1_00088	MN803438.1_00037
OG0000027	AY894343.1_00046	MN803438.1_00054
OG0000028	AY894343.1_00006	MN803438.1_00145
