Orthogroup	OL774655.1	KF938901.1
OG0000000	OL774655.1_00034	KF938901.1_00126
OG0000001	OL774655.1_00008	KF938901.1_00080
OG0000002	OL774655.1_00007	KF938901.1_00044
OG0000003	OL774655.1_00015	KF938901.1_00005
OG0000004	OL774655.1_00113	KF938901.1_00043
OG0000005	OL774655.1_00096	KF938901.1_00125
OG0000006	OL774655.1_00078	KF938901.1_00072
OG0000007	OL774655.1_00091	KF938901.1_00053
OG0000008	OL774655.1_00033	KF938901.1_00067
OG0000009	OL774655.1_00115	KF938901.1_00114
OG0000011	OL774655.1_00066	KF938901.1_00092
OG0000012	OL774655.1_00022	KF938901.1_00054
OG0000013	OL774655.1_00060	KF938901.1_00060
OG0000014	OL774655.1_00123	KF938901.1_00074
OG0000015	OL774655.1_00124	KF938901.1_00095
OG0000016	OL774655.1_00088	KF938901.1_00046
OG0000017	OL774655.1_00037	KF938901.1_00123
OG0000018	OL774655.1_00108	KF938901.1_00025
OG0000019	OL774655.1_00087	KF938901.1_00012
OG0000020	OL774655.1_00035	KF938901.1_00047
OG0000021	OL774655.1_00005	KF938901.1_00124
OG0000022	OL774655.1_00039	KF938901.1_00023
OG0000023	OL774655.1_00048	KF938901.1_00031
OG0000024	OL774655.1_00030	KF938901.1_00094
OG0000025	OL774655.1_00067	KF938901.1_00093
