Orthogroup	MK689686.1	HF920637.1
OG0000000	MK689686.1_00029	HF920637.1_00129, HF920637.1_00164
OG0000001	MK689686.1_00007	HF920637.1_00143
OG0000003	MK689686.1_00008	HF920637.1_00059
OG0000004	MK689686.1_00014	HF920637.1_00159
OG0000005	MK689686.1_00028	HF920637.1_00176, HF920637.1_00175
OG0000006	MK689686.1_00074	HF920637.1_00121
OG0000007	MK689686.1_00088	HF920637.1_00172
OG0000008	MK689686.1_00110	HF920637.1_00025
OG0000009	MK689686.1_00112	HF920637.1_00153
OG0000010	MK689686.1_00005	HF920637.1_00041
OG0000011	MK689686.1_00021	HF920637.1_00001
OG0000012	MK689686.1_00030	HF920637.1_00031
OG0000013	MK689686.1_00032	HF920637.1_00073
OG0000014	MK689686.1_00034	HF920637.1_00213
OG0000015	MK689686.1_00056	HF920637.1_00017
OG0000016	MK689686.1_00062	HF920637.1_00217
OG0000017	MK689686.1_00084	HF920637.1_00197
OG0000018	MK689686.1_00085	HF920637.1_00079
OG0000019	MK689686.1_00105	HF920637.1_00111
OG0000020	MK689686.1_00120	HF920637.1_00108
OG0000021	MK689686.1_00121	HF920637.1_00152
OG0000022	MK689686.1_00043	HF920637.1_00033
OG0000023	MK689686.1_00093	HF920637.1_00221
OG0000024	MK689686.1_00108	HF920637.1_00203
OG0000025	MK689686.1_00063	HF920637.1_00156
OG0000028	MK689686.1_00006	HF920637.1_00127
