Orthogroup	GQ273492.1	HF920637.1
OG0000000	GQ273492.1_00030	HF920637.1_00129, HF920637.1_00164
OG0000001	GQ273492.1_00008	HF920637.1_00059
OG0000002	GQ273492.1_00007	HF920637.1_00143
OG0000003	GQ273492.1_00015	HF920637.1_00159
OG0000004	GQ273492.1_00108	HF920637.1_00025
OG0000005	GQ273492.1_00092	HF920637.1_00221
OG0000006	GQ273492.1_00073	HF920637.1_00121
OG0000007	GQ273492.1_00087	HF920637.1_00172
OG0000008	GQ273492.1_00029	HF920637.1_00176, HF920637.1_00175
OG0000009	GQ273492.1_00110	HF920637.1_00153
OG0000011	GQ273492.1_00063	HF920637.1_00217
OG0000012	GQ273492.1_00022	HF920637.1_00001
OG0000013	GQ273492.1_00056	HF920637.1_00017
OG0000014	GQ273492.1_00118	HF920637.1_00108
OG0000015	GQ273492.1_00119	HF920637.1_00152
OG0000016	GQ273492.1_00084	HF920637.1_00079
OG0000017	GQ273492.1_00033	HF920637.1_00073
OG0000018	GQ273492.1_00103	HF920637.1_00111
OG0000019	GQ273492.1_00083	HF920637.1_00197
OG0000020	GQ273492.1_00031	HF920637.1_00031
OG0000021	GQ273492.1_00005	HF920637.1_00041
OG0000022	GQ273492.1_00035	HF920637.1_00213
OG0000023	GQ273492.1_00044	HF920637.1_00033
OG0000024	GQ273492.1_00027	HF920637.1_00061
OG0000025	GQ273492.1_00064	HF920637.1_00156
OG0000031	GQ273492.1_00006	HF920637.1_00127
