Orthogroup	GQ273492.1	AF303741.1
OG0000000	GQ273492.1_00030	AF303741.1_00079, AF303741.1_00152
OG0000001	GQ273492.1_00008	AF303741.1_00200, AF303741.1_00047
OG0000002	GQ273492.1_00007	AF303741.1_00125
OG0000003	GQ273492.1_00015	AF303741.1_00035
OG0000004	GQ273492.1_00108	AF303741.1_00080
OG0000005	GQ273492.1_00092	AF303741.1_00129
OG0000006	GQ273492.1_00073	AF303741.1_00132
OG0000007	GQ273492.1_00087	AF303741.1_00149
OG0000008	GQ273492.1_00029	AF303741.1_00165
OG0000009	GQ273492.1_00110	AF303741.1_00176
OG0000011	GQ273492.1_00063	AF303741.1_00006
OG0000012	GQ273492.1_00022	AF303741.1_00011
OG0000013	GQ273492.1_00056	AF303741.1_00023
OG0000014	GQ273492.1_00118	AF303741.1_00026
OG0000015	GQ273492.1_00119	AF303741.1_00046
OG0000016	GQ273492.1_00084	AF303741.1_00062
OG0000017	GQ273492.1_00033	AF303741.1_00063
OG0000018	GQ273492.1_00103	AF303741.1_00081
OG0000019	GQ273492.1_00083	AF303741.1_00137
OG0000020	GQ273492.1_00031	AF303741.1_00156
OG0000021	GQ273492.1_00005	AF303741.1_00158
OG0000022	GQ273492.1_00035	AF303741.1_00189
OG0000023	GQ273492.1_00044	AF303741.1_00154
OG0000024	GQ273492.1_00027	AF303741.1_00168
OG0000025	GQ273492.1_00064	AF303741.1_00051
