Orthogroup	GQ273492.1	AY894343.1
OG0000000	GQ273492.1_00030	AY894343.1_00029
OG0000001	GQ273492.1_00008	AY894343.1_00008
OG0000002	GQ273492.1_00007	AY894343.1_00007
OG0000003	GQ273492.1_00015	AY894343.1_00015
OG0000004	GQ273492.1_00108	AY894343.1_00113
OG0000005	GQ273492.1_00092	AY894343.1_00096
OG0000006	GQ273492.1_00073	AY894343.1_00076
OG0000007	GQ273492.1_00087	AY894343.1_00090
OG0000008	GQ273492.1_00029	AY894343.1_00028
OG0000009	GQ273492.1_00110	AY894343.1_00115
OG0000010	GQ273492.1_00074	AY894343.1_00077
OG0000011	GQ273492.1_00063	AY894343.1_00063
OG0000012	GQ273492.1_00022	AY894343.1_00021
OG0000013	GQ273492.1_00056	AY894343.1_00056
OG0000014	GQ273492.1_00118	AY894343.1_00123
OG0000015	GQ273492.1_00119	AY894343.1_00124
OG0000016	GQ273492.1_00084	AY894343.1_00087
OG0000017	GQ273492.1_00033	AY894343.1_00032
OG0000018	GQ273492.1_00103	AY894343.1_00108
OG0000019	GQ273492.1_00083	AY894343.1_00086
OG0000020	GQ273492.1_00031	AY894343.1_00030
OG0000021	GQ273492.1_00005	AY894343.1_00005
OG0000022	GQ273492.1_00035	AY894343.1_00034
OG0000023	GQ273492.1_00044	AY894343.1_00043
OG0000024	GQ273492.1_00027	AY894343.1_00025
OG0000025	GQ273492.1_00064	AY894343.1_00064
OG0000026	GQ273492.1_00106	AY894343.1_00111
OG0000027	GQ273492.1_00085	AY894343.1_00088
OG0000028	GQ273492.1_00047	AY894343.1_00046
OG0000029	GQ273492.1_00061	AY894343.1_00060
OG0000030	GQ273492.1_00001	AY894343.1_00001
OG0000031	GQ273492.1_00006	AY894343.1_00006
OG0000033	GQ273492.1_00086	AY894343.1_00089
OG0000034	GQ273492.1_00120	AY894343.1_00125
OG0000035	GQ273492.1_00013	AY894343.1_00013
OG0000036	GQ273492.1_00014	AY894343.1_00014
OG0000037	GQ273492.1_00019	AY894343.1_00019
OG0000038	GQ273492.1_00020	AY894343.1_00020
OG0000039	GQ273492.1_00023	AY894343.1_00022
OG0000040	GQ273492.1_00024	AY894343.1_00023
OG0000041	GQ273492.1_00032	AY894343.1_00031
OG0000042	GQ273492.1_00036	AY894343.1_00035
OG0000043	GQ273492.1_00048	AY894343.1_00048
OG0000044	GQ273492.1_00049	AY894343.1_00049
OG0000045	GQ273492.1_00054	AY894343.1_00054
OG0000046	GQ273492.1_00055	AY894343.1_00055
