Orthogroup	OQ475017	MG570132
OG0000000	OQ475017.1_00048 OQ475017.1 - hypothetical protein translation	MG570132.1_00049 hypothetical protein
OG0000001	OQ475017.1_00064 OQ475017.1 - hypothetical protein translation	MG570132.1_00065 hypothetical protein
OG0000002	OQ475017.1_00076 OQ475017.1 - hypothetical protein translation	MG570132.1_00076 hypothetical protein
OG0000003	OQ475017.1_00002 OQ475017.1 - hypothetical protein translation	MG570132.1_00002 hypothetical protein
OG0000004	OQ475017.1_00003 OQ475017.1 - hypothetical protein translation	MG570132.1_00003 hypothetical protein
OG0000005	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation	MG570132.1_00005 hypothetical protein
OG0000006	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation	MG570132.1_00008 Major capsid protein
OG0000007	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation	MG570132.1_00009 hypothetical protein
OG0000008	OQ475017.1_00009 OQ475017.1 - hypothetical protein translation	MG570132.1_00010 hypothetical protein
OG0000009	OQ475017.1_00012 OQ475017.1 - hypothetical protein translation	MG570132.1_00013 hypothetical protein
OG0000010	OQ475017.1_00013 OQ475017.1 - hypothetical protein translation	MG570132.1_00014 hypothetical protein
OG0000011	OQ475017.1_00014 OQ475017.1 - hypothetical protein translation	MG570132.1_00015 hypothetical protein
OG0000012	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation	MG570132.1_00016 hypothetical protein
OG0000013	OQ475017.1_00017 OQ475017.1 - hypothetical protein translation	MG570132.1_00018 hypothetical protein
OG0000014	OQ475017.1_00018 OQ475017.1 - hypothetical protein translation	MG570132.1_00019 hypothetical protein
OG0000015	OQ475017.1_00019 OQ475017.1 - hypothetical protein translation	MG570132.1_00020 hypothetical protein
OG0000016	OQ475017.1_00020 OQ475017.1 - hypothetical protein translation	MG570132.1_00021 hypothetical protein
OG0000017	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation	MG570132.1_00023 hypothetical protein
OG0000018	OQ475017.1_00023 OQ475017.1 - hypothetical protein translation	MG570132.1_00024 hypothetical protein
OG0000019	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation	MG570132.1_00028 Ribonucleoside-diphosphate reductase small chain
OG0000020	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation	MG570132.1_00030 hypothetical protein
OG0000021	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation	MG570132.1_00031 hypothetical protein
OG0000022	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation	MG570132.1_00032 hypothetical protein
OG0000023	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation	MG570132.1_00034 hypothetical protein
OG0000024	OQ475017.1_00036 OQ475017.1 - hypothetical protein translation	MG570132.1_00037 hypothetical protein
OG0000025	OQ475017.1_00040 OQ475017.1 - hypothetical protein translation	MG570132.1_00041 hypothetical protein
OG0000026	OQ475017.1_00041 OQ475017.1 - hypothetical protein translation	MG570132.1_00042 hypothetical protein
OG0000027	OQ475017.1_00043 OQ475017.1 - hypothetical protein translation	MG570132.1_00044 hypothetical protein
OG0000028	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation	MG570132.1_00045 hypothetical protein
OG0000029	OQ475017.1_00045 OQ475017.1 - hypothetical protein translation	MG570132.1_00046 hypothetical protein
OG0000030	OQ475017.1_00046 OQ475017.1 - hypothetical protein translation	MG570132.1_00047 hypothetical protein
OG0000031	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation	MG570132.1_00048 hypothetical protein
OG0000032	OQ475017.1_00049 OQ475017.1 - hypothetical protein translation	MG570132.1_00050 hypothetical protein
OG0000033	OQ475017.1_00050 OQ475017.1 - hypothetical protein translation	MG570132.1_00051 hypothetical protein
OG0000034	OQ475017.1_00051 OQ475017.1 - hypothetical protein translation	MG570132.1_00052 hypothetical protein
OG0000035	OQ475017.1_00052 OQ475017.1 - hypothetical protein translation	MG570132.1_00053 hypothetical protein
OG0000036	OQ475017.1_00054 OQ475017.1 - hypothetical protein translation	MG570132.1_00055 hypothetical protein
OG0000037	OQ475017.1_00055 OQ475017.1 - hypothetical protein translation	MG570132.1_00056 hypothetical protein
OG0000038	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation	MG570132.1_00057 hypothetical protein
OG0000039	OQ475017.1_00057 OQ475017.1 - hypothetical protein translation	MG570132.1_00058 hypothetical protein
OG0000040	OQ475017.1_00059 OQ475017.1 - hypothetical protein translation	MG570132.1_00060 hypothetical protein
OG0000041	OQ475017.1_00061 OQ475017.1 - hypothetical protein translation	MG570132.1_00062 hypothetical protein
OG0000042	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation	MG570132.1_00063 hypothetical protein
OG0000043	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation	MG570132.1_00064 hypothetical protein
OG0000044	OQ475017.1_00066 OQ475017.1 - hypothetical protein translation	MG570132.1_00067 hypothetical protein
