Orthogroup	HF920637	23043610003
OG0000000	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2	AF371960.1_00031 hypothetical protein
OG0000001	HF920637.1_00059 HF920637.1 - hypothetical protein translation	AF371960.1_00008 hypothetical protein
OG0000002	HF920637.1_00159 HF920637.1 - hypothetical protein translation	AF371960.1_00015 hypothetical protein
OG0000003	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation	AF371960.1_00030 hypothetical protein
OG0000004	HF920637.1_00153 HF920637.1 - hypothetical protein translation, HF920637.1_00015 HF920637.1 - hypothetical protein translation	AF371960.1_00113 hypothetical protein
OG0000005	HF920637.1_00041 HF920637.1 - hypothetical protein translation	AF371960.1_00005 hypothetical protein
OG0000006	HF920637.1_00143 HF920637.1 - Major capsid protein translation	AF371960.1_00007 Major capsid protein
OG0000007	HF920637.1_00001 HF920637.1 - hypothetical protein translation	AF371960.1_00021 hypothetical protein
OG0000008	HF920637.1_00031 HF920637.1 - hypothetical protein translation	AF371960.1_00032 hypothetical protein
OG0000009	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation	AF371960.1_00036 DNA-directed RNA polymerase subunit 2
OG0000010	HF920637.1_00017 HF920637.1 - hypothetical protein translation	AF371960.1_00057 hypothetical protein
OG0000011	HF920637.1_00217 HF920637.1 - hypothetical protein translation	AF371960.1_00064 hypothetical protein
OG0000012	HF920637.1_00197 HF920637.1 - hypothetical protein translation	AF371960.1_00088 hypothetical protein
OG0000013	HF920637.1_00172 HF920637.1 - hypothetical protein translation	AF371960.1_00092 hypothetical protein
OG0000014	HF920637.1_00111 HF920637.1 - hypothetical protein translation	AF371960.1_00107 hypothetical protein
OG0000015	HF920637.1_00108 HF920637.1 - hypothetical protein translation	AF371960.1_00121 hypothetical protein
OG0000016	HF920637.1_00152 HF920637.1 - hypothetical protein translation	AF371960.1_00122 hypothetical protein
OG0000017	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000018	HF920637.1_00073 HF920637.1 - hypothetical protein translation	AF371960.1_00034 hypothetical protein
OG0000019	HF920637.1_00121 HF920637.1 - hypothetical protein translation	AF371960.1_00078 hypothetical protein
OG0000020	HF920637.1_00079 HF920637.1 - hypothetical protein translation	AF371960.1_00089 hypothetical protein
OG0000021	HF920637.1_00221 HF920637.1 - hypothetical protein translation	AF371960.1_00096 hypothetical protein
OG0000022	HF920637.1_00025 HF920637.1 - hypothetical protein translation	AF371960.1_00112 hypothetical protein
OG0000024	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation	AF371960.1_00045 hypothetical protein
OG0000025	HF920637.1_00156 HF920637.1 - hypothetical protein translation	AF371960.1_00065 hypothetical protein
