Orthogroup	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
OG0000186		AF371960.1_00028 hypothetical protein																																																													
OG0000187								GQ273492.1_00115 hypothetical protein																																																							
OG0000188										AF371960.1_00028 hypothetical protein																																																					
OG0000189												MG570131.1_00022 hypothetical protein																																																			
OG0000190																	MK637631_00002 hypothetical protein																																														
OG0000191																	MK637631_00008 hypothetical protein																																														
OG0000192																	MK637631_00036 hypothetical protein																																														
OG0000193																	MK637631_00047 hypothetical protein																																														
OG0000194																	MK637631_00053 hypothetical protein																																														
OG0000195																	MK637631_00054 hypothetical protein																																														
OG0000196																	MK637631_00064 hypothetical protein																																														
OG0000197																	MK637631_00071 hypothetical protein																																														
OG0000198																	MK637631_00091 hypothetical protein																																														
OG0000199																	MK637631_00093 viral Ubiquitin																																														
OG0000200																							AF371960.1_00028 hypothetical protein																																								
OG0000201																										AF371960.1_00028 hypothetical protein																																					
OG0000202																													AF371960.1_00028 hypothetical protein																																		
OG0000203																															AF371960.1_00028 hypothetical protein																																
OG0000204																																	DNA-binding protein_refgen DNA-binding protein																														
OG0000205																																		AF371960.1_00117 hypothetical protein																													
OG0000206																																					AF371960.1_00028 hypothetical protein																										
OG0000207																																								AF371960.1_00059 hypothetical protein																							
OG0000208																																										AF371960.1_00028 hypothetical protein																					
OG0000209																																																	OM037668.1_00059 hypothetical protein														
OG0000210																																																			AF371960.1_00028 hypothetical protein												
OG0000211																																																							AF371960.1_00028 hypothetical protein								
OG0000212																																																								OQ475017.1_00025 OQ475017.1 - hypothetical protein translation							
OG0000213																																																								OQ475017.1_00028 OQ475017.1 - hypothetical protein translation							
OG0000214																																																								OQ475017.1_00089 OQ475017.1 - hypothetical protein translation							
OG0000215																																																								OQ475017.1_00090 OQ475017.1 - hypothetical protein translation							
OG0000216																																																										AF371960.1_00028 hypothetical protein					
OG0000217																																																															PQ335173_PQ335174_00017 PQ335173_PQ335174 - hypothetical protein translation
OG0000218																																																															PQ335173_PQ335174_00038 PQ335173_PQ335174 - hypothetical protein translation
OG0000219																																																															PQ335173_PQ335174_00100 PQ335173_PQ335174 - hypothetical protein translation
OG0000220																																																															PQ335173_PQ335174_00104 PQ335173_PQ335174 - hypothetical protein translation
OG0000221																																																															PQ335173_PQ335174_00113 PQ335173_PQ335174 - hypothetical protein translation
