Orthogroup	Rana_SGIV_AY521625.1	MCV_ML1_SDDV_MT521409.1
OG0000000	Rana_SGIV_AY521625.1_00091	MCV_ML1_SDDV_MT521409.1_00103
OG0000001	Rana_SGIV_AY521625.1_00064	MCV_ML1_SDDV_MT521409.1_00081
OG0000002	Rana_SGIV_AY521625.1_00077	MCV_ML1_SDDV_MT521409.1_00082
OG0000003	Rana_SGIV_AY521625.1_00130	MCV_ML1_SDDV_MT521409.1_00088
OG0000004	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070	MCV_ML1_SDDV_MT521409.1_00061
OG0000005	Rana_SGIV_AY521625.1_00016	MCV_ML1_SDDV_MT521409.1_00053
OG0000006	Rana_SGIV_AY521625.1_00085	MCV_ML1_SDDV_MT521409.1_00100
OG0000007	Rana_SGIV_AY521625.1_00051	MCV_ML1_SDDV_MT521409.1_00117
OG0000008	Rana_SGIV_AY521625.1_00142	MCV_ML1_SDDV_MT521409.1_00060
OG0000009	Rana_SGIV_AY521625.1_00100	MCV_ML1_SDDV_MT521409.1_00057
OG0000011	Rana_SGIV_AY521625.1_00086	MCV_ML1_SDDV_MT521409.1_00047
OG0000012	Rana_SGIV_AY521625.1_00065	MCV_ML1_SDDV_MT521409.1_00008
OG0000013	Rana_SGIV_AY521625.1_00047	MCV_ML1_SDDV_MT521409.1_00064
OG0000014	Rana_SGIV_AY521625.1_00073	MCV_ML1_SDDV_MT521409.1_00048
OG0000015	Rana_SGIV_AY521625.1_00074	MCV_ML1_SDDV_MT521409.1_00012
OG0000016	Rana_SGIV_AY521625.1_00110	MCV_ML1_SDDV_MT521409.1_00097
OG0000017	Rana_SGIV_AY521625.1_00048	MCV_ML1_SDDV_MT521409.1_00039
OG0000018	Rana_SGIV_AY521625.1_00115	MCV_ML1_SDDV_MT521409.1_00059
OG0000019	Rana_SGIV_AY521625.1_00053	MCV_ML1_SDDV_MT521409.1_00129
OG0000020	Rana_SGIV_AY521625.1_00035	MCV_ML1_SDDV_MT521409.1_00134
OG0000021	Rana_SGIV_AY521625.1_00059	MCV_ML1_SDDV_MT521409.1_00011
OG0000022	Rana_SGIV_AY521625.1_00054	MCV_ML1_SDDV_MT521409.1_00125
OG0000023	Rana_SGIV_AY521625.1_00062	MCV_ML1_SDDV_MT521409.1_00024
OG0000024	Rana_SGIV_AY521625.1_00042	MCV_ML1_SDDV_MT521409.1_00074
OG0000026	Rana_SGIV_AY521625.1_00060	MCV_ML1_SDDV_MT521409.1_00063
OG0000027	Rana_SGIV_AY521625.1_00022	MCV_ML1_SDDV_MT521409.1_00050
OG0000032	Rana_SGIV_AY521625.1_00004	MCV_ML1_SDDV_MT521409.1_00108
OG0000143	Rana_SGIV_AY521625.1_00046	MCV_ML1_SDDV_MT521409.1_00071, MCV_ML1_SDDV_MT521409.1_00009
OG0000150	Rana_SGIV_AY521625.1_00002	MCV_ML1_SDDV_MT521409.1_00137
