Orthogroup	Rana_SGIV_AY521625.1	MCV_MP1_TRBIV_GQ273492.1
OG0000000	Rana_SGIV_AY521625.1_00091	MCV_MP1_TRBIV_GQ273492.1_00030
OG0000001	Rana_SGIV_AY521625.1_00064	MCV_MP1_TRBIV_GQ273492.1_00007
OG0000002	Rana_SGIV_AY521625.1_00077	MCV_MP1_TRBIV_GQ273492.1_00008
OG0000003	Rana_SGIV_AY521625.1_00130	MCV_MP1_TRBIV_GQ273492.1_00015
OG0000004	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070	MCV_MP1_TRBIV_GQ273492.1_00108
OG0000005	Rana_SGIV_AY521625.1_00016	MCV_MP1_TRBIV_GQ273492.1_00087
OG0000006	Rana_SGIV_AY521625.1_00085	MCV_MP1_TRBIV_GQ273492.1_00029
OG0000007	Rana_SGIV_AY521625.1_00051	MCV_MP1_TRBIV_GQ273492.1_00073
OG0000008	Rana_SGIV_AY521625.1_00142	MCV_MP1_TRBIV_GQ273492.1_00110
OG0000009	Rana_SGIV_AY521625.1_00100	MCV_MP1_TRBIV_GQ273492.1_00092
OG0000011	Rana_SGIV_AY521625.1_00086	MCV_MP1_TRBIV_GQ273492.1_00083
OG0000012	Rana_SGIV_AY521625.1_00065	MCV_MP1_TRBIV_GQ273492.1_00035
OG0000013	Rana_SGIV_AY521625.1_00047	MCV_MP1_TRBIV_GQ273492.1_00103
OG0000014	Rana_SGIV_AY521625.1_00073	MCV_MP1_TRBIV_GQ273492.1_00084
OG0000015	Rana_SGIV_AY521625.1_00074	MCV_MP1_TRBIV_GQ273492.1_00031
OG0000016	Rana_SGIV_AY521625.1_00110	MCV_MP1_TRBIV_GQ273492.1_00022
OG0000017	Rana_SGIV_AY521625.1_00048	MCV_MP1_TRBIV_GQ273492.1_00056
OG0000018	Rana_SGIV_AY521625.1_00115	MCV_MP1_TRBIV_GQ273492.1_00118
OG0000019	Rana_SGIV_AY521625.1_00053	MCV_MP1_TRBIV_GQ273492.1_00063
OG0000020	Rana_SGIV_AY521625.1_00035	MCV_MP1_TRBIV_GQ273492.1_00119
OG0000021	Rana_SGIV_AY521625.1_00059	MCV_MP1_TRBIV_GQ273492.1_00033
OG0000022	Rana_SGIV_AY521625.1_00054	MCV_MP1_TRBIV_GQ273492.1_00005
OG0000023	Rana_SGIV_AY521625.1_00062	MCV_MP1_TRBIV_GQ273492.1_00044
OG0000024	Rana_SGIV_AY521625.1_00042	MCV_MP1_TRBIV_GQ273492.1_00027
OG0000026	Rana_SGIV_AY521625.1_00060	MCV_MP1_TRBIV_GQ273492.1_00106
OG0000027	Rana_SGIV_AY521625.1_00022	MCV_MP1_TRBIV_GQ273492.1_00085
OG0000032	Rana_SGIV_AY521625.1_00004	MCV_MP1_TRBIV_GQ273492.1_00001
