Orthogroup	Rana_SGIV_AY521625.1	Chlor_AMIV_KF938901.1
OG0000000	Rana_SGIV_AY521625.1_00091	Chlor_AMIV_KF938901.1_00126
OG0000001	Rana_SGIV_AY521625.1_00064	Chlor_AMIV_KF938901.1_00044
OG0000002	Rana_SGIV_AY521625.1_00077	Chlor_AMIV_KF938901.1_00080
OG0000003	Rana_SGIV_AY521625.1_00130	Chlor_AMIV_KF938901.1_00005
OG0000004	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070	Chlor_AMIV_KF938901.1_00043
OG0000005	Rana_SGIV_AY521625.1_00016	Chlor_AMIV_KF938901.1_00053
OG0000006	Rana_SGIV_AY521625.1_00085	Chlor_AMIV_KF938901.1_00067
OG0000007	Rana_SGIV_AY521625.1_00051	Chlor_AMIV_KF938901.1_00072
OG0000008	Rana_SGIV_AY521625.1_00142	Chlor_AMIV_KF938901.1_00114
OG0000009	Rana_SGIV_AY521625.1_00100	Chlor_AMIV_KF938901.1_00125
OG0000011	Rana_SGIV_AY521625.1_00086	Chlor_AMIV_KF938901.1_00012
OG0000012	Rana_SGIV_AY521625.1_00065	Chlor_AMIV_KF938901.1_00023
OG0000013	Rana_SGIV_AY521625.1_00047	Chlor_AMIV_KF938901.1_00025
OG0000014	Rana_SGIV_AY521625.1_00073	Chlor_AMIV_KF938901.1_00046
OG0000015	Rana_SGIV_AY521625.1_00074	Chlor_AMIV_KF938901.1_00047
OG0000016	Rana_SGIV_AY521625.1_00110	Chlor_AMIV_KF938901.1_00054
OG0000017	Rana_SGIV_AY521625.1_00048	Chlor_AMIV_KF938901.1_00060
OG0000018	Rana_SGIV_AY521625.1_00115	Chlor_AMIV_KF938901.1_00074
OG0000019	Rana_SGIV_AY521625.1_00053	Chlor_AMIV_KF938901.1_00092
OG0000020	Rana_SGIV_AY521625.1_00035	Chlor_AMIV_KF938901.1_00095
OG0000021	Rana_SGIV_AY521625.1_00059	Chlor_AMIV_KF938901.1_00123
OG0000022	Rana_SGIV_AY521625.1_00054	Chlor_AMIV_KF938901.1_00124
OG0000023	Rana_SGIV_AY521625.1_00062	Chlor_AMIV_KF938901.1_00031
OG0000024	Rana_SGIV_AY521625.1_00042	Chlor_AMIV_KF938901.1_00094
OG0000133	Rana_SGIV_AY521625.1_00102	Chlor_AMIV_KF938901.1_00007
OG0000134	Rana_SGIV_AY521625.1_00098	Chlor_AMIV_KF938901.1_00086
OG0000137	Rana_SGIV_AY521625.1_00056	Chlor_AMIV_KF938901.1_00048
OG0000148	Rana_SGIV_AY521625.1_00133	Chlor_AMIV_KF938901.1_00069
OG0000152	Rana_SGIV_AY521625.1_00018	Chlor_AMIV_KF938901.1_00027
OG0000156	Rana_SGIV_AY521625.1_00044	Chlor_AMIV_KF938901.1_00118
OG0000165	Rana_SGIV_AY521625.1_00140	Chlor_AMIV_KF938901.1_00009
OG0000166	Rana_SGIV_AY521625.1_00005	Chlor_AMIV_KF938901.1_00017
OG0000168	Rana_SGIV_AY521625.1_00014	Chlor_AMIV_KF938901.1_00101
