Orthogroup	Rana_SGIV_AY521625.1	Daphi_LS484712.1
OG0000000	Rana_SGIV_AY521625.1_00091	Daphi_LS484712.1_00114
OG0000001	Rana_SGIV_AY521625.1_00064	Daphi_LS484712.1_00142
OG0000002	Rana_SGIV_AY521625.1_00077	Daphi_LS484712.1_00095
OG0000003	Rana_SGIV_AY521625.1_00130	Daphi_LS484712.1_00187
OG0000005	Rana_SGIV_AY521625.1_00016	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234
OG0000006	Rana_SGIV_AY521625.1_00085	Daphi_LS484712.1_00248
OG0000007	Rana_SGIV_AY521625.1_00051	Daphi_LS484712.1_00040
OG0000008	Rana_SGIV_AY521625.1_00142	Daphi_LS484712.1_00130
OG0000009	Rana_SGIV_AY521625.1_00100	Daphi_LS484712.1_00256
OG0000011	Rana_SGIV_AY521625.1_00086	Daphi_LS484712.1_00192
OG0000012	Rana_SGIV_AY521625.1_00065	Daphi_LS484712.1_00194
OG0000013	Rana_SGIV_AY521625.1_00047	Daphi_LS484712.1_00053
OG0000014	Rana_SGIV_AY521625.1_00073	Daphi_LS484712.1_00048
OG0000015	Rana_SGIV_AY521625.1_00074	Daphi_LS484712.1_00188
OG0000016	Rana_SGIV_AY521625.1_00110	Daphi_LS484712.1_00200
OG0000017	Rana_SGIV_AY521625.1_00048	Daphi_LS484712.1_00143
OG0000018	Rana_SGIV_AY521625.1_00115	Daphi_LS484712.1_00202
OG0000019	Rana_SGIV_AY521625.1_00053	Daphi_LS484712.1_00203
OG0000020	Rana_SGIV_AY521625.1_00035	Daphi_LS484712.1_00135
OG0000021	Rana_SGIV_AY521625.1_00059	Daphi_LS484712.1_00240
OG0000022	Rana_SGIV_AY521625.1_00054	Daphi_LS484712.1_00096
OG0000023	Rana_SGIV_AY521625.1_00062	Daphi_LS484712.1_00117
OG0000024	Rana_SGIV_AY521625.1_00042	Daphi_LS484712.1_00149
OG0000133	Rana_SGIV_AY521625.1_00102	Daphi_LS484712.1_00197
OG0000134	Rana_SGIV_AY521625.1_00098	Daphi_LS484712.1_00057
OG0000137	Rana_SGIV_AY521625.1_00056	Daphi_LS484712.1_00251
OG0000148	Rana_SGIV_AY521625.1_00133	Daphi_LS484712.1_00133
