Orthogroup	Rana_SGIV_AY521625.1	Decap_MF599468.1
OG0000000	Rana_SGIV_AY521625.1_00091	Decap_MF599468.1_00057, Decap_MF599468.1_00056
OG0000001	Rana_SGIV_AY521625.1_00064	Decap_MF599468.1_00152
OG0000002	Rana_SGIV_AY521625.1_00077	Decap_MF599468.1_00163
OG0000003	Rana_SGIV_AY521625.1_00130	Decap_MF599468.1_00011
OG0000004	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070	Decap_MF599468.1_00092
OG0000005	Rana_SGIV_AY521625.1_00016	Decap_MF599468.1_00174
OG0000006	Rana_SGIV_AY521625.1_00085	Decap_MF599468.1_00030
OG0000007	Rana_SGIV_AY521625.1_00051	Decap_MF599468.1_00010
OG0000008	Rana_SGIV_AY521625.1_00142	Decap_MF599468.1_00075
OG0000009	Rana_SGIV_AY521625.1_00100	Decap_MF599468.1_00154
OG0000011	Rana_SGIV_AY521625.1_00086	Decap_MF599468.1_00106
OG0000012	Rana_SGIV_AY521625.1_00065	Decap_MF599468.1_00071
OG0000013	Rana_SGIV_AY521625.1_00047	Decap_MF599468.1_00117
OG0000014	Rana_SGIV_AY521625.1_00073	Decap_MF599468.1_00046
OG0000015	Rana_SGIV_AY521625.1_00074	Decap_MF599468.1_00090
OG0000016	Rana_SGIV_AY521625.1_00110	Decap_MF599468.1_00112
OG0000017	Rana_SGIV_AY521625.1_00048	Decap_MF599468.1_00033
OG0000018	Rana_SGIV_AY521625.1_00115	Decap_MF599468.1_00122
OG0000019	Rana_SGIV_AY521625.1_00053	Decap_MF599468.1_00149
OG0000020	Rana_SGIV_AY521625.1_00035	Decap_MF599468.1_00009
OG0000021	Rana_SGIV_AY521625.1_00059	Decap_MF599468.1_00035
OG0000022	Rana_SGIV_AY521625.1_00054	Decap_MF599468.1_00116
OG0000023	Rana_SGIV_AY521625.1_00062	Decap_MF599468.1_00171
OG0000026	Rana_SGIV_AY521625.1_00060	Decap_MF599468.1_00039
OG0000113	Rana_SGIV_AY521625.1_00036	Decap_MF599468.1_00096
OG0000133	Rana_SGIV_AY521625.1_00102	Decap_MF599468.1_00027
OG0000134	Rana_SGIV_AY521625.1_00098	Decap_MF599468.1_00002
OG0000148	Rana_SGIV_AY521625.1_00133	Decap_MF599468.1_00161
OG0000152	Rana_SGIV_AY521625.1_00018	Decap_MF599468.1_00060
OG0000156	Rana_SGIV_AY521625.1_00044	Decap_MF599468.1_00142
OG0000160	Rana_SGIV_AY521625.1_00126	Decap_MF599468.1_00156, Decap_MF599468.1_00066
OG0000168	Rana_SGIV_AY521625.1_00014	Decap_MF599468.1_00081
OG0000177	Rana_SGIV_AY521625.1_00011	Decap_MF599468.1_00089, Decap_MF599468.1_00108
OG0000205	Rana_SGIV_AY521625.1_00066	Decap_MF599468.1_00006
OG0000231	Rana_SGIV_AY521625.1_00057	Decap_MF599468.1_00062
OG0000354	Rana_SGIV_AY521625.1_00089	Decap_MF599468.1_00076
