Orthogroup	MG570131.1	AY532606.1
OG0000000	MG570131.1_00031	AY532606.1_00030
OG0000001	MG570131.1_00007, MG570131.1_00008	AY532606.1_00006
OG0000002	MG570131.1_00074	AY532606.1_00079
OG0000003	MG570131.1_00009	AY532606.1_00007
OG0000004	MG570131.1_00016	AY532606.1_00014
OG0000005	MG570131.1_00030	AY532606.1_00029
OG0000006	MG570131.1_00073	AY532606.1_00078
OG0000007	MG570131.1_00087	AY532606.1_00093
OG0000008	MG570131.1_00108	AY532606.1_00116, AY532606.1_00117
OG0000009	MG570131.1_00110	AY532606.1_00120, AY532606.1_00119
OG0000010	MG570131.1_00005	AY532606.1_00004
OG0000011	MG570131.1_00023	AY532606.1_00020
OG0000012	MG570131.1_00032	AY532606.1_00031
OG0000013	MG570131.1_00034	AY532606.1_00033
OG0000014	MG570131.1_00036	AY532606.1_00035
OG0000015	MG570131.1_00057	AY532606.1_00057
OG0000016	MG570131.1_00063	AY532606.1_00064
OG0000017	MG570131.1_00083	AY532606.1_00088
OG0000018	MG570131.1_00084	AY532606.1_00089
OG0000019	MG570131.1_00103	AY532606.1_00111
OG0000020	MG570131.1_00118	AY532606.1_00125
OG0000021	MG570131.1_00119	AY532606.1_00126
OG0000023	MG570131.1_00092	AY532606.1_00099
OG0000024	MG570131.1_00106	AY532606.1_00114
OG0000025	MG570131.1_00064	AY532606.1_00066, AY532606.1_00065
OG0000026	MG570131.1_00085	AY532606.1_00090
OG0000027	MG570131.1_00048	AY532606.1_00047
OG0000028	MG570131.1_00006	AY532606.1_00005
OG0000029	MG570131.1_00061	AY532606.1_00062
OG0000030	MG570131.1_00001	AY532606.1_00001
OG0000031	MG570131.1_00078	AY532606.1_00083
OG0000032	MG570131.1_00086	AY532606.1_00091
OG0000033	MG570131.1_00120	AY532606.1_00127
OG0000034	MG570131.1_00014	AY532606.1_00012
OG0000035	MG570131.1_00015	AY532606.1_00013
OG0000036	MG570131.1_00020	AY532606.1_00018
OG0000037	MG570131.1_00021	AY532606.1_00019
OG0000038	MG570131.1_00024	AY532606.1_00021
OG0000039	MG570131.1_00025	AY532606.1_00022
OG0000040	MG570131.1_00033	AY532606.1_00032
OG0000041	MG570131.1_00037	AY532606.1_00036
OG0000042	MG570131.1_00049	AY532606.1_00049
OG0000043	MG570131.1_00050	AY532606.1_00050
OG0000044	MG570131.1_00055	AY532606.1_00055
OG0000045	MG570131.1_00056	AY532606.1_00056
OG0000046	MG570131.1_00058	AY532606.1_00058
OG0000047	MG570131.1_00059	AY532606.1_00059
OG0000048	MG570131.1_00060	AY532606.1_00061
OG0000049	MG570131.1_00075	AY532606.1_00080
OG0000050	MG570131.1_00079	AY532606.1_00084
OG0000051	MG570131.1_00080	AY532606.1_00085
OG0000052	MG570131.1_00091	AY532606.1_00097
OG0000053	MG570131.1_00093	AY532606.1_00100
OG0000054	MG570131.1_00096	AY532606.1_00103
OG0000055	MG570131.1_00107	AY532606.1_00115
OG0000056	MG570131.1_00112	AY532606.1_00122
OG0000057	MG570131.1_00114	AY532606.1_00124
OG0000059	MG570131.1_00011	AY532606.1_00009
OG0000060	MG570131.1_00019	AY532606.1_00017
OG0000061	MG570131.1_00088	AY532606.1_00094
OG0000062	MG570131.1_00027	AY532606.1_00026
OG0000063	MG570131.1_00070	AY532606.1_00075
OG0000064	MG570131.1_00018	AY532606.1_00016
OG0000065	MG570131.1_00039	AY532606.1_00038
OG0000066	MG570131.1_00043	AY532606.1_00043
OG0000067	MG570131.1_00047	AY532606.1_00046
OG0000068	MG570131.1_00066	AY532606.1_00069
OG0000069	MG570131.1_00095	AY532606.1_00102
OG0000070	MG570131.1_00097	AY532606.1_00104
OG0000071	MG570131.1_00111	AY532606.1_00121
OG0000072	MG570131.1_00010	AY532606.1_00008
OG0000073	MG570131.1_00013	AY532606.1_00011
OG0000074	MG570131.1_00017	AY532606.1_00015
OG0000075	MG570131.1_00035	AY532606.1_00034
OG0000076	MG570131.1_00038	AY532606.1_00037
OG0000077	MG570131.1_00041	AY532606.1_00040
OG0000078	MG570131.1_00042	AY532606.1_00042
OG0000079	MG570131.1_00046	AY532606.1_00045
OG0000080	MG570131.1_00051	AY532606.1_00051
OG0000081	MG570131.1_00052	AY532606.1_00052
OG0000082	MG570131.1_00053	AY532606.1_00053
OG0000083	MG570131.1_00062	AY532606.1_00063
OG0000084	MG570131.1_00065	AY532606.1_00067
OG0000085	MG570131.1_00067	AY532606.1_00070
OG0000086	MG570131.1_00068	AY532606.1_00071
OG0000087	MG570131.1_00071	AY532606.1_00076
OG0000088	MG570131.1_00072	AY532606.1_00077
OG0000089	MG570131.1_00081	AY532606.1_00086
OG0000090	MG570131.1_00082	AY532606.1_00087
OG0000091	MG570131.1_00094	AY532606.1_00101
OG0000092	MG570131.1_00098	AY532606.1_00105
OG0000093	MG570131.1_00101	AY532606.1_00109
OG0000094	MG570131.1_00104	AY532606.1_00112
OG0000095	MG570131.1_00105	AY532606.1_00113
OG0000097	MG570131.1_00003	AY532606.1_00002
OG0000098	MG570131.1_00004	AY532606.1_00003
OG0000099	MG570131.1_00040	AY532606.1_00039
OG0000101	MG570131.1_00069	AY532606.1_00073
OG0000102	MG570131.1_00076	AY532606.1_00081
OG0000103	MG570131.1_00099	AY532606.1_00106
