Orthogroup	MG570131.1	MK098185.1
OG0000000	MG570131.1_00031	MK098185.1_00033
OG0000001	MG570131.1_00007, MG570131.1_00008	MK098185.1_00007
OG0000002	MG570131.1_00074	MK098185.1_00077
OG0000003	MG570131.1_00009	MK098185.1_00008
OG0000004	MG570131.1_00016	MK098185.1_00015
OG0000005	MG570131.1_00030	MK098185.1_00032
OG0000006	MG570131.1_00073	MK098185.1_00076
OG0000007	MG570131.1_00087	MK098185.1_00090
OG0000008	MG570131.1_00108	MK098185.1_00112
OG0000009	MG570131.1_00110	MK098185.1_00114
OG0000010	MG570131.1_00005	MK098185.1_00005
OG0000011	MG570131.1_00023	MK098185.1_00022
OG0000012	MG570131.1_00032	MK098185.1_00034
OG0000013	MG570131.1_00034	MK098185.1_00036
OG0000014	MG570131.1_00036	MK098185.1_00038
OG0000015	MG570131.1_00057	MK098185.1_00058
OG0000016	MG570131.1_00063	MK098185.1_00064
OG0000017	MG570131.1_00083	MK098185.1_00086
OG0000018	MG570131.1_00084	MK098185.1_00087
OG0000019	MG570131.1_00103	MK098185.1_00107
OG0000020	MG570131.1_00118	MK098185.1_00122
OG0000021	MG570131.1_00119	MK098185.1_00123
OG0000022	MG570131.1_00045	MK098185.1_00047
OG0000023	MG570131.1_00092	MK098185.1_00095
OG0000024	MG570131.1_00106	MK098185.1_00110
OG0000025	MG570131.1_00064	MK098185.1_00065
OG0000026	MG570131.1_00085	MK098185.1_00088
OG0000027	MG570131.1_00048	MK098185.1_00050
OG0000028	MG570131.1_00006	MK098185.1_00006
OG0000029	MG570131.1_00061	MK098185.1_00062
OG0000030	MG570131.1_00001	MK098185.1_00001
OG0000032	MG570131.1_00086	MK098185.1_00089
OG0000033	MG570131.1_00120	MK098185.1_00124
OG0000034	MG570131.1_00014	MK098185.1_00013
OG0000035	MG570131.1_00015	MK098185.1_00014
OG0000036	MG570131.1_00020	MK098185.1_00019
OG0000037	MG570131.1_00021	MK098185.1_00020
OG0000038	MG570131.1_00024	MK098185.1_00023
OG0000039	MG570131.1_00025	MK098185.1_00024
OG0000040	MG570131.1_00033	MK098185.1_00035
OG0000041	MG570131.1_00037	MK098185.1_00039
OG0000042	MG570131.1_00049	MK098185.1_00051
OG0000043	MG570131.1_00050	MK098185.1_00052
OG0000044	MG570131.1_00055	MK098185.1_00056
OG0000045	MG570131.1_00056	MK098185.1_00057
OG0000046	MG570131.1_00058	MK098185.1_00059
OG0000047	MG570131.1_00059	MK098185.1_00060
OG0000048	MG570131.1_00060	MK098185.1_00061
OG0000049	MG570131.1_00075	MK098185.1_00078
OG0000050	MG570131.1_00079	MK098185.1_00082
OG0000051	MG570131.1_00080	MK098185.1_00083
OG0000052	MG570131.1_00091	MK098185.1_00094
OG0000053	MG570131.1_00093	MK098185.1_00096
OG0000054	MG570131.1_00096	MK098185.1_00099
OG0000055	MG570131.1_00107	MK098185.1_00111
OG0000056	MG570131.1_00112	MK098185.1_00116
OG0000057	MG570131.1_00114	MK098185.1_00118
OG0000058	MG570131.1_00002	MK098185.1_00002
OG0000059	MG570131.1_00011	MK098185.1_00010
OG0000060	MG570131.1_00019	MK098185.1_00018
OG0000061	MG570131.1_00088	MK098185.1_00091
OG0000062	MG570131.1_00027	MK098185.1_00029
OG0000063	MG570131.1_00070	MK098185.1_00073
OG0000064	MG570131.1_00018	MK098185.1_00017
