Orthogroup	MW273353	KX643370
OG0000000	AF371960.1_00031 hypothetical protein	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	AF371960.1_00008 hypothetical protein	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000002	AF371960.1_00015 hypothetical protein	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000003	AF371960.1_00030 hypothetical protein	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	AF371960.1_00113 hypothetical protein	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000005	AF371960.1_00005 hypothetical protein	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000006	AF371960.1_00007 Major capsid protein	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000007	AF371960.1_00021 hypothetical protein	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000008	AF371960.1_00032 hypothetical protein	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000009	AF371960.1_00036 DNA-directed RNA polymerase subunit 2	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000010	AF371960.1_00057 hypothetical protein	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000011	AF371960.1_00064 hypothetical protein	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000012	AF371960.1_00088 hypothetical protein	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000013	AF371960.1_00092 hypothetical protein	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000014	AF371960.1_00107 hypothetical protein	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000015	AF371960.1_00121 hypothetical protein	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000016	AF371960.1_00122 hypothetical protein	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000017	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000018	AF371960.1_00034 hypothetical protein	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000019	AF371960.1_00078 hypothetical protein	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000020	AF371960.1_00089 hypothetical protein	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000021	AF371960.1_00096 hypothetical protein	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000022	AF371960.1_00112 hypothetical protein	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000023	AF371960.1_00006 hypothetical protein	Lymph_LDV3_KX643370_00001 hypothetical protein
OG0000024	AF371960.1_00045 hypothetical protein	Lymph_LDV3_KX643370_00089 hypothetical protein
OG0000026	AF371960.1_00090 hypothetical protein	Lymph_LDV3_KX643370_00015 hypothetical protein
OG0000027	AF371960.1_00110 hypothetical protein	Lymph_LDV3_KX643370_00119 hypothetical protein
OG0000028	AF371960.1_00048 hypothetical protein	Lymph_LDV3_KX643370_00096 hypothetical protein
