Orthogroup	KF938901	MF599468
OG0000000	KF938901.1_00126 DNA-directed RNA polymerase subunit 1	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2
OG0000001	KF938901.1_00005 hypothetical protein	MF599468.1_00011 MF599468.1 - hypothetical protein translation
OG0000002	KF938901.1_00080 hypothetical protein	MF599468.1_00163 MF599468.1 - hypothetical protein translation
OG0000003	KF938901.1_00067 hypothetical protein	MF599468.1_00030 MF599468.1 - hypothetical protein translation
OG0000004	KF938901.1_00114 hypothetical protein	MF599468.1_00075 MF599468.1 - hypothetical protein translation
OG0000005	KF938901.1_00092 hypothetical protein	MF599468.1_00149 MF599468.1 - hypothetical protein translation
OG0000006	KF938901.1_00054 hypothetical protein	MF599468.1_00112 MF599468.1 - hypothetical protein translation
OG0000007	KF938901.1_00060 hypothetical protein	MF599468.1_00033 MF599468.1 - hypothetical protein translation
OG0000008	KF938901.1_00074 hypothetical protein	MF599468.1_00122 MF599468.1 - hypothetical protein translation
OG0000009	KF938901.1_00095 hypothetical protein	MF599468.1_00009 MF599468.1 - hypothetical protein translation
OG0000010	KF938901.1_00123 hypothetical protein	MF599468.1_00035 MF599468.1 - hypothetical protein translation
OG0000011	KF938901.1_00025 hypothetical protein	MF599468.1_00117 MF599468.1 - hypothetical protein translation
OG0000012	KF938901.1_00044 Major capsid protein	MF599468.1_00152 MF599468.1 - Major capsid protein translation
OG0000013	KF938901.1_00012 hypothetical protein	MF599468.1_00106 MF599468.1 - hypothetical protein translation
OG0000014	KF938901.1_00053 hypothetical protein	MF599468.1_00174 MF599468.1 - hypothetical protein translation
OG0000015	KF938901.1_00047 hypothetical protein	MF599468.1_00090 MF599468.1 - hypothetical protein translation
OG0000016	KF938901.1_00124 hypothetical protein	MF599468.1_00116 MF599468.1 - hypothetical protein translation
OG0000017	KF938901.1_00023 DNA-directed RNA polymerase subunit 2	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000018	KF938901.1_00046 hypothetical protein	MF599468.1_00046 MF599468.1 - hypothetical protein translation
OG0000019	KF938901.1_00043 hypothetical protein	MF599468.1_00092 MF599468.1 - hypothetical protein translation
OG0000020	KF938901.1_00125 hypothetical protein	MF599468.1_00154 MF599468.1 - hypothetical protein translation
OG0000023	KF938901.1_00072 hypothetical protein	MF599468.1_00010 MF599468.1 - hypothetical protein translation
OG0000064	KF938901.1_00085 hypothetical protein, KF938901.1_00140 hypothetical protein	MF599468.1_00102 MF599468.1 - hypothetical protein translation, MF599468.1_00100 MF599468.1 - hypothetical protein translation, MF599468.1_00099 MF599468.1 - hypothetical protein translation, MF599468.1_00114 MF599468.1 - hypothetical protein translation
OG0000130	KF938901.1_00086 hypothetical protein	MF599468.1_00002 MF599468.1 - hypothetical protein translation
OG0000134	KF938901.1_00065 hypothetical protein	MF599468.1_00051 MF599468.1 - hypothetical protein translation
OG0000138	KF938901.1_00069 hypothetical protein	MF599468.1_00161 MF599468.1 - hypothetical protein translation
OG0000139	KF938901.1_00007 hypothetical protein	MF599468.1_00027 MF599468.1 - hypothetical protein translation
OG0000146	KF938901.1_00106 hypothetical protein	MF599468.1_00074 MF599468.1 - hypothetical protein translation
OG0000147	KF938901.1_00118 Deoxyuridine	MF599468.1_00142 MF599468.1 - Deoxyuridine
OG0000150	KF938901.1_00027 hypothetical protein	MF599468.1_00060 MF599468.1 - hypothetical protein translation
OG0000156	KF938901.1_00102 hypothetical protein	MF599468.1_00141 MF599468.1 - hypothetical protein translation
OG0000158	KF938901.1_00117 hypothetical protein	MF599468.1_00004 MF599468.1 - hypothetical protein translation
OG0000159	KF938901.1_00103 hypothetical protein	MF599468.1_00162 MF599468.1 - hypothetical protein translation
OG0000160	KF938901.1_00128 DNA ligase	MF599468.1_00067 MF599468.1 - DNA ligase translation
OG0000161	KF938901.1_00121 hypothetical protein	MF599468.1_00105 MF599468.1 - hypothetical protein translation
OG0000162	KF938901.1_00101 hypothetical protein	MF599468.1_00081 MF599468.1 - hypothetical protein translation
OG0000163	KF938901.1_00104 hypothetical protein	MF599468.1_00045 MF599468.1 - hypothetical protein translation
OG0000164	KF938901.1_00150 hypothetical protein	MF599468.1_00155 MF599468.1 - hypothetical protein translation
OG0000173	KF938901.1_00116 hypothetical protein	MF599468.1_00129 MF599468.1 - hypothetical protein translation
OG0000174	KF938901.1_00133 hypothetical protein	MF599468.1_00022 MF599468.1 - hypothetical protein translation
OG0000176	KF938901.1_00141 DNA topoisomerase 2	MF599468.1_00079 MF599468.1 - hypothetical protein translation
OG0000177	KF938901.1_00014 hypothetical protein	MF599468.1_00037 MF599468.1 - hypothetical protein translation
OG0000178	KF938901.1_00100 hypothetical protein	MF599468.1_00025 MF599468.1 - hypothetical protein translation
OG0000180	KF938901.1_00073 hypothetical protein	MF599468.1_00052 MF599468.1 - hypothetical protein translation, MF599468.1_00061 MF599468.1 - hypothetical protein translation
OG0000181	KF938901.1_00152 hypothetical protein	MF599468.1_00043 MF599468.1 - hypothetical protein translation
OG0000184	KF938901.1_00134 hypothetical protein	MF599468.1_00015 MF599468.1 - hypothetical protein translation
OG0000186	KF938901.1_00070 hypothetical protein	MF599468.1_00172 MF599468.1 - hypothetical protein translation
OG0000187	KF938901.1_00146 hypothetical protein	MF599468.1_00044 MF599468.1 - hypothetical protein translation
OG0000189	KF938901.1_00079 hypothetical protein	MF599468.1_00065 MF599468.1 - hypothetical protein translation
OG0000194	KF938901.1_00148 hypothetical protein	MF599468.1_00125 MF599468.1 - hypothetical protein translation
