Orthogroup	KF938901	KX643370
OG0000000	KF938901.1_00126 DNA-directed RNA polymerase subunit 1	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	KF938901.1_00005 hypothetical protein	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000002	KF938901.1_00080 hypothetical protein	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000003	KF938901.1_00067 hypothetical protein	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	KF938901.1_00114 hypothetical protein	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000005	KF938901.1_00092 hypothetical protein	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000006	KF938901.1_00054 hypothetical protein	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000007	KF938901.1_00060 hypothetical protein	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000008	KF938901.1_00074 hypothetical protein	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000009	KF938901.1_00095 hypothetical protein	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000010	KF938901.1_00123 hypothetical protein	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000011	KF938901.1_00025 hypothetical protein	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000012	KF938901.1_00044 Major capsid protein	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000013	KF938901.1_00012 hypothetical protein	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000014	KF938901.1_00053 hypothetical protein	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000015	KF938901.1_00047 hypothetical protein	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000016	KF938901.1_00124 hypothetical protein	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000017	KF938901.1_00023 DNA-directed RNA polymerase subunit 2	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000018	KF938901.1_00046 hypothetical protein	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000019	KF938901.1_00043 hypothetical protein	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000020	KF938901.1_00125 hypothetical protein	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000021	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000023	KF938901.1_00072 hypothetical protein	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000130	KF938901.1_00086 hypothetical protein	Lymph_LDV3_KX643370_00121 hypothetical protein
OG0000133	KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit
OG0000134	KF938901.1_00065 hypothetical protein	Lymph_LDV3_KX643370_00145 hypothetical protein
OG0000135	KF938901.1_00108 Thymidylate synthase	Lymph_LDV3_KX643370_00042 Thymidylate synthase
OG0000139	KF938901.1_00007 hypothetical protein	Lymph_LDV3_KX643370_00043 hypothetical protein
OG0000146	KF938901.1_00106 hypothetical protein	Lymph_LDV3_KX643370_00140 hypothetical protein
OG0000150	KF938901.1_00027 hypothetical protein	Lymph_LDV3_KX643370_00149 hypothetical protein
OG0000167	KF938901.1_00017 hypothetical protein	Lymph_LDV3_KX643370_00060 hypothetical protein
OG0000169	KF938901.1_00009 hypothetical protein	Lymph_LDV3_KX643370_00080 hypothetical protein
OG0000198	KF938901.1_00137 hypothetical protein	Lymph_LDV3_KX643370_00020 hypothetical protein
