Orthogroup	HF920633.1	MK689685.1
OG0000000	HF920633.1_00044	MK689685.1_00029
OG0000001	HF920633.1_00073	MK689685.1_00007
OG0000003	HF920633.1_00069	MK689685.1_00008
OG0000004	HF920633.1_00127	MK689685.1_00015
OG0000005	HF920633.1_00043	MK689685.1_00028
OG0000006	HF920633.1_00025	MK689685.1_00075
OG0000007	HF920633.1_00091	MK689685.1_00089
OG0000008	HF920633.1_00079	MK689685.1_00110
OG0000009	HF920633.1_00122	MK689685.1_00111
OG0000010	HF920633.1_00097	MK689685.1_00005
OG0000011	HF920633.1_00001	MK689685.1_00021
OG0000012	HF920633.1_00080	MK689685.1_00030
OG0000013	HF920633.1_00158	MK689685.1_00032
OG0000014	HF920633.1_00175	MK689685.1_00034
OG0000015	HF920633.1_00067	MK689685.1_00054
OG0000016	HF920633.1_00118	MK689685.1_00061
OG0000017	HF920633.1_00163	MK689685.1_00085
OG0000018	HF920633.1_00094	MK689685.1_00086
OG0000019	HF920633.1_00003	MK689685.1_00105
OG0000020	HF920633.1_00138	MK689685.1_00118
OG0000021	HF920633.1_00058	MK689685.1_00119
OG0000022	HF920633.1_00017	MK689685.1_00043
OG0000025	HF920633.1_00047	MK689685.1_00062
OG0000028	HF920633.1_00030	MK689685.1_00006
