Orthogroup	HF920633.1	MN562489.1
OG0000000	HF920633.1_00044	MN562489.1_00102
OG0000001	HF920633.1_00073	MN562489.1_00080
OG0000003	HF920633.1_00069	MN562489.1_00081
OG0000004	HF920633.1_00127	MN562489.1_00087
OG0000005	HF920633.1_00043	MN562489.1_00099
OG0000006	HF920633.1_00025	MN562489.1_00116
OG0000007	HF920633.1_00091	MN562489.1_00052
OG0000008	HF920633.1_00079	MN562489.1_00060
OG0000009	HF920633.1_00122	MN562489.1_00059
OG0000010	HF920633.1_00097	MN562489.1_00124
OG0000011	HF920633.1_00001	MN562489.1_00096
OG0000012	HF920633.1_00080	MN562489.1_00012
OG0000013	HF920633.1_00158	MN562489.1_00011
OG0000014	HF920633.1_00175	MN562489.1_00008
OG0000015	HF920633.1_00067	MN562489.1_00038
OG0000016	HF920633.1_00118	MN562489.1_00128
OG0000017	HF920633.1_00163	MN562489.1_00046
OG0000018	HF920633.1_00094	MN562489.1_00047
OG0000019	HF920633.1_00003	MN562489.1_00063
OG0000020	HF920633.1_00138	MN562489.1_00058
OG0000021	HF920633.1_00058	MN562489.1_00133
OG0000022	HF920633.1_00017	MN562489.1_00023
OG0000025	HF920633.1_00047	MN562489.1_00113
OG0000028	HF920633.1_00030	MN562489.1_00126
OG0000149	HF920633.1_00156	MN562489.1_00069
