Orthogroup	HF920633.1	MW139932.1
OG0000000	HF920633.1_00044	MW139932.1_00033
OG0000001	HF920633.1_00073	MW139932.1_00007
OG0000003	HF920633.1_00069	MW139932.1_00008
OG0000004	HF920633.1_00127	MW139932.1_00015
OG0000005	HF920633.1_00043	MW139932.1_00032
OG0000006	HF920633.1_00025	MW139932.1_00077
OG0000007	HF920633.1_00091	MW139932.1_00091
OG0000008	HF920633.1_00079	MW139932.1_00113
OG0000009	HF920633.1_00122	MW139932.1_00115
OG0000010	HF920633.1_00097	MW139932.1_00005
OG0000011	HF920633.1_00001	MW139932.1_00023
OG0000012	HF920633.1_00080	MW139932.1_00034
OG0000013	HF920633.1_00158	MW139932.1_00036
OG0000014	HF920633.1_00175	MW139932.1_00038
OG0000015	HF920633.1_00067	MW139932.1_00059
OG0000016	HF920633.1_00118	MW139932.1_00065
OG0000017	HF920633.1_00163	MW139932.1_00087
OG0000018	HF920633.1_00094	MW139932.1_00088
OG0000019	HF920633.1_00003	MW139932.1_00108
OG0000020	HF920633.1_00138	MW139932.1_00123
OG0000021	HF920633.1_00058	MW139932.1_00124
OG0000022	HF920633.1_00017	MW139932.1_00047
OG0000025	HF920633.1_00047	MW139932.1_00066
OG0000028	HF920633.1_00030	MW139932.1_00006
