Orthogroup	HF920633.1	ON075463.1
OG0000000	HF920633.1_00044	ON075463.1_00029
OG0000001	HF920633.1_00073	ON075463.1_00007
OG0000003	HF920633.1_00069	ON075463.1_00008
OG0000004	HF920633.1_00127	ON075463.1_00014
OG0000005	HF920633.1_00043	ON075463.1_00028
OG0000006	HF920633.1_00025	ON075463.1_00073
OG0000007	HF920633.1_00091	ON075463.1_00087
OG0000008	HF920633.1_00079	ON075463.1_00109
OG0000009	HF920633.1_00122	ON075463.1_00111
OG0000010	HF920633.1_00097	ON075463.1_00005
OG0000011	HF920633.1_00001	ON075463.1_00021
OG0000012	HF920633.1_00080	ON075463.1_00030
OG0000013	HF920633.1_00158	ON075463.1_00032
OG0000014	HF920633.1_00175	ON075463.1_00034
OG0000015	HF920633.1_00067	ON075463.1_00055
OG0000016	HF920633.1_00118	ON075463.1_00061
OG0000017	HF920633.1_00163	ON075463.1_00083
OG0000018	HF920633.1_00094	ON075463.1_00084
OG0000019	HF920633.1_00003	ON075463.1_00104
OG0000020	HF920633.1_00138	ON075463.1_00118
OG0000021	HF920633.1_00058	ON075463.1_00119
OG0000022	HF920633.1_00017	ON075463.1_00043
OG0000025	HF920633.1_00047	ON075463.1_00062
OG0000028	HF920633.1_00030	ON075463.1_00006
