Orthogroup	HF920633.1	MG570132.1
OG0000000	HF920633.1_00044	MG570132.1_00031
OG0000001	HF920633.1_00073	MG570132.1_00007, MG570132.1_00008
OG0000003	HF920633.1_00069	MG570132.1_00009
OG0000004	HF920633.1_00127	MG570132.1_00016
OG0000005	HF920633.1_00043	MG570132.1_00030
OG0000006	HF920633.1_00025	MG570132.1_00073
OG0000007	HF920633.1_00091	MG570132.1_00087
OG0000008	HF920633.1_00079	MG570132.1_00108
OG0000009	HF920633.1_00122	MG570132.1_00110
OG0000010	HF920633.1_00097	MG570132.1_00005
OG0000011	HF920633.1_00001	MG570132.1_00023
OG0000012	HF920633.1_00080	MG570132.1_00032
OG0000013	HF920633.1_00158	MG570132.1_00034
OG0000014	HF920633.1_00175	MG570132.1_00036
OG0000015	HF920633.1_00067	MG570132.1_00057
OG0000016	HF920633.1_00118	MG570132.1_00063
OG0000017	HF920633.1_00163	MG570132.1_00083
OG0000018	HF920633.1_00094	MG570132.1_00084
OG0000019	HF920633.1_00003	MG570132.1_00103
OG0000020	HF920633.1_00138	MG570132.1_00118
OG0000021	HF920633.1_00058	MG570132.1_00119
OG0000022	HF920633.1_00017	MG570132.1_00045
OG0000025	HF920633.1_00047	MG570132.1_00064
OG0000028	HF920633.1_00030	MG570132.1_00006
