Orthogroup	HF920633.1	KF938901.1
OG0000000	HF920633.1_00044	KF938901.1_00126
OG0000001	HF920633.1_00073	KF938901.1_00044
OG0000003	HF920633.1_00069	KF938901.1_00080
OG0000004	HF920633.1_00127	KF938901.1_00005
OG0000005	HF920633.1_00043	KF938901.1_00067
OG0000006	HF920633.1_00025	KF938901.1_00072
OG0000007	HF920633.1_00091	KF938901.1_00053
OG0000008	HF920633.1_00079	KF938901.1_00043
OG0000009	HF920633.1_00122	KF938901.1_00114
OG0000010	HF920633.1_00097	KF938901.1_00124
OG0000011	HF920633.1_00001	KF938901.1_00054
OG0000012	HF920633.1_00080	KF938901.1_00047
OG0000013	HF920633.1_00158	KF938901.1_00123
OG0000014	HF920633.1_00175	KF938901.1_00023
OG0000015	HF920633.1_00067	KF938901.1_00060
OG0000016	HF920633.1_00118	KF938901.1_00092
OG0000017	HF920633.1_00163	KF938901.1_00012
OG0000018	HF920633.1_00094	KF938901.1_00046
OG0000019	HF920633.1_00003	KF938901.1_00025
OG0000020	HF920633.1_00138	KF938901.1_00074
OG0000021	HF920633.1_00058	KF938901.1_00095
OG0000022	HF920633.1_00017	KF938901.1_00031
OG0000025	HF920633.1_00047	KF938901.1_00093
OG0000121	HF920633.1_00057, HF920633.1_00107, HF920633.1_00172, HF920633.1_00170	KF938901.1_00085, KF938901.1_00140
OG0000125	HF920633.1_00147	KF938901.1_00115
OG0000125	HF920633.1_00174	KF938901.1_00020
OG0000125	HF920633.1_00130	KF938901.1_00049
OG0000137	HF920633.1_00135	KF938901.1_00086
OG0000138	HF920633.1_00064	KF938901.1_00007
OG0000147	HF920633.1_00062	KF938901.1_00094
OG0000148	HF920633.1_00132	KF938901.1_00048
OG0000149	HF920633.1_00156	KF938901.1_00108
OG0000151	HF920633.1_00024	KF938901.1_00027
OG0000154	HF920633.1_00026	KF938901.1_00069
OG0000155	HF920633.1_00053	KF938901.1_00065
OG0000159	HF920633.1_00171	KF938901.1_00017
OG0000161	HF920633.1_00106	KF938901.1_00118
OG0000162	HF920633.1_00034	KF938901.1_00009
OG0000167	HF920633.1_00036	KF938901.1_00106
OG0000176	HF920633.1_00161	KF938901.1_00006
OG0000176	HF920633.1_00031	KF938901.1_00105
OG0000177	HF920633.1_00046	KF938901.1_00150
OG0000178	HF920633.1_00082	KF938901.1_00103
OG0000179	HF920633.1_00088	KF938901.1_00112
OG0000180	HF920633.1_00096	KF938901.1_00153
OG0000181	HF920633.1_00105	KF938901.1_00117
OG0000182	HF920633.1_00134	KF938901.1_00102
OG0000183	HF920633.1_00139	KF938901.1_00137
OG0000184	HF920633.1_00145	KF938901.1_00104
OG0000185	HF920633.1_00169	KF938901.1_00128
OG0000186	HF920633.1_00177	KF938901.1_00121
OG0000200	HF920633.1_00020, HF920633.1_00021	KF938901.1_00099
OG0000201	HF920633.1_00022	KF938901.1_00152
OG0000202	HF920633.1_00029	KF938901.1_00008
OG0000203	HF920633.1_00032	KF938901.1_00073
OG0000204	HF920633.1_00035	KF938901.1_00010
OG0000205	HF920633.1_00039	KF938901.1_00075
OG0000206	HF920633.1_00041	KF938901.1_00155
OG0000207	HF920633.1_00050	KF938901.1_00077
OG0000208	HF920633.1_00056	KF938901.1_00070
OG0000209	HF920633.1_00103	KF938901.1_00100
OG0000210	HF920633.1_00110	KF938901.1_00133
OG0000211	HF920633.1_00120	KF938901.1_00134
OG0000212	HF920633.1_00121	KF938901.1_00113
OG0000213	HF920633.1_00123	KF938901.1_00146
OG0000214	HF920633.1_00125	KF938901.1_00148
OG0000215	HF920633.1_00128	KF938901.1_00116
OG0000216	HF920633.1_00131	KF938901.1_00063
OG0000217	HF920633.1_00146	KF938901.1_00139
OG0000218	HF920633.1_00149	KF938901.1_00141
OG0000219	HF920633.1_00165	KF938901.1_00014
OG0000266	HF920633.1_00008	KF938901.1_00130
OG0000267	HF920633.1_00012	KF938901.1_00034, KF938901.1_00032
OG0000268	HF920633.1_00013	KF938901.1_00035
OG0000269	HF920633.1_00023	KF938901.1_00098
OG0000271	HF920633.1_00060	KF938901.1_00050
OG0000272	HF920633.1_00074	KF938901.1_00045
OG0000273	HF920633.1_00085	KF938901.1_00125
OG0000274	HF920633.1_00087	KF938901.1_00090
OG0000276	HF920633.1_00102	KF938901.1_00136
OG0000277	HF920633.1_00113	KF938901.1_00062
OG0000278	HF920633.1_00144	KF938901.1_00101
OG0000279	HF920633.1_00155	KF938901.1_00154
OG0000280	HF920633.1_00159	KF938901.1_00083
OG0000281	HF920633.1_00160	KF938901.1_00082
OG0000282	HF920633.1_00164	KF938901.1_00013
OG0000327	HF920633.1_00005	KF938901.1_00026
OG0000328	HF920633.1_00006	KF938901.1_00028
OG0000329	HF920633.1_00015	KF938901.1_00037
OG0000330	HF920633.1_00016	KF938901.1_00038
OG0000331	HF920633.1_00018	KF938901.1_00029
OG0000332	HF920633.1_00033	KF938901.1_00149
OG0000333	HF920633.1_00037	KF938901.1_00107
OG0000334	HF920633.1_00042	KF938901.1_00110
OG0000335	HF920633.1_00045	KF938901.1_00041
OG0000336	HF920633.1_00048	KF938901.1_00068
OG0000337	HF920633.1_00049	KF938901.1_00004
OG0000338	HF920633.1_00051	KF938901.1_00078
OG0000339	HF920633.1_00052	KF938901.1_00011
OG0000340	HF920633.1_00061	KF938901.1_00109
OG0000341	HF920633.1_00063	KF938901.1_00057
OG0000342	HF920633.1_00066	KF938901.1_00059
OG0000343	HF920633.1_00070	KF938901.1_00018
OG0000345	HF920633.1_00078	KF938901.1_00042
OG0000346	HF920633.1_00089	KF938901.1_00096
OG0000347	HF920633.1_00090	KF938901.1_00051
OG0000348	HF920633.1_00095	KF938901.1_00002
OG0000349	HF920633.1_00098	KF938901.1_00079
OG0000350	HF920633.1_00111	KF938901.1_00132
OG0000352	HF920633.1_00115	KF938901.1_00144
OG0000353	HF920633.1_00136	KF938901.1_00087
OG0000355	HF920633.1_00141	KF938901.1_00061
OG0000356	HF920633.1_00142	KF938901.1_00071
OG0000357	HF920633.1_00151	KF938901.1_00003
OG0000358	HF920633.1_00157	KF938901.1_00129
OG0000359	HF920633.1_00162	KF938901.1_00088
OG0000360	HF920633.1_00167	KF938901.1_00040
