Orthogroup	HF920633.1	OP009387.1
OG0000000	HF920633.1_00044	OP009387.1_00030
OG0000001	HF920633.1_00073	OP009387.1_00007
OG0000003	HF920633.1_00069	OP009387.1_00008
OG0000004	HF920633.1_00127	OP009387.1_00015
OG0000005	HF920633.1_00043	OP009387.1_00029
OG0000006	HF920633.1_00025	OP009387.1_00077
OG0000007	HF920633.1_00091	OP009387.1_00091
OG0000008	HF920633.1_00079	OP009387.1_00112
OG0000009	HF920633.1_00122	OP009387.1_00113
OG0000010	HF920633.1_00097	OP009387.1_00005
OG0000011	HF920633.1_00001	OP009387.1_00023
OG0000012	HF920633.1_00080	OP009387.1_00031
OG0000013	HF920633.1_00158	OP009387.1_00033
OG0000014	HF920633.1_00175	OP009387.1_00035
OG0000015	HF920633.1_00067	OP009387.1_00057
OG0000016	HF920633.1_00118	OP009387.1_00064
OG0000017	HF920633.1_00163	OP009387.1_00087
OG0000018	HF920633.1_00094	OP009387.1_00088
OG0000019	HF920633.1_00003	OP009387.1_00107
OG0000020	HF920633.1_00138	OP009387.1_00121
OG0000021	HF920633.1_00058	OP009387.1_00122
OG0000022	HF920633.1_00017	OP009387.1_00044
OG0000025	HF920633.1_00047	OP009387.1_00065
OG0000028	HF920633.1_00030	OP009387.1_00006
