Orthogroup	HF920633.1	OL310752.1
OG0000000	HF920633.1_00044	OL310752.1_00108, OL310752.1_00113
OG0000001	HF920633.1_00073	OL310752.1_00019
OG0000003	HF920633.1_00069	OL310752.1_00018
OG0000004	HF920633.1_00127	OL310752.1_00012
OG0000005	HF920633.1_00043	OL310752.1_00107
OG0000006	HF920633.1_00025	OL310752.1_00078
OG0000007	HF920633.1_00091	OL310752.1_00042
OG0000008	HF920633.1_00079	OL310752.1_00060
OG0000009	HF920633.1_00122	OL310752.1_00116
OG0000010	HF920633.1_00097	OL310752.1_00021
OG0000011	HF920633.1_00001	OL310752.1_00004
OG0000012	HF920633.1_00080	OL310752.1_00114
OG0000013	HF920633.1_00158	OL310752.1_00085
OG0000014	HF920633.1_00175	OL310752.1_00083
OG0000015	HF920633.1_00067	OL310752.1_00096
OG0000016	HF920633.1_00118	OL310752.1_00027
OG0000017	HF920633.1_00163	OL310752.1_00046
OG0000018	HF920633.1_00094	OL310752.1_00045
OG0000019	HF920633.1_00003	OL310752.1_00065
OG0000020	HF920633.1_00138	OL310752.1_00071
OG0000021	HF920633.1_00058	OL310752.1_00072
OG0000022	HF920633.1_00017	OL310752.1_00052
OG0000025	HF920633.1_00047	OL310752.1_00028
OG0000028	HF920633.1_00030	OL310752.1_00020
