Orthogroup	MCV_ML1_SDDV_NC_027778.1	Chlor_IIV22_HF920633.1
OG0000000	MCV_ML1_SDDV_NC_027778.1_00083	Chlor_IIV22_HF920633.1_00044
OG0000001	MCV_ML1_SDDV_NC_027778.1_00061	Chlor_IIV22_HF920633.1_00073
OG0000002	MCV_ML1_SDDV_NC_027778.1_00062	Chlor_IIV22_HF920633.1_00069
OG0000003	MCV_ML1_SDDV_NC_027778.1_00068	Chlor_IIV22_HF920633.1_00127
OG0000004	MCV_ML1_SDDV_NC_027778.1_00040	Chlor_IIV22_HF920633.1_00079
OG0000005	MCV_ML1_SDDV_NC_027778.1_00032	Chlor_IIV22_HF920633.1_00091
OG0000006	MCV_ML1_SDDV_NC_027778.1_00080	Chlor_IIV22_HF920633.1_00043
OG0000007	MCV_ML1_SDDV_NC_027778.1_00098	Chlor_IIV22_HF920633.1_00025
OG0000008	MCV_ML1_SDDV_NC_027778.1_00039	Chlor_IIV22_HF920633.1_00122
OG0000009	MCV_ML1_SDDV_NC_027778.1_00036	Chlor_IIV22_HF920633.1_00085
OG0000011	MCV_ML1_SDDV_NC_027778.1_00026	Chlor_IIV22_HF920633.1_00163
OG0000012	MCV_ML1_SDDV_NC_027778.1_00129	Chlor_IIV22_HF920633.1_00175
OG0000013	MCV_ML1_SDDV_NC_027778.1_00043	Chlor_IIV22_HF920633.1_00003
OG0000014	MCV_ML1_SDDV_NC_027778.1_00027	Chlor_IIV22_HF920633.1_00094
OG0000015	MCV_ML1_SDDV_NC_027778.1_00133	Chlor_IIV22_HF920633.1_00080
OG0000016	MCV_ML1_SDDV_NC_027778.1_00077	Chlor_IIV22_HF920633.1_00001
OG0000017	MCV_ML1_SDDV_NC_027778.1_00018	Chlor_IIV22_HF920633.1_00067
OG0000018	MCV_ML1_SDDV_NC_027778.1_00038	Chlor_IIV22_HF920633.1_00138
OG0000019	MCV_ML1_SDDV_NC_027778.1_00111	Chlor_IIV22_HF920633.1_00118
OG0000020	MCV_ML1_SDDV_NC_027778.1_00116	Chlor_IIV22_HF920633.1_00058
OG0000021	MCV_ML1_SDDV_NC_027778.1_00132	Chlor_IIV22_HF920633.1_00158
OG0000022	MCV_ML1_SDDV_NC_027778.1_00106	Chlor_IIV22_HF920633.1_00097
OG0000023	MCV_ML1_SDDV_NC_027778.1_00003	Chlor_IIV22_HF920633.1_00017
OG0000024	MCV_ML1_SDDV_NC_027778.1_00054	Chlor_IIV22_HF920633.1_00062
OG0000025	MCV_ML1_SDDV_NC_027778.1_00094, MCV_ML1_SDDV_NC_027778.1_00095	Chlor_IIV22_HF920633.1_00047
OG0000139	MCV_ML1_SDDV_NC_027778.1_00049	Chlor_IIV22_HF920633.1_00156
