Orthogroup	MCV_ML1_SDDV_NC_027778.1	Irido_IIV31_HF920637.1
OG0000000	MCV_ML1_SDDV_NC_027778.1_00083	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164
OG0000001	MCV_ML1_SDDV_NC_027778.1_00061	Irido_IIV31_HF920637.1_00143
OG0000002	MCV_ML1_SDDV_NC_027778.1_00062	Irido_IIV31_HF920637.1_00059
OG0000003	MCV_ML1_SDDV_NC_027778.1_00068	Irido_IIV31_HF920637.1_00159
OG0000004	MCV_ML1_SDDV_NC_027778.1_00040	Irido_IIV31_HF920637.1_00025
OG0000005	MCV_ML1_SDDV_NC_027778.1_00032	Irido_IIV31_HF920637.1_00172
OG0000006	MCV_ML1_SDDV_NC_027778.1_00080	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175
OG0000007	MCV_ML1_SDDV_NC_027778.1_00098	Irido_IIV31_HF920637.1_00121
OG0000008	MCV_ML1_SDDV_NC_027778.1_00039	Irido_IIV31_HF920637.1_00153
OG0000009	MCV_ML1_SDDV_NC_027778.1_00036	Irido_IIV31_HF920637.1_00221
OG0000011	MCV_ML1_SDDV_NC_027778.1_00026	Irido_IIV31_HF920637.1_00197
OG0000012	MCV_ML1_SDDV_NC_027778.1_00129	Irido_IIV31_HF920637.1_00213
OG0000013	MCV_ML1_SDDV_NC_027778.1_00043	Irido_IIV31_HF920637.1_00111
OG0000014	MCV_ML1_SDDV_NC_027778.1_00027	Irido_IIV31_HF920637.1_00079
OG0000015	MCV_ML1_SDDV_NC_027778.1_00133	Irido_IIV31_HF920637.1_00031
OG0000016	MCV_ML1_SDDV_NC_027778.1_00077	Irido_IIV31_HF920637.1_00001
OG0000017	MCV_ML1_SDDV_NC_027778.1_00018	Irido_IIV31_HF920637.1_00017
OG0000018	MCV_ML1_SDDV_NC_027778.1_00038	Irido_IIV31_HF920637.1_00108
OG0000019	MCV_ML1_SDDV_NC_027778.1_00111	Irido_IIV31_HF920637.1_00217
OG0000020	MCV_ML1_SDDV_NC_027778.1_00116	Irido_IIV31_HF920637.1_00152
OG0000021	MCV_ML1_SDDV_NC_027778.1_00132	Irido_IIV31_HF920637.1_00073
OG0000022	MCV_ML1_SDDV_NC_027778.1_00106	Irido_IIV31_HF920637.1_00041
OG0000023	MCV_ML1_SDDV_NC_027778.1_00003	Irido_IIV31_HF920637.1_00033
OG0000024	MCV_ML1_SDDV_NC_027778.1_00054	Irido_IIV31_HF920637.1_00061
OG0000025	MCV_ML1_SDDV_NC_027778.1_00094, MCV_ML1_SDDV_NC_027778.1_00095	Irido_IIV31_HF920637.1_00156
OG0000030	MCV_ML1_SDDV_NC_027778.1_00108	Irido_IIV31_HF920637.1_00127
OG0000139	MCV_ML1_SDDV_NC_027778.1_00049	Irido_IIV31_HF920637.1_00123
OG0000179	MCV_ML1_SDDV_NC_027778.1_00097	Irido_IIV31_HF920637.1_00013
