Orthogroup	MCV_ML1_SDDV_NC_027778.1	MCV_MP1_RSIV_ON740976.1
OG0000000	MCV_ML1_SDDV_NC_027778.1_00083	MCV_MP1_RSIV_ON740976.1_00030
OG0000001	MCV_ML1_SDDV_NC_027778.1_00061	MCV_MP1_RSIV_ON740976.1_00007
OG0000002	MCV_ML1_SDDV_NC_027778.1_00062	MCV_MP1_RSIV_ON740976.1_00008
OG0000003	MCV_ML1_SDDV_NC_027778.1_00068	MCV_MP1_RSIV_ON740976.1_00014
OG0000004	MCV_ML1_SDDV_NC_027778.1_00040	MCV_MP1_RSIV_ON740976.1_00111
OG0000005	MCV_ML1_SDDV_NC_027778.1_00032	MCV_MP1_RSIV_ON740976.1_00089
OG0000006	MCV_ML1_SDDV_NC_027778.1_00080	MCV_MP1_RSIV_ON740976.1_00029
OG0000007	MCV_ML1_SDDV_NC_027778.1_00098	MCV_MP1_RSIV_ON740976.1_00075
OG0000008	MCV_ML1_SDDV_NC_027778.1_00039	MCV_MP1_RSIV_ON740976.1_00113
OG0000009	MCV_ML1_SDDV_NC_027778.1_00036	MCV_MP1_RSIV_ON740976.1_00094
OG0000010	MCV_ML1_SDDV_NC_027778.1_00114, MCV_ML1_SDDV_NC_027778.1_00120, MCV_ML1_SDDV_NC_027778.1_00131, MCV_ML1_SDDV_NC_027778.1_00123, MCV_ML1_SDDV_NC_027778.1_00122	MCV_MP1_RSIV_ON740976.1_00076
OG0000011	MCV_ML1_SDDV_NC_027778.1_00026	MCV_MP1_RSIV_ON740976.1_00085
OG0000012	MCV_ML1_SDDV_NC_027778.1_00129	MCV_MP1_RSIV_ON740976.1_00035
OG0000013	MCV_ML1_SDDV_NC_027778.1_00043	MCV_MP1_RSIV_ON740976.1_00106
OG0000014	MCV_ML1_SDDV_NC_027778.1_00027	MCV_MP1_RSIV_ON740976.1_00086
OG0000015	MCV_ML1_SDDV_NC_027778.1_00133	MCV_MP1_RSIV_ON740976.1_00031
OG0000016	MCV_ML1_SDDV_NC_027778.1_00077	MCV_MP1_RSIV_ON740976.1_00021
OG0000017	MCV_ML1_SDDV_NC_027778.1_00018	MCV_MP1_RSIV_ON740976.1_00057
OG0000018	MCV_ML1_SDDV_NC_027778.1_00038	MCV_MP1_RSIV_ON740976.1_00121
OG0000019	MCV_ML1_SDDV_NC_027778.1_00111	MCV_MP1_RSIV_ON740976.1_00063
OG0000020	MCV_ML1_SDDV_NC_027778.1_00116	MCV_MP1_RSIV_ON740976.1_00122
OG0000021	MCV_ML1_SDDV_NC_027778.1_00132	MCV_MP1_RSIV_ON740976.1_00033
OG0000022	MCV_ML1_SDDV_NC_027778.1_00106	MCV_MP1_RSIV_ON740976.1_00005
OG0000023	MCV_ML1_SDDV_NC_027778.1_00003	MCV_MP1_RSIV_ON740976.1_00044
OG0000024	MCV_ML1_SDDV_NC_027778.1_00054	MCV_MP1_RSIV_ON740976.1_00026
OG0000025	MCV_ML1_SDDV_NC_027778.1_00094, MCV_ML1_SDDV_NC_027778.1_00095	MCV_MP1_RSIV_ON740976.1_00064
OG0000026	MCV_ML1_SDDV_NC_027778.1_00042	MCV_MP1_RSIV_ON740976.1_00109
OG0000027	MCV_ML1_SDDV_NC_027778.1_00029	MCV_MP1_RSIV_ON740976.1_00087
OG0000028	MCV_ML1_SDDV_NC_027778.1_00006	MCV_MP1_RSIV_ON740976.1_00047
OG0000029	MCV_ML1_SDDV_NC_027778.1_00021	MCV_MP1_RSIV_ON740976.1_00061
OG0000030	MCV_ML1_SDDV_NC_027778.1_00108	MCV_MP1_RSIV_ON740976.1_00006
OG0000031	MCV_ML1_SDDV_NC_027778.1_00030	MCV_MP1_RSIV_ON740976.1_00088
OG0000032	MCV_ML1_SDDV_NC_027778.1_00088	MCV_MP1_RSIV_ON740976.1_00001
OG0000033	MCV_ML1_SDDV_NC_027778.1_00090	MCV_MP1_RSIV_ON740976.1_00123
OG0000034	MCV_ML1_SDDV_NC_027778.1_00100	MCV_MP1_RSIV_ON740976.1_00080
OG0000035	MCV_ML1_SDDV_NC_027778.1_00019	MCV_MP1_RSIV_ON740976.1_00058
OG0000036	MCV_ML1_SDDV_NC_027778.1_00121	MCV_MP1_RSIV_ON740976.1_00117
OG0000037	MCV_ML1_SDDV_NC_027778.1_00126	MCV_MP1_RSIV_ON740976.1_00082
OG0000038	MCV_ML1_SDDV_NC_027778.1_00134	MCV_MP1_RSIV_ON740976.1_00036
OG0000039	MCV_ML1_SDDV_NC_027778.1_00010	MCV_MP1_RSIV_ON740976.1_00049
OG0000040	MCV_ML1_SDDV_NC_027778.1_00011	MCV_MP1_RSIV_ON740976.1_00050
OG0000041	MCV_ML1_SDDV_NC_027778.1_00016	MCV_MP1_RSIV_ON740976.1_00055
OG0000042	MCV_ML1_SDDV_NC_027778.1_00017	MCV_MP1_RSIV_ON740976.1_00056
OG0000043	MCV_ML1_SDDV_NC_027778.1_00020	MCV_MP1_RSIV_ON740976.1_00060
OG0000044	MCV_ML1_SDDV_NC_027778.1_00031	MCV_MP1_RSIV_ON740976.1_00059
OG0000045	MCV_ML1_SDDV_NC_027778.1_00035	MCV_MP1_RSIV_ON740976.1_00093
OG0000046	MCV_ML1_SDDV_NC_027778.1_00037	MCV_MP1_RSIV_ON740976.1_00115
OG0000047	MCV_ML1_SDDV_NC_027778.1_00041	MCV_MP1_RSIV_ON740976.1_00110
OG0000048	MCV_ML1_SDDV_NC_027778.1_00067	MCV_MP1_RSIV_ON740976.1_00012
OG0000049	MCV_ML1_SDDV_NC_027778.1_00070	MCV_MP1_RSIV_ON740976.1_00023
OG0000050	MCV_ML1_SDDV_NC_027778.1_00072	MCV_MP1_RSIV_ON740976.1_00018
OG0000051	MCV_ML1_SDDV_NC_027778.1_00073	MCV_MP1_RSIV_ON740976.1_00019
OG0000052	MCV_ML1_SDDV_NC_027778.1_00078	MCV_MP1_RSIV_ON740976.1_00022
OG0000053	MCV_ML1_SDDV_NC_027778.1_00085	MCV_MP1_RSIV_ON740976.1_00098
OG0000054	MCV_ML1_SDDV_NC_027778.1_00086	MCV_MP1_RSIV_ON740976.1_00095
OG0000055	MCV_ML1_SDDV_NC_027778.1_00099	MCV_MP1_RSIV_ON740976.1_00077
OG0000056	MCV_ML1_SDDV_NC_027778.1_00101	MCV_MP1_RSIV_ON740976.1_00081
OG0000057	MCV_ML1_SDDV_NC_027778.1_00115	MCV_MP1_RSIV_ON740976.1_00013
OG0000058	MCV_ML1_SDDV_NC_027778.1_00117	MCV_MP1_RSIV_ON740976.1_00032
OG0000059	MCV_ML1_SDDV_NC_027778.1_00033	MCV_MP1_RSIV_ON740976.1_00090
OG0000060	MCV_ML1_SDDV_NC_027778.1_00064	MCV_MP1_RSIV_ON740976.1_00010
OG0000061	MCV_ML1_SDDV_NC_027778.1_00071	MCV_MP1_RSIV_ON740976.1_00017
OG0000062	MCV_ML1_SDDV_NC_027778.1_00087	MCV_MP1_RSIV_ON740976.1_00002
OG0000072	MCV_ML1_SDDV_NC_027778.1_00025	MCV_MP1_RSIV_ON740976.1_00119
OG0000114	MCV_ML1_SDDV_NC_027778.1_00076	MCV_MP1_RSIV_ON740976.1_00020
OG0000115	MCV_ML1_SDDV_NC_027778.1_00015	MCV_MP1_RSIV_ON740976.1_00054
OG0000117	MCV_ML1_SDDV_NC_027778.1_00034	MCV_MP1_RSIV_ON740976.1_00091
