Orthogroup	MCV_ML1_SDDV_NC_027778.1	Lymph_LCD4_MN803438.1
OG0000000	MCV_ML1_SDDV_NC_027778.1_00083	Lymph_LCD4_MN803438.1_00124
OG0000001	MCV_ML1_SDDV_NC_027778.1_00061	Lymph_LCD4_MN803438.1_00023
OG0000002	MCV_ML1_SDDV_NC_027778.1_00062	Lymph_LCD4_MN803438.1_00056, Lymph_LCD4_MN803438.1_00101
OG0000003	MCV_ML1_SDDV_NC_027778.1_00068	Lymph_LCD4_MN803438.1_00113
OG0000004	MCV_ML1_SDDV_NC_027778.1_00040	Lymph_LCD4_MN803438.1_00104
OG0000005	MCV_ML1_SDDV_NC_027778.1_00032	Lymph_LCD4_MN803438.1_00027
OG0000006	MCV_ML1_SDDV_NC_027778.1_00080	Lymph_LCD4_MN803438.1_00106
OG0000007	MCV_ML1_SDDV_NC_027778.1_00098	Lymph_LCD4_MN803438.1_00142
OG0000008	MCV_ML1_SDDV_NC_027778.1_00039	Lymph_LCD4_MN803438.1_00109
OG0000009	MCV_ML1_SDDV_NC_027778.1_00036	Lymph_LCD4_MN803438.1_00071
OG0000011	MCV_ML1_SDDV_NC_027778.1_00026	Lymph_LCD4_MN803438.1_00097
OG0000012	MCV_ML1_SDDV_NC_027778.1_00129	Lymph_LCD4_MN803438.1_00013
OG0000013	MCV_ML1_SDDV_NC_027778.1_00043	Lymph_LCD4_MN803438.1_00051
OG0000014	MCV_ML1_SDDV_NC_027778.1_00027	Lymph_LCD4_MN803438.1_00122
OG0000015	MCV_ML1_SDDV_NC_027778.1_00133	Lymph_LCD4_MN803438.1_00068
OG0000016	MCV_ML1_SDDV_NC_027778.1_00077	Lymph_LCD4_MN803438.1_00128
OG0000017	MCV_ML1_SDDV_NC_027778.1_00018	Lymph_LCD4_MN803438.1_00007
OG0000018	MCV_ML1_SDDV_NC_027778.1_00038	Lymph_LCD4_MN803438.1_00070
OG0000019	MCV_ML1_SDDV_NC_027778.1_00111	Lymph_LCD4_MN803438.1_00049
OG0000020	MCV_ML1_SDDV_NC_027778.1_00116	Lymph_LCD4_MN803438.1_00046
OG0000021	MCV_ML1_SDDV_NC_027778.1_00132	Lymph_LCD4_MN803438.1_00035
OG0000022	MCV_ML1_SDDV_NC_027778.1_00106	Lymph_LCD4_MN803438.1_00089
OG0000023	MCV_ML1_SDDV_NC_027778.1_00003	Lymph_LCD4_MN803438.1_00077
OG0000024	MCV_ML1_SDDV_NC_027778.1_00054	Lymph_LCD4_MN803438.1_00024
OG0000026	MCV_ML1_SDDV_NC_027778.1_00042	Lymph_LCD4_MN803438.1_00126
OG0000027	MCV_ML1_SDDV_NC_027778.1_00029	Lymph_LCD4_MN803438.1_00037
OG0000028	MCV_ML1_SDDV_NC_027778.1_00006	Lymph_LCD4_MN803438.1_00054
OG0000030	MCV_ML1_SDDV_NC_027778.1_00108	Lymph_LCD4_MN803438.1_00145
OG0000130	MCV_ML1_SDDV_NC_027778.1_00056	Lymph_LCD4_MN803438.1_00082
OG0000139	MCV_ML1_SDDV_NC_027778.1_00049	Lymph_LCD4_MN803438.1_00005
OG0000141	MCV_ML1_SDDV_NC_027778.1_00046, MCV_ML1_SDDV_NC_027778.1_00104	Lymph_LCD4_MN803438.1_00022
OG0000150	MCV_ML1_SDDV_NC_027778.1_00119	Lymph_LCD4_MN803438.1_00010
OG0000161	MCV_ML1_SDDV_NC_027778.1_00082	Lymph_LCD4_MN803438.1_00011, Lymph_LCD4_MN803438.1_00096
OG0000208	MCV_ML1_SDDV_NC_027778.1_00028	Lymph_LCD4_MN803438.1_00130
