Orthogroup	MN803438.1	AY894343.1
OG0000000	MN803438.1_00124	AY894343.1_00029
OG0000001	MN803438.1_00023	AY894343.1_00007
OG0000003	MN803438.1_00101, MN803438.1_00056	AY894343.1_00008
OG0000004	MN803438.1_00113	AY894343.1_00015
OG0000005	MN803438.1_00106	AY894343.1_00028
OG0000006	MN803438.1_00142	AY894343.1_00076
OG0000007	MN803438.1_00027	AY894343.1_00090
OG0000008	MN803438.1_00104	AY894343.1_00113
OG0000009	MN803438.1_00109	AY894343.1_00115
OG0000010	MN803438.1_00089	AY894343.1_00005
OG0000011	MN803438.1_00128	AY894343.1_00021
OG0000012	MN803438.1_00068	AY894343.1_00030
OG0000013	MN803438.1_00035	AY894343.1_00032
OG0000014	MN803438.1_00013	AY894343.1_00034
OG0000015	MN803438.1_00007	AY894343.1_00056
OG0000016	MN803438.1_00049	AY894343.1_00063
OG0000017	MN803438.1_00097	AY894343.1_00086
OG0000018	MN803438.1_00122	AY894343.1_00087
OG0000019	MN803438.1_00051	AY894343.1_00108
OG0000020	MN803438.1_00070	AY894343.1_00123
OG0000021	MN803438.1_00046	AY894343.1_00124
OG0000022	MN803438.1_00077	AY894343.1_00043
OG0000023	MN803438.1_00071	AY894343.1_00096
OG0000024	MN803438.1_00126	AY894343.1_00111
OG0000026	MN803438.1_00037	AY894343.1_00088
OG0000027	MN803438.1_00054	AY894343.1_00046
OG0000028	MN803438.1_00145	AY894343.1_00006
