Orthogroup	MN803438.1	MN562489.1
OG0000000	MN803438.1_00124	MN562489.1_00102
OG0000001	MN803438.1_00023	MN562489.1_00080
OG0000003	MN803438.1_00101, MN803438.1_00056	MN562489.1_00081
OG0000004	MN803438.1_00113	MN562489.1_00087
OG0000005	MN803438.1_00106	MN562489.1_00099
OG0000006	MN803438.1_00142	MN562489.1_00116
OG0000007	MN803438.1_00027	MN562489.1_00052
OG0000008	MN803438.1_00104	MN562489.1_00060
OG0000009	MN803438.1_00109	MN562489.1_00059
OG0000010	MN803438.1_00089	MN562489.1_00124
OG0000011	MN803438.1_00128	MN562489.1_00096
OG0000012	MN803438.1_00068	MN562489.1_00012
OG0000013	MN803438.1_00035	MN562489.1_00011
OG0000014	MN803438.1_00013	MN562489.1_00008
OG0000015	MN803438.1_00007	MN562489.1_00038
OG0000016	MN803438.1_00049	MN562489.1_00128
OG0000017	MN803438.1_00097	MN562489.1_00046
OG0000018	MN803438.1_00122	MN562489.1_00047
OG0000019	MN803438.1_00051	MN562489.1_00063
OG0000020	MN803438.1_00070	MN562489.1_00058
OG0000021	MN803438.1_00046	MN562489.1_00133
OG0000022	MN803438.1_00077	MN562489.1_00023
OG0000023	MN803438.1_00071	MN562489.1_00056
OG0000024	MN803438.1_00126	MN562489.1_00062
OG0000026	MN803438.1_00037	MN562489.1_00049
OG0000027	MN803438.1_00054	MN562489.1_00026
OG0000028	MN803438.1_00145	MN562489.1_00126
OG0000129	MN803438.1_00082	MN562489.1_00075
OG0000144	MN803438.1_00022	MN562489.1_00122, MN562489.1_00066
OG0000146	MN803438.1_00010	MN562489.1_00136
OG0000149	MN803438.1_00005	MN562489.1_00069
OG0000156	MN803438.1_00011, MN803438.1_00096	MN562489.1_00101
OG0000190	MN803438.1_00130	MN562489.1_00048
