Orthogroup	MN803438.1	NC_027778.1
OG0000000	MN803438.1_00124	NC_027778.1_00083
OG0000001	MN803438.1_00023	NC_027778.1_00061
OG0000003	MN803438.1_00101, MN803438.1_00056	NC_027778.1_00062
OG0000004	MN803438.1_00113	NC_027778.1_00068
OG0000005	MN803438.1_00106	NC_027778.1_00080
OG0000006	MN803438.1_00142	NC_027778.1_00098
OG0000007	MN803438.1_00027	NC_027778.1_00032
OG0000008	MN803438.1_00104	NC_027778.1_00040
OG0000009	MN803438.1_00109	NC_027778.1_00039
OG0000010	MN803438.1_00089	NC_027778.1_00106
OG0000011	MN803438.1_00128	NC_027778.1_00077
OG0000012	MN803438.1_00068	NC_027778.1_00133
OG0000013	MN803438.1_00035	NC_027778.1_00132
OG0000014	MN803438.1_00013	NC_027778.1_00129
OG0000015	MN803438.1_00007	NC_027778.1_00018
OG0000016	MN803438.1_00049	NC_027778.1_00111
OG0000017	MN803438.1_00097	NC_027778.1_00026
OG0000018	MN803438.1_00122	NC_027778.1_00027
OG0000019	MN803438.1_00051	NC_027778.1_00043
OG0000020	MN803438.1_00070	NC_027778.1_00038
OG0000021	MN803438.1_00046	NC_027778.1_00116
OG0000022	MN803438.1_00077	NC_027778.1_00003
OG0000023	MN803438.1_00071	NC_027778.1_00036
OG0000024	MN803438.1_00126	NC_027778.1_00042
OG0000026	MN803438.1_00037	NC_027778.1_00029
OG0000027	MN803438.1_00054	NC_027778.1_00006
OG0000028	MN803438.1_00145	NC_027778.1_00108
OG0000129	MN803438.1_00082	NC_027778.1_00056
OG0000144	MN803438.1_00022	NC_027778.1_00104, NC_027778.1_00046
OG0000146	MN803438.1_00010	NC_027778.1_00119
OG0000149	MN803438.1_00005	NC_027778.1_00049
OG0000156	MN803438.1_00011, MN803438.1_00096	NC_027778.1_00082
OG0000190	MN803438.1_00130	NC_027778.1_00028
