Orthogroup	MN803438.1	KC244182.1
OG0000000	MN803438.1_00124	KC244182.1_00029
OG0000001	MN803438.1_00023	KC244182.1_00007
OG0000003	MN803438.1_00101, MN803438.1_00056	KC244182.1_00008
OG0000004	MN803438.1_00113	KC244182.1_00014
OG0000005	MN803438.1_00106	KC244182.1_00028
OG0000006	MN803438.1_00142	KC244182.1_00076
OG0000007	MN803438.1_00027	KC244182.1_00090
OG0000008	MN803438.1_00104	KC244182.1_00112
OG0000009	MN803438.1_00109	KC244182.1_00114
OG0000010	MN803438.1_00089	KC244182.1_00005
OG0000011	MN803438.1_00128	KC244182.1_00022
OG0000012	MN803438.1_00068	KC244182.1_00030
OG0000013	MN803438.1_00035	KC244182.1_00032
OG0000014	MN803438.1_00013	KC244182.1_00034
OG0000015	MN803438.1_00007	KC244182.1_00056
OG0000016	MN803438.1_00049	KC244182.1_00063
OG0000017	MN803438.1_00097	KC244182.1_00086
OG0000018	MN803438.1_00122	KC244182.1_00087
OG0000019	MN803438.1_00051	KC244182.1_00107
OG0000020	MN803438.1_00070	KC244182.1_00121
OG0000021	MN803438.1_00046	KC244182.1_00122
OG0000022	MN803438.1_00077	KC244182.1_00043
OG0000023	MN803438.1_00071	KC244182.1_00095
OG0000024	MN803438.1_00126	KC244182.1_00110
OG0000026	MN803438.1_00037	KC244182.1_00088
OG0000027	MN803438.1_00054	KC244182.1_00046
OG0000028	MN803438.1_00145	KC244182.1_00006
