Orthogroup	MN803438.1	MT986830.1
OG0000000	MN803438.1_00124	MT986830.1_00033
OG0000001	MN803438.1_00023	MT986830.1_00007
OG0000003	MN803438.1_00101, MN803438.1_00056	MT986830.1_00008
OG0000004	MN803438.1_00113	MT986830.1_00015
OG0000005	MN803438.1_00106	MT986830.1_00032
OG0000006	MN803438.1_00142	MT986830.1_00080
OG0000007	MN803438.1_00027	MT986830.1_00094
OG0000008	MN803438.1_00104	MT986830.1_00116
OG0000009	MN803438.1_00109	MT986830.1_00117
OG0000010	MN803438.1_00089	MT986830.1_00005
OG0000011	MN803438.1_00128	MT986830.1_00022
OG0000012	MN803438.1_00068	MT986830.1_00034
OG0000013	MN803438.1_00035	MT986830.1_00036
OG0000014	MN803438.1_00013	MT986830.1_00038
OG0000015	MN803438.1_00007	MT986830.1_00059
OG0000016	MN803438.1_00049	MT986830.1_00065
OG0000017	MN803438.1_00097	MT986830.1_00090
OG0000018	MN803438.1_00122	MT986830.1_00091
OG0000019	MN803438.1_00051	MT986830.1_00111
OG0000020	MN803438.1_00070	MT986830.1_00125
OG0000021	MN803438.1_00046	MT986830.1_00126
OG0000022	MN803438.1_00077	MT986830.1_00046
OG0000023	MN803438.1_00071	MT986830.1_00100
OG0000024	MN803438.1_00126	MT986830.1_00114
OG0000026	MN803438.1_00037	MT986830.1_00092
OG0000027	MN803438.1_00054	MT986830.1_00049
OG0000028	MN803438.1_00145	MT986830.1_00006
OG0000129	MN803438.1_00082	MT986830.1_00076
