Orthogroup	MN803438.1	ON743042.1
OG0000000	MN803438.1_00124	ON743042.1_00031
OG0000001	MN803438.1_00023	ON743042.1_00007
OG0000003	MN803438.1_00101, MN803438.1_00056	ON743042.1_00008
OG0000004	MN803438.1_00113	ON743042.1_00015
OG0000005	MN803438.1_00106	ON743042.1_00030
OG0000006	MN803438.1_00142	ON743042.1_00077
OG0000007	MN803438.1_00027	ON743042.1_00091
OG0000008	MN803438.1_00104	ON743042.1_00113
OG0000009	MN803438.1_00109	ON743042.1_00115
OG0000010	MN803438.1_00089	ON743042.1_00005
OG0000011	MN803438.1_00128	ON743042.1_00022
OG0000012	MN803438.1_00068	ON743042.1_00032
OG0000013	MN803438.1_00035	ON743042.1_00034
OG0000014	MN803438.1_00013	ON743042.1_00036
OG0000015	MN803438.1_00007	ON743042.1_00059
OG0000016	MN803438.1_00049	ON743042.1_00065
OG0000017	MN803438.1_00097	ON743042.1_00087
OG0000018	MN803438.1_00122	ON743042.1_00088
OG0000019	MN803438.1_00051	ON743042.1_00108
OG0000020	MN803438.1_00070	ON743042.1_00123
OG0000021	MN803438.1_00046	ON743042.1_00124
OG0000022	MN803438.1_00077	ON743042.1_00046
OG0000023	MN803438.1_00071	ON743042.1_00096
OG0000024	MN803438.1_00126	ON743042.1_00111
OG0000026	MN803438.1_00037	ON743042.1_00089
OG0000027	MN803438.1_00054	ON743042.1_00049
OG0000028	MN803438.1_00145	ON743042.1_00006
