Orthogroup	MN803438.1	HF920633.1
OG0000000	MN803438.1_00124	HF920633.1_00044
OG0000001	MN803438.1_00023	HF920633.1_00073
OG0000003	MN803438.1_00101, MN803438.1_00056	HF920633.1_00069
OG0000004	MN803438.1_00113	HF920633.1_00127
OG0000005	MN803438.1_00106	HF920633.1_00043
OG0000006	MN803438.1_00142	HF920633.1_00025
OG0000007	MN803438.1_00027	HF920633.1_00091
OG0000008	MN803438.1_00104	HF920633.1_00079
OG0000009	MN803438.1_00109	HF920633.1_00122
OG0000010	MN803438.1_00089	HF920633.1_00097
OG0000011	MN803438.1_00128	HF920633.1_00001
OG0000012	MN803438.1_00068	HF920633.1_00080
OG0000013	MN803438.1_00035	HF920633.1_00158
OG0000014	MN803438.1_00013	HF920633.1_00175
OG0000015	MN803438.1_00007	HF920633.1_00067
OG0000016	MN803438.1_00049	HF920633.1_00118
OG0000017	MN803438.1_00097	HF920633.1_00163
OG0000018	MN803438.1_00122	HF920633.1_00094
OG0000019	MN803438.1_00051	HF920633.1_00003
OG0000020	MN803438.1_00070	HF920633.1_00138
OG0000021	MN803438.1_00046	HF920633.1_00058
OG0000022	MN803438.1_00077	HF920633.1_00017
OG0000028	MN803438.1_00145	HF920633.1_00030
OG0000120	MN803438.1_00012	HF920633.1_00086
OG0000137	MN803438.1_00115	HF920633.1_00135
OG0000138	MN803438.1_00006	HF920633.1_00064
OG0000147	MN803438.1_00024	HF920633.1_00062
OG0000148	MN803438.1_00105	HF920633.1_00132
OG0000149	MN803438.1_00005	HF920633.1_00156
OG0000151	MN803438.1_00003	HF920633.1_00024
OG0000155	MN803438.1_00137	HF920633.1_00053
OG0000159	MN803438.1_00028	HF920633.1_00171
OG0000162	MN803438.1_00092	HF920633.1_00034
OG0000167	MN803438.1_00135	HF920633.1_00036
OG0000183	MN803438.1_00045	HF920633.1_00139
