Orthogroup	AY894343	HF920633
OG0000000	MK689686.1_00029 hypothetical protein	HF920633.1_00044 hypothetical protein
OG0000001	MK689686.1_00008 hypothetical protein	HF920633.1_00069 hypothetical protein
OG0000002	MK689686.1_00014 hypothetical protein	HF920633.1_00127 hypothetical protein
OG0000003	MK689686.1_00028 hypothetical protein	HF920633.1_00043 hypothetical protein
OG0000004	MK689686.1_00112 hypothetical protein	HF920633.1_00122 hypothetical protein
OG0000005	MK689686.1_00005 hypothetical protein	HF920633.1_00097 hypothetical protein
OG0000006	MK689686.1_00007 Major capsid protein	HF920633.1_00073 Major capsid protein
OG0000007	MK689686.1_00021 hypothetical protein	HF920633.1_00001 hypothetical protein
OG0000008	MK689686.1_00030 hypothetical protein	HF920633.1_00080 hypothetical protein
OG0000009	MK689686.1_00034 DNA-directed RNA polymerase subunit 2	HF920633.1_00175 DNA-directed RNA polymerase subunit 2
OG0000010	MK689686.1_00056 hypothetical protein	HF920633.1_00067 hypothetical protein
OG0000011	MK689686.1_00062 hypothetical protein	HF920633.1_00118 hypothetical protein
OG0000012	MK689686.1_00084 hypothetical protein	HF920633.1_00163 hypothetical protein
OG0000013	MK689686.1_00088 hypothetical protein	HF920633.1_00091 hypothetical protein
OG0000014	MK689686.1_00105 hypothetical protein	HF920633.1_00003 hypothetical protein
OG0000015	MK689686.1_00120 hypothetical protein	HF920633.1_00138 hypothetical protein
OG0000016	MK689686.1_00121 hypothetical protein	HF920633.1_00058 hypothetical protein
OG0000017	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain
OG0000018	MK689686.1_00032 hypothetical protein	HF920633.1_00158 hypothetical protein
OG0000019	MK689686.1_00074 hypothetical protein	HF920633.1_00025 hypothetical protein
OG0000020	MK689686.1_00085 hypothetical protein	HF920633.1_00094 hypothetical protein
OG0000021	MK689686.1_00093 hypothetical protein	HF920633.1_00085 hypothetical protein
OG0000022	MK689686.1_00110 hypothetical protein	HF920633.1_00079 hypothetical protein
OG0000024	MK689686.1_00043 hypothetical protein	HF920633.1_00017 hypothetical protein
OG0000025	MK689686.1_00063 hypothetical protein	HF920633.1_00047 hypothetical protein
