Orthogroup	AF303741	MF599468
OG0000000	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2
OG0000001	AF303741.1_00047 hypothetical protein	MF599468.1_00163 MF599468.1 - hypothetical protein translation
OG0000002	AF303741.1_00035 hypothetical protein	MF599468.1_00011 MF599468.1 - hypothetical protein translation
OG0000003	AF303741.1_00165 hypothetical protein	MF599468.1_00030 MF599468.1 - hypothetical protein translation
OG0000004	AF303741.1_00176 hypothetical protein	MF599468.1_00075 MF599468.1 - hypothetical protein translation
OG0000005	AF303741.1_00158 hypothetical protein	MF599468.1_00116 MF599468.1 - hypothetical protein translation
OG0000006	AF303741.1_00125 Major capsid protein	MF599468.1_00152 MF599468.1 - Major capsid protein translation
OG0000007	AF303741.1_00011 hypothetical protein	MF599468.1_00112 MF599468.1 - hypothetical protein translation
OG0000008	AF303741.1_00156 hypothetical protein	MF599468.1_00090 MF599468.1 - hypothetical protein translation
OG0000009	AF303741.1_00189 DNA-directed RNA polymerase subunit 2	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	AF303741.1_00023 hypothetical protein	MF599468.1_00033 MF599468.1 - hypothetical protein translation
OG0000011	AF303741.1_00006 hypothetical protein	MF599468.1_00149 MF599468.1 - hypothetical protein translation
OG0000012	AF303741.1_00137 hypothetical protein	MF599468.1_00106 MF599468.1 - hypothetical protein translation
OG0000013	AF303741.1_00149 hypothetical protein	MF599468.1_00174 MF599468.1 - hypothetical protein translation
OG0000014	AF303741.1_00081 hypothetical protein	MF599468.1_00117 MF599468.1 - hypothetical protein translation
OG0000015	AF303741.1_00026 hypothetical protein	MF599468.1_00122 MF599468.1 - hypothetical protein translation
OG0000016	AF303741.1_00046 hypothetical protein	MF599468.1_00009 MF599468.1 - hypothetical protein translation
OG0000018	AF303741.1_00063 hypothetical protein	MF599468.1_00035 MF599468.1 - hypothetical protein translation
OG0000019	AF303741.1_00132 hypothetical protein	MF599468.1_00010 MF599468.1 - hypothetical protein translation
OG0000020	AF303741.1_00062 hypothetical protein	MF599468.1_00046 MF599468.1 - hypothetical protein translation
OG0000021	AF303741.1_00129 hypothetical protein	MF599468.1_00154 MF599468.1 - hypothetical protein translation
OG0000022	AF303741.1_00080 hypothetical protein	MF599468.1_00092 MF599468.1 - hypothetical protein translation
OG0000124	AF303741.1_00173 hypothetical protein, AF303741.1_00095 hypothetical protein, AF303741.1_00066 hypothetical protein, AF303741.1_00007 hypothetical protein, AF303741.1_00094 hypothetical protein, AF303741.1_00109 hypothetical protein	MF599468.1_00114 MF599468.1 - hypothetical protein translation
OG0000125	AF303741.1_00106 hypothetical protein	MF599468.1_00036 MF599468.1 - hypothetical protein translation
OG0000125	AF303741.1_00170 hypothetical protein	MF599468.1_00096 MF599468.1 - hypothetical protein translation
OG0000127	AF303741.1_00005 hypothetical protein, AF303741.1_00065 hypothetical protein	MF599468.1_00054 MF599468.1 - hypothetical protein translation, MF599468.1_00023 MF599468.1 - hypothetical protein translation, MF599468.1_00145 MF599468.1 - hypothetical protein translation, MF599468.1_00038 MF599468.1 - hypothetical protein translation, MF599468.1_00070 MF599468.1 - hypothetical protein translation, MF599468.1_00055 MF599468.1 - hypothetical protein translation, MF599468.1_00091 MF599468.1 - hypothetical protein translation, MF599468.1_00128 MF599468.1 - hypothetical protein translation, MF599468.1_00103 MF599468.1 - hypothetical protein translation, MF599468.1_00101 MF599468.1 - hypothetical protein translation, MF599468.1_00104 MF599468.1 - hypothetical protein translation, MF599468.1_00024 MF599468.1 - hypothetical protein translation, MF599468.1_00102 MF599468.1 - hypothetical protein translation, MF599468.1_00099 MF599468.1 - hypothetical protein translation, MF599468.1_00100 MF599468.1 - hypothetical protein translation, MF599468.1_00029 MF599468.1 - hypothetical protein translation
OG0000132	AF303741.1_00126 hypothetical protein	MF599468.1_00002 MF599468.1 - hypothetical protein translation
OG0000136	AF303741.1_00100 hypothetical protein, AF303741.1_00162 hypothetical protein	MF599468.1_00051 MF599468.1 - hypothetical protein translation
OG0000142	AF303741.1_00072 hypothetical protein	MF599468.1_00161 MF599468.1 - hypothetical protein translation
OG0000143	AF303741.1_00157 hypothetical protein	MF599468.1_00027 MF599468.1 - hypothetical protein translation
OG0000147	AF303741.1_00183 hypothetical protein	MF599468.1_00074 MF599468.1 - hypothetical protein translation
OG0000148	AF303741.1_00192 hypothetical protein	MF599468.1_00142 MF599468.1 - Deoxyuridine
OG0000161	AF303741.1_00056 hypothetical protein	MF599468.1_00141 MF599468.1 - hypothetical protein translation
OG0000163	AF303741.1_00076 hypothetical protein	MF599468.1_00004 MF599468.1 - hypothetical protein translation
OG0000164	AF303741.1_00087 hypothetical protein	MF599468.1_00162 MF599468.1 - hypothetical protein translation
OG0000165	AF303741.1_00091 DNA ligase	MF599468.1_00067 MF599468.1 - DNA ligase translation
OG0000166	AF303741.1_00096 hypothetical protein	MF599468.1_00105 MF599468.1 - hypothetical protein translation
OG0000167	AF303741.1_00105 hypothetical protein	MF599468.1_00081 MF599468.1 - hypothetical protein translation
OG0000168	AF303741.1_00117 hypothetical protein	MF599468.1_00098 MF599468.1 - Thymidylate kinase translation
OG0000169	AF303741.1_00169 hypothetical protein	MF599468.1_00045 MF599468.1 - hypothetical protein translation
OG0000170	AF303741.1_00179 hypothetical protein	MF599468.1_00155 MF599468.1 - hypothetical protein translation
OG0000179	AF303741.1_00003 hypothetical protein	MF599468.1_00129 MF599468.1 - hypothetical protein translation
OG0000180	AF303741.1_00004 hypothetical protein	MF599468.1_00022 MF599468.1 - hypothetical protein translation
OG0000181	AF303741.1_00015 DNA topoisomerase 2	MF599468.1_00079 MF599468.1 - hypothetical protein translation
OG0000182	AF303741.1_00017 hypothetical protein	MF599468.1_00037 MF599468.1 - hypothetical protein translation
OG0000183	AF303741.1_00085 hypothetical protein	MF599468.1_00025 MF599468.1 - hypothetical protein translation
OG0000185	AF303741.1_00104 hypothetical protein	MF599468.1_00052 MF599468.1 - hypothetical protein translation, MF599468.1_00061 MF599468.1 - hypothetical protein translation
OG0000186	AF303741.1_00112 hypothetical protein	MF599468.1_00043 MF599468.1 - hypothetical protein translation
OG0000188	AF303741.1_00136 hypothetical protein	MF599468.1_00015 MF599468.1 - hypothetical protein translation
OG0000190	AF303741.1_00148 hypothetical protein	MF599468.1_00172 MF599468.1 - hypothetical protein translation
OG0000191	AF303741.1_00150 hypothetical protein	MF599468.1_00044 MF599468.1 - hypothetical protein translation
OG0000193	AF303741.1_00161 hypothetical protein	MF599468.1_00065 MF599468.1 - hypothetical protein translation
OG0000194	AF303741.1_00174 hypothetical protein	MF599468.1_00016 MF599468.1 - hypothetical protein translation
OG0000198	AF303741.1_00197 hypothetical protein	MF599468.1_00125 MF599468.1 - hypothetical protein translation
OG0000259	AF303741.1_00077 hypothetical protein	MF599468.1_00072 MF599468.1 - hypothetical protein translation
OG0000263	AF303741.1_00190 hypothetical protein	MF599468.1_00039 MF599468.1 - hypothetical protein translation
OG0000265	AF303741.1_00202 hypothetical protein	MF599468.1_00107 MF599468.1 - hypothetical protein translation
