Orthogroup	AF303741	MK637631
OG0000000	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2	MK637631_00115 hypothetical protein
OG0000001	AF303741.1_00047 hypothetical protein	MK637631_00025 hypothetical protein
OG0000002	AF303741.1_00035 hypothetical protein	MK637631_00030 hypothetical protein
OG0000003	AF303741.1_00165 hypothetical protein	MK637631_00114 hypothetical protein
OG0000004	AF303741.1_00176 hypothetical protein	MK637631_00105 hypothetical protein
OG0000005	AF303741.1_00158 hypothetical protein	MK637631_00070 hypothetical protein
OG0000006	AF303741.1_00125 Major capsid protein	MK637631_00044 Major capsid protein
OG0000007	AF303741.1_00011 hypothetical protein	MK637631_00017 hypothetical protein
OG0000008	AF303741.1_00156 hypothetical protein	MK637631_00043 hypothetical protein
OG0000009	AF303741.1_00189 DNA-directed RNA polymerase subunit 2	MK637631_00024 DNA-directed RNA polymerase subunit 2
OG0000010	AF303741.1_00023 hypothetical protein	MK637631_00086 hypothetical protein
OG0000011	AF303741.1_00006 hypothetical protein	MK637631_00066 hypothetical protein
OG0000012	AF303741.1_00137 hypothetical protein	MK637631_00011 hypothetical protein
OG0000013	AF303741.1_00149 hypothetical protein	MK637631_00056 hypothetical protein
OG0000014	AF303741.1_00081 hypothetical protein	MK637631_00100 hypothetical protein
OG0000015	AF303741.1_00026 hypothetical protein	MK637631_00106 hypothetical protein
OG0000016	AF303741.1_00046 hypothetical protein	MK637631_00046 hypothetical protein
OG0000017	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain	MK637631_00059 Ribonucleoside-diphosphate reductase small chain
OG0000019	AF303741.1_00132 hypothetical protein	MK637631_00094 hypothetical protein
OG0000020	AF303741.1_00062 hypothetical protein	MK637631_00010 hypothetical protein
OG0000021	AF303741.1_00129 hypothetical protein	MK637631_00110 hypothetical protein
OG0000022	AF303741.1_00080 hypothetical protein	MK637631_00104 hypothetical protein
OG0000024	AF303741.1_00154 FAD-linked sulfhydryl oxidase	MK637631_00074 hypothetical protein
OG0000025	AF303741.1_00051 Dual specificity protein phosphatase H1	MK637631_00006 hypothetical protein
OG0000127	AF303741.1_00005 hypothetical protein, AF303741.1_00065 hypothetical protein	MK637631_00036 hypothetical protein
OG0000159	AF303741.1_00009 hypothetical protein	MK637631_00038 hypothetical protein
OG0000168	AF303741.1_00117 hypothetical protein	MK637631_00007 Thymidylate kinase
