Orthogroup	MN803438.1	LS484712.1
OG0000000	MN803438.1_00124	LS484712.1_00114
OG0000001	MN803438.1_00023	LS484712.1_00142
OG0000003	MN803438.1_00101, MN803438.1_00056	LS484712.1_00095
OG0000004	MN803438.1_00113	LS484712.1_00187
OG0000005	MN803438.1_00106	LS484712.1_00248
OG0000006	MN803438.1_00142	LS484712.1_00040
OG0000007	MN803438.1_00027	LS484712.1_00234, LS484712.1_00050
OG0000009	MN803438.1_00109	LS484712.1_00130
OG0000010	MN803438.1_00089	LS484712.1_00096
OG0000011	MN803438.1_00128	LS484712.1_00200
OG0000012	MN803438.1_00068	LS484712.1_00188
OG0000013	MN803438.1_00035	LS484712.1_00240
OG0000014	MN803438.1_00013	LS484712.1_00194
OG0000015	MN803438.1_00007	LS484712.1_00143
OG0000016	MN803438.1_00049	LS484712.1_00203
OG0000017	MN803438.1_00097	LS484712.1_00192
OG0000018	MN803438.1_00122	LS484712.1_00048
OG0000019	MN803438.1_00051	LS484712.1_00053
OG0000020	MN803438.1_00070	LS484712.1_00202
OG0000021	MN803438.1_00046	LS484712.1_00135
OG0000022	MN803438.1_00077	LS484712.1_00117
OG0000137	MN803438.1_00115	LS484712.1_00057
OG0000138	MN803438.1_00006	LS484712.1_00197
OG0000147	MN803438.1_00024	LS484712.1_00149
OG0000148	MN803438.1_00105	LS484712.1_00251
OG0000155	MN803438.1_00137	LS484712.1_00063
