Orthogroup	MN803438.1	OL310752.1
OG0000000	MN803438.1_00124	OL310752.1_00108, OL310752.1_00113
OG0000001	MN803438.1_00023	OL310752.1_00019
OG0000003	MN803438.1_00101, MN803438.1_00056	OL310752.1_00018
OG0000004	MN803438.1_00113	OL310752.1_00012
OG0000005	MN803438.1_00106	OL310752.1_00107
OG0000006	MN803438.1_00142	OL310752.1_00078
OG0000007	MN803438.1_00027	OL310752.1_00042
OG0000008	MN803438.1_00104	OL310752.1_00060
OG0000009	MN803438.1_00109	OL310752.1_00116
OG0000010	MN803438.1_00089	OL310752.1_00021
OG0000011	MN803438.1_00128	OL310752.1_00004
OG0000012	MN803438.1_00068	OL310752.1_00114
OG0000013	MN803438.1_00035	OL310752.1_00085
OG0000014	MN803438.1_00013	OL310752.1_00083
OG0000015	MN803438.1_00007	OL310752.1_00096
OG0000016	MN803438.1_00049	OL310752.1_00027
OG0000017	MN803438.1_00097	OL310752.1_00046
OG0000018	MN803438.1_00122	OL310752.1_00045
OG0000019	MN803438.1_00051	OL310752.1_00065
OG0000020	MN803438.1_00070	OL310752.1_00071
OG0000021	MN803438.1_00046	OL310752.1_00072
OG0000022	MN803438.1_00077	OL310752.1_00052
OG0000023	MN803438.1_00071	OL310752.1_00036
OG0000024	MN803438.1_00126	OL310752.1_00062
OG0000026	MN803438.1_00037	OL310752.1_00044
OG0000027	MN803438.1_00054	OL310752.1_00087
OG0000028	MN803438.1_00145	OL310752.1_00020
