Orthogroup	MN803438.1	MF599468.1
OG0000000	MN803438.1_00124	MF599468.1_00057, MF599468.1_00056
OG0000001	MN803438.1_00023	MF599468.1_00152
OG0000003	MN803438.1_00101, MN803438.1_00056	MF599468.1_00163
OG0000004	MN803438.1_00113	MF599468.1_00011
OG0000005	MN803438.1_00106	MF599468.1_00030
OG0000006	MN803438.1_00142	MF599468.1_00010
OG0000007	MN803438.1_00027	MF599468.1_00174
OG0000008	MN803438.1_00104	MF599468.1_00092
OG0000009	MN803438.1_00109	MF599468.1_00075
OG0000010	MN803438.1_00089	MF599468.1_00116
OG0000011	MN803438.1_00128	MF599468.1_00112
OG0000012	MN803438.1_00068	MF599468.1_00090
OG0000013	MN803438.1_00035	MF599468.1_00035
OG0000014	MN803438.1_00013	MF599468.1_00071
OG0000015	MN803438.1_00007	MF599468.1_00033
OG0000016	MN803438.1_00049	MF599468.1_00149
OG0000017	MN803438.1_00097	MF599468.1_00106
OG0000018	MN803438.1_00122	MF599468.1_00046
OG0000019	MN803438.1_00051	MF599468.1_00117
OG0000020	MN803438.1_00070	MF599468.1_00122
OG0000021	MN803438.1_00046	MF599468.1_00009
OG0000022	MN803438.1_00077	MF599468.1_00171
OG0000023	MN803438.1_00071	MF599468.1_00154
OG0000024	MN803438.1_00126	MF599468.1_00039
OG0000120	MN803438.1_00012	MF599468.1_00096
OG0000120	MN803438.1_00107	MF599468.1_00036
OG0000137	MN803438.1_00115	MF599468.1_00002
OG0000138	MN803438.1_00006	MF599468.1_00027
OG0000151	MN803438.1_00003	MF599468.1_00060
OG0000153	MN803438.1_00078	MF599468.1_00156, MF599468.1_00066
OG0000155	MN803438.1_00137	MF599468.1_00051
OG0000160	MN803438.1_00030	MF599468.1_00089, MF599468.1_00108
OG0000167	MN803438.1_00135	MF599468.1_00074
OG0000171	MN803438.1_00044	MF599468.1_00006
OG0000194	MN803438.1_00140	MF599468.1_00062
