Orthogroup	MN803438.1	MN432490.1
OG0000000	MN803438.1_00124	MN432490.1_00032
OG0000001	MN803438.1_00023	MN432490.1_00007
OG0000003	MN803438.1_00101, MN803438.1_00056	MN432490.1_00008
OG0000004	MN803438.1_00113	MN432490.1_00015
OG0000005	MN803438.1_00106	MN432490.1_00031
OG0000006	MN803438.1_00142	MN432490.1_00078
OG0000007	MN803438.1_00027	MN432490.1_00092
OG0000008	MN803438.1_00104	MN432490.1_00113
OG0000009	MN803438.1_00109	MN432490.1_00114
OG0000010	MN803438.1_00089	MN432490.1_00005
OG0000011	MN803438.1_00128	MN432490.1_00023
OG0000012	MN803438.1_00068	MN432490.1_00033
OG0000013	MN803438.1_00035	MN432490.1_00035
OG0000014	MN803438.1_00013	MN432490.1_00037
OG0000015	MN803438.1_00007	MN432490.1_00058
OG0000016	MN803438.1_00049	MN432490.1_00064
OG0000017	MN803438.1_00097	MN432490.1_00088
OG0000018	MN803438.1_00122	MN432490.1_00089
OG0000019	MN803438.1_00051	MN432490.1_00108
OG0000020	MN803438.1_00070	MN432490.1_00122
OG0000021	MN803438.1_00046	MN432490.1_00123
OG0000022	MN803438.1_00077	MN432490.1_00046
OG0000023	MN803438.1_00071	MN432490.1_00097
OG0000024	MN803438.1_00126	MN432490.1_00111
OG0000026	MN803438.1_00037	MN432490.1_00090
OG0000027	MN803438.1_00054	MN432490.1_00049
OG0000028	MN803438.1_00145	MN432490.1_00006
OG0000129	MN803438.1_00082	MN432490.1_00074
