Orthogroup	MN803438.1	MK689686.1
OG0000000	MN803438.1_00124	MK689686.1_00029
OG0000001	MN803438.1_00023	MK689686.1_00007
OG0000003	MN803438.1_00101, MN803438.1_00056	MK689686.1_00008
OG0000004	MN803438.1_00113	MK689686.1_00014
OG0000005	MN803438.1_00106	MK689686.1_00028
OG0000006	MN803438.1_00142	MK689686.1_00074
OG0000007	MN803438.1_00027	MK689686.1_00088
OG0000008	MN803438.1_00104	MK689686.1_00110
OG0000009	MN803438.1_00109	MK689686.1_00112
OG0000010	MN803438.1_00089	MK689686.1_00005
OG0000011	MN803438.1_00128	MK689686.1_00021
OG0000012	MN803438.1_00068	MK689686.1_00030
OG0000013	MN803438.1_00035	MK689686.1_00032
OG0000014	MN803438.1_00013	MK689686.1_00034
OG0000015	MN803438.1_00007	MK689686.1_00056
OG0000016	MN803438.1_00049	MK689686.1_00062
OG0000017	MN803438.1_00097	MK689686.1_00084
OG0000018	MN803438.1_00122	MK689686.1_00085
OG0000019	MN803438.1_00051	MK689686.1_00105
OG0000020	MN803438.1_00070	MK689686.1_00120
OG0000021	MN803438.1_00046	MK689686.1_00121
OG0000022	MN803438.1_00077	MK689686.1_00043
OG0000023	MN803438.1_00071	MK689686.1_00093
OG0000024	MN803438.1_00126	MK689686.1_00108
OG0000026	MN803438.1_00037	MK689686.1_00086
OG0000027	MN803438.1_00054	MK689686.1_00046
OG0000028	MN803438.1_00145	MK689686.1_00006
