Orthogroup	MN803438.1	MK098187.1
OG0000000	MN803438.1_00124	MK098187.1_00033
OG0000001	MN803438.1_00023	MK098187.1_00007
OG0000003	MN803438.1_00101, MN803438.1_00056	MK098187.1_00008
OG0000004	MN803438.1_00113	MK098187.1_00015
OG0000005	MN803438.1_00106	MK098187.1_00032
OG0000006	MN803438.1_00142	MK098187.1_00076
OG0000007	MN803438.1_00027	MK098187.1_00090
OG0000008	MN803438.1_00104	MK098187.1_00112
OG0000009	MN803438.1_00109	MK098187.1_00114
OG0000010	MN803438.1_00089	MK098187.1_00005
OG0000011	MN803438.1_00128	MK098187.1_00022
OG0000012	MN803438.1_00068	MK098187.1_00034
OG0000013	MN803438.1_00035	MK098187.1_00036
OG0000014	MN803438.1_00013	MK098187.1_00038
OG0000015	MN803438.1_00007	MK098187.1_00058
OG0000016	MN803438.1_00049	MK098187.1_00064
OG0000017	MN803438.1_00097	MK098187.1_00086
OG0000018	MN803438.1_00122	MK098187.1_00087
OG0000019	MN803438.1_00051	MK098187.1_00107
OG0000020	MN803438.1_00070	MK098187.1_00122
OG0000021	MN803438.1_00046	MK098187.1_00123
OG0000022	MN803438.1_00077	MK098187.1_00047
OG0000023	MN803438.1_00071	MK098187.1_00095
OG0000024	MN803438.1_00126	MK098187.1_00110
OG0000026	MN803438.1_00037	MK098187.1_00088
OG0000027	MN803438.1_00054	MK098187.1_00050
OG0000028	MN803438.1_00145	MK098187.1_00006
