Orthogroup	MK098187.1	AY521625.1
OG0000000	MK098187.1_00033	AY521625.1_00091
OG0000001	MK098187.1_00007	AY521625.1_00064
OG0000003	MK098187.1_00008	AY521625.1_00077
OG0000004	MK098187.1_00015	AY521625.1_00130
OG0000005	MK098187.1_00032	AY521625.1_00085
OG0000006	MK098187.1_00076	AY521625.1_00051
OG0000007	MK098187.1_00090	AY521625.1_00016
OG0000008	MK098187.1_00112	AY521625.1_00069, AY521625.1_00070
OG0000009	MK098187.1_00114	AY521625.1_00142
OG0000010	MK098187.1_00005	AY521625.1_00054
OG0000011	MK098187.1_00022	AY521625.1_00110
OG0000012	MK098187.1_00034	AY521625.1_00074
OG0000013	MK098187.1_00036	AY521625.1_00059
OG0000014	MK098187.1_00038	AY521625.1_00065
OG0000015	MK098187.1_00058	AY521625.1_00048
OG0000016	MK098187.1_00064	AY521625.1_00053
OG0000017	MK098187.1_00086	AY521625.1_00086
OG0000018	MK098187.1_00087	AY521625.1_00073
OG0000019	MK098187.1_00107	AY521625.1_00047
OG0000020	MK098187.1_00122	AY521625.1_00115
OG0000021	MK098187.1_00123	AY521625.1_00035
OG0000022	MK098187.1_00047	AY521625.1_00062
OG0000023	MK098187.1_00095	AY521625.1_00100
OG0000024	MK098187.1_00110	AY521625.1_00060
OG0000026	MK098187.1_00088	AY521625.1_00022
OG0000030	MK098187.1_00001	AY521625.1_00004
