Orthogroup	MK098187.1	MT926123.1
OG0000000	MK098187.1_00033	MT926123.1_00032
OG0000001	MK098187.1_00007	MT926123.1_00007
OG0000002	MK098187.1_00077	MT926123.1_00080
OG0000003	MK098187.1_00008	MT926123.1_00008
OG0000004	MK098187.1_00015	MT926123.1_00015
OG0000005	MK098187.1_00032	MT926123.1_00031
OG0000006	MK098187.1_00076	MT926123.1_00079
OG0000007	MK098187.1_00090	MT926123.1_00093
OG0000008	MK098187.1_00112	MT926123.1_00112
OG0000009	MK098187.1_00114	MT926123.1_00113
OG0000010	MK098187.1_00005	MT926123.1_00005
OG0000011	MK098187.1_00022	MT926123.1_00022
OG0000012	MK098187.1_00034	MT926123.1_00033
OG0000013	MK098187.1_00036	MT926123.1_00035
OG0000014	MK098187.1_00038	MT926123.1_00037
OG0000015	MK098187.1_00058	MT926123.1_00058
OG0000016	MK098187.1_00064	MT926123.1_00065
OG0000017	MK098187.1_00086	MT926123.1_00089
OG0000018	MK098187.1_00087	MT926123.1_00090
OG0000019	MK098187.1_00107	MT926123.1_00107
OG0000020	MK098187.1_00122	MT926123.1_00120
OG0000021	MK098187.1_00123	MT926123.1_00121
OG0000022	MK098187.1_00047	MT926123.1_00046
OG0000023	MK098187.1_00095	MT926123.1_00096
OG0000024	MK098187.1_00110	MT926123.1_00110
OG0000025	MK098187.1_00065	MT926123.1_00066
OG0000026	MK098187.1_00088	MT926123.1_00091
OG0000027	MK098187.1_00050	MT926123.1_00049
OG0000028	MK098187.1_00006	MT926123.1_00006
OG0000029	MK098187.1_00062	MT926123.1_00063
OG0000030	MK098187.1_00001	MT926123.1_00001
OG0000031	MK098187.1_00081	MT926123.1_00083
OG0000032	MK098187.1_00089	MT926123.1_00092
OG0000033	MK098187.1_00124	MT926123.1_00122
OG0000034	MK098187.1_00013	MT926123.1_00013
OG0000035	MK098187.1_00014	MT926123.1_00014
OG0000036	MK098187.1_00019	MT926123.1_00019
OG0000037	MK098187.1_00020	MT926123.1_00020
OG0000038	MK098187.1_00023	MT926123.1_00023
OG0000039	MK098187.1_00024	MT926123.1_00024
OG0000040	MK098187.1_00035	MT926123.1_00034
OG0000041	MK098187.1_00039	MT926123.1_00038
OG0000042	MK098187.1_00051	MT926123.1_00050
OG0000043	MK098187.1_00052	MT926123.1_00051
OG0000044	MK098187.1_00056	MT926123.1_00056
OG0000045	MK098187.1_00057	MT926123.1_00057
OG0000046	MK098187.1_00059	MT926123.1_00059
OG0000047	MK098187.1_00060	MT926123.1_00061
OG0000048	MK098187.1_00061	MT926123.1_00062
OG0000049	MK098187.1_00078	MT926123.1_00081
OG0000050	MK098187.1_00082	MT926123.1_00084
OG0000051	MK098187.1_00083	MT926123.1_00085
OG0000052	MK098187.1_00094	MT926123.1_00095
OG0000053	MK098187.1_00096	MT926123.1_00097
OG0000054	MK098187.1_00099	MT926123.1_00100
OG0000055	MK098187.1_00111	MT926123.1_00111
OG0000056	MK098187.1_00116	MT926123.1_00115
OG0000057	MK098187.1_00118	MT926123.1_00117
OG0000058	MK098187.1_00002	MT926123.1_00002
OG0000059	MK098187.1_00010	MT926123.1_00010
OG0000060	MK098187.1_00018	MT926123.1_00018
OG0000062	MK098187.1_00029	MT926123.1_00028
OG0000063	MK098187.1_00073	MT926123.1_00074
OG0000064	MK098187.1_00017	MT926123.1_00017
OG0000065	MK098187.1_00041	MT926123.1_00040
OG0000066	MK098187.1_00045	MT926123.1_00044
OG0000067	MK098187.1_00049	MT926123.1_00048
OG0000068	MK098187.1_00068	MT926123.1_00069
OG0000069	MK098187.1_00098	MT926123.1_00099
OG0000070	MK098187.1_00100	MT926123.1_00101
OG0000071	MK098187.1_00115	MT926123.1_00114
OG0000072	MK098187.1_00009	MT926123.1_00009
OG0000073	MK098187.1_00012	MT926123.1_00012
OG0000074	MK098187.1_00016	MT926123.1_00016
