Orthogroup	MCV_MP1_PI_MK098186.1	Chlor_AMIV_KF938901.1
OG0000000	MCV_MP1_PI_MK098186.1_00030	Chlor_AMIV_KF938901.1_00126
OG0000001	MCV_MP1_PI_MK098186.1_00007	Chlor_AMIV_KF938901.1_00044
OG0000002	MCV_MP1_PI_MK098186.1_00008	Chlor_AMIV_KF938901.1_00080
OG0000003	MCV_MP1_PI_MK098186.1_00015	Chlor_AMIV_KF938901.1_00005
OG0000004	MCV_MP1_PI_MK098186.1_00109	Chlor_AMIV_KF938901.1_00043
OG0000005	MCV_MP1_PI_MK098186.1_00087	Chlor_AMIV_KF938901.1_00053
OG0000006	MCV_MP1_PI_MK098186.1_00029	Chlor_AMIV_KF938901.1_00067
OG0000008	MCV_MP1_PI_MK098186.1_00111	Chlor_AMIV_KF938901.1_00114
OG0000009	MCV_MP1_PI_MK098186.1_00092	Chlor_AMIV_KF938901.1_00125
OG0000011	MCV_MP1_PI_MK098186.1_00083	Chlor_AMIV_KF938901.1_00012
OG0000012	MCV_MP1_PI_MK098186.1_00035	Chlor_AMIV_KF938901.1_00023
OG0000013	MCV_MP1_PI_MK098186.1_00104	Chlor_AMIV_KF938901.1_00025
OG0000014	MCV_MP1_PI_MK098186.1_00084	Chlor_AMIV_KF938901.1_00046
OG0000015	MCV_MP1_PI_MK098186.1_00031	Chlor_AMIV_KF938901.1_00047
OG0000016	MCV_MP1_PI_MK098186.1_00022	Chlor_AMIV_KF938901.1_00054
OG0000017	MCV_MP1_PI_MK098186.1_00055	Chlor_AMIV_KF938901.1_00060
OG0000018	MCV_MP1_PI_MK098186.1_00119	Chlor_AMIV_KF938901.1_00074
OG0000019	MCV_MP1_PI_MK098186.1_00061	Chlor_AMIV_KF938901.1_00092
OG0000020	MCV_MP1_PI_MK098186.1_00120	Chlor_AMIV_KF938901.1_00095
OG0000021	MCV_MP1_PI_MK098186.1_00033	Chlor_AMIV_KF938901.1_00123
OG0000022	MCV_MP1_PI_MK098186.1_00005	Chlor_AMIV_KF938901.1_00124
OG0000023	MCV_MP1_PI_MK098186.1_00044	Chlor_AMIV_KF938901.1_00031
OG0000024	MCV_MP1_PI_MK098186.1_00026	Chlor_AMIV_KF938901.1_00094
OG0000025	MCV_MP1_PI_MK098186.1_00062	Chlor_AMIV_KF938901.1_00093
