	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
23043610003	119	117	116	118	116	111	116	108	113	119	115	114	115	115	116	115	119	114	116	68	118	117	68	114	118	117	114	117	119	118	118	117	118	118	114	119	118	118	118	118	118	119	116	115	112	114	114	67	115	118	115	112	118	119	112	115	119	116	117	118	115	93
23043610005	117	118	114	116	114	109	114	108	111	117	113	113	114	113	114	113	117	112	114	66	116	115	66	112	116	115	112	115	117	116	116	115	116	116	112	117	116	116	116	116	116	117	114	113	110	112	112	65	113	116	113	110	116	117	110	113	117	114	115	116	113	92
AB104413	116	114	121	116	121	115	121	112	118	117	120	115	116	120	121	120	118	119	115	66	115	114	66	116	117	117	119	116	117	116	115	116	116	116	119	117	116	116	115	116	116	117	121	120	117	119	119	65	120	116	120	117	118	116	114	113	116	114	116	116	114	92
AF371960	118	116	116	121	116	111	116	110	113	120	115	115	115	115	116	115	120	114	117	69	118	117	69	114	119	117	114	118	120	119	117	117	119	119	114	120	119	119	118	119	119	121	116	116	112	114	114	68	115	119	115	112	118	119	113	117	119	116	119	118	116	93
AP017456	116	114	121	116	121	115	121	112	118	117	120	115	116	120	121	120	118	119	115	66	115	114	66	116	117	117	119	116	117	116	115	116	116	116	119	117	116	116	115	116	116	117	121	120	117	119	119	65	120	116	120	117	118	116	114	113	116	114	116	116	114	92
AY894343	111	109	115	111	115	116	115	106	113	112	115	110	111	115	115	115	113	114	111	65	110	110	65	111	113	112	114	111	112	111	110	112	111	111	114	112	111	111	110	111	111	112	115	115	112	114	114	64	115	111	115	112	114	111	109	108	111	110	111	112	110	87
BD143114	116	114	121	116	121	115	121	112	118	117	120	115	116	120	121	120	118	119	115	66	115	114	66	116	117	117	119	116	117	116	115	116	116	116	119	117	116	116	115	116	116	117	121	120	117	119	119	65	120	116	120	117	118	116	114	113	116	114	116	116	114	92
GQ273492	108	108	112	110	112	106	112	114	110	110	111	110	110	111	112	111	111	110	108	64	108	107	64	108	110	109	110	109	110	109	107	108	109	109	110	110	109	109	108	109	109	110	112	112	108	110	110	63	111	109	111	108	110	109	107	106	109	107	109	109	107	87
KC244182	113	111	118	113	118	113	118	110	118	114	118	112	113	118	118	118	115	117	112	66	112	111	66	113	114	114	117	113	114	113	112	113	113	113	117	114	113	113	112	113	113	114	118	118	115	117	117	65	118	113	118	116	115	113	111	110	113	111	113	113	112	90
KT781098	119	117	117	120	117	112	117	110	114	121	116	115	116	116	117	116	121	115	117	69	119	118	69	115	120	118	115	119	121	120	118	118	120	120	115	121	120	120	119	120	120	121	117	117	113	115	115	68	116	120	116	113	119	120	113	117	120	117	119	119	117	94
KT804738	115	113	120	115	120	115	120	111	118	116	120	114	115	120	120	120	117	119	114	66	114	113	66	115	116	116	119	115	116	115	114	115	115	115	119	116	115	115	114	115	115	116	120	120	117	119	119	65	120	115	120	117	117	115	113	112	115	113	115	115	113	91
MG570131	114	113	115	115	115	110	115	110	112	115	114	117	117	114	115	114	115	113	114	67	113	112	67	111	114	114	113	114	115	114	113	114	114	114	113	115	114	114	113	114	114	115	115	114	111	113	113	66	114	114	114	111	115	114	113	111	114	112	114	114	112	93
MG570132	115	114	116	115	116	111	116	110	113	116	115	117	119	115	116	115	116	114	114	67	114	113	67	112	115	115	114	115	116	115	114	115	115	115	114	116	115	115	114	115	115	116	116	115	112	114	114	66	115	115	115	112	116	115	114	112	115	113	115	115	113	94
MK098185	115	113	120	115	120	115	120	111	118	116	120	114	115	120	120	120	117	119	114	66	114	113	66	115	116	116	119	115	116	115	114	115	115	115	119	116	115	115	114	115	115	116	120	120	117	119	119	65	120	115	120	117	117	115	113	112	115	113	115	115	113	91
MK098186	116	114	121	116	121	115	121	112	118	117	120	115	116	120	121	120	118	119	115	66	115	114	66	116	117	117	119	116	117	116	115	116	116	116	119	117	116	116	115	116	116	117	121	120	117	119	119	65	120	116	120	117	118	116	114	113	116	114	116	116	114	92
MK098187	115	113	120	115	120	115	120	111	118	116	120	114	115	120	120	120	117	119	114	66	114	113	66	115	116	116	119	115	116	115	114	115	115	115	119	116	115	115	114	115	115	116	120	120	117	119	119	65	120	115	120	117	117	115	113	112	115	113	115	115	113	91
MK689685	119	117	118	120	118	113	118	111	115	121	117	115	116	117	118	117	122	116	117	69	119	118	69	116	121	119	116	119	121	120	118	118	120	120	116	121	120	120	119	120	120	121	118	118	114	116	116	68	117	120	117	114	120	120	113	117	120	117	119	119	117	94
MK689686	114	112	119	114	119	114	119	110	117	115	119	113	114	119	119	119	116	120	113	66	113	112	66	114	115	115	118	114	115	114	113	114	114	114	119	115	114	114	113	114	114	115	119	119	116	118	118	65	119	114	119	116	116	114	112	111	114	112	114	114	112	90
MN432490	116	114	115	117	115	111	115	108	112	117	114	114	114	114	115	114	117	113	118	68	115	114	68	114	116	117	114	116	117	117	116	118	117	117	114	117	117	117	116	116	117	117	115	114	111	114	113	67	114	117	114	112	118	116	113	113	116	113	116	117	116	91
MN562489	68	66	66	69	66	65	66	64	66	69	66	67	67	66	66	66	69	66	68	125	68	68	124	65	69	69	66	68	69	69	68	68	69	69	66	69	69	69	68	69	69	69	66	66	65	66	65	124	66	69	66	65	68	68	66	67	68	67	68	67	68	63
MT128666	118	116	115	118	115	110	115	108	112	119	114	113	114	114	115	114	119	113	115	68	119	118	68	113	118	116	113	117	119	118	117	116	118	118	113	119	118	118	118	118	118	119	115	115	111	113	113	67	114	118	114	111	117	119	111	115	119	117	117	118	115	92
MT128667	117	115	114	117	114	110	114	107	111	118	113	112	113	113	114	113	118	112	114	68	118	118	68	112	118	115	112	116	118	117	116	115	117	117	112	118	117	117	117	117	117	118	114	114	110	112	112	67	113	117	113	110	116	118	110	114	118	117	116	117	114	91
MT521409	68	66	66	69	66	65	66	64	66	69	66	67	67	66	66	66	69	66	68	124	68	68	125	65	69	69	66	68	69	69	68	68	69	69	66	69	69	69	68	69	69	69	66	66	65	66	65	124	66	69	66	65	68	68	66	67	68	67	68	67	68	64
MT798582	114	112	116	114	116	111	116	108	113	115	115	111	112	115	116	115	116	114	114	65	113	112	65	116	115	115	115	115	115	115	114	115	115	115	115	115	115	115	114	114	115	115	116	115	112	115	114	64	115	115	115	113	116	114	110	111	114	112	115	114	113	90
MT926123	118	116	117	119	117	113	117	110	114	120	116	114	115	116	117	116	121	115	116	69	118	118	69	115	121	118	115	118	120	119	117	117	119	119	115	120	119	119	118	119	119	120	117	117	113	115	115	68	116	119	116	113	119	119	112	116	119	117	118	118	116	93
MT986830	117	115	117	117	117	112	117	109	114	118	116	114	115	116	117	116	119	115	117	69	116	115	69	115	118	120	116	117	118	118	117	118	118	118	116	118	118	118	117	117	118	118	117	116	113	116	115	68	116	118	116	114	119	117	113	114	117	114	117	117	116	93
MW139932	114	112	119	114	119	114	119	110	117	115	119	113	114	119	119	119	116	118	114	66	113	112	66	115	115	116	119	115	115	115	114	115	115	115	119	115	115	115	114	114	115	115	119	119	116	119	118	65	119	115	119	117	116	114	113	111	114	112	115	114	113	90
MW273353	117	115	116	118	116	111	116	109	113	119	115	114	115	115	116	115	119	114	116	68	117	116	68	115	118	117	115	119	119	119	117	117	119	119	115	119	119	119	118	118	119	119	116	116	112	115	114	67	115	119	115	113	117	118	113	115	118	116	119	117	116	93
MW273354	119	117	117	120	117	112	117	110	114	121	116	115	116	116	117	116	121	115	117	69	119	118	69	115	120	118	115	119	121	120	118	118	120	120	115	121	120	120	119	120	120	121	117	117	113	115	115	68	116	120	116	113	119	120	113	117	120	117	119	119	117	94
MW883593	118	116	116	119	116	111	116	109	113	120	115	114	115	115	116	115	120	114	117	69	118	117	69	115	119	118	115	119	120	120	118	118	120	120	115	120	120	120	119	119	120	120	116	116	112	115	114	68	115	120	115	113	118	119	113	116	119	116	119	118	117	93
MW883594	118	116	115	117	115	110	115	107	112	118	114	113	114	114	115	114	118	113	116	68	117	116	68	114	117	117	114	117	118	118	118	117	118	118	114	118	118	118	118	117	118	118	115	114	111	114	113	67	114	118	114	112	117	118	112	114	118	115	117	117	115	92
MW883595	117	115	116	117	116	112	116	108	113	118	115	114	115	115	116	115	118	114	118	68	116	115	68	115	117	118	115	117	118	118	117	119	118	118	115	118	118	118	117	117	118	118	116	115	112	115	114	67	115	118	115	113	119	117	113	114	117	114	117	118	117	92
MW883596	118	116	116	119	116	111	116	109	113	120	115	114	115	115	116	115	120	114	117	69	118	117	69	115	119	118	115	119	120	120	118	118	120	120	115	120	120	120	119	119	120	120	116	116	112	115	114	68	115	120	115	113	118	119	113	116	119	116	119	118	117	93
MW883597	118	116	116	119	116	111	116	109	113	120	115	114	115	115	116	115	120	114	117	69	118	117	69	115	119	118	115	119	120	120	118	118	120	120	115	120	120	120	119	119	120	120	116	116	112	115	114	68	115	120	115	113	118	119	113	116	119	116	119	118	117	93
MW883598	114	112	119	114	119	114	119	110	117	115	119	113	114	119	119	119	116	119	114	66	113	112	66	115	115	116	119	115	115	115	114	115	115	115	120	115	115	115	114	114	115	115	119	119	116	119	118	65	119	115	119	117	116	114	113	111	114	112	115	114	113	90
MW883599	119	117	117	120	117	112	117	110	114	121	116	115	116	116	117	116	121	115	117	69	119	118	69	115	120	118	115	119	121	120	118	118	120	120	115	121	120	120	119	120	120	121	117	117	113	115	115	68	116	120	116	113	119	120	113	117	120	117	119	119	117	94
MW883600	118	116	116	119	116	111	116	109	113	120	115	114	115	115	116	115	120	114	117	69	118	117	69	115	119	118	115	119	120	120	118	118	120	120	115	120	120	120	119	119	120	120	116	116	112	115	114	68	115	120	115	113	118	119	113	116	119	116	119	118	117	93
MW883601	118	116	116	119	116	111	116	109	113	120	115	114	115	115	116	115	120	114	117	69	118	117	69	115	119	118	115	119	120	120	118	118	120	120	115	120	120	120	119	119	120	120	116	116	112	115	114	68	115	120	115	113	118	119	113	116	119	116	119	118	117	93
MW883602	118	116	115	118	115	110	115	108	112	119	114	113	114	114	115	114	119	113	116	68	118	117	68	114	118	117	114	118	119	119	118	117	119	119	114	119	119	119	119	118	119	119	115	115	111	114	113	67	114	119	114	112	117	119	112	115	119	116	118	118	116	92
MW883603	118	116	116	119	116	111	116	109	113	120	115	114	115	115	116	115	120	114	116	69	118	117	69	114	119	117	114	118	120	119	117	117	119	119	114	120	119	119	118	120	119	120	116	116	112	114	114	68	115	119	115	112	118	119	112	116	119	116	118	118	116	94
MW883606	118	116	116	119	116	111	116	109	113	120	115	114	115	115	116	115	120	114	117	69	118	117	69	115	119	118	115	119	120	120	118	118	120	120	115	120	120	120	119	119	120	120	116	116	112	115	114	68	115	120	115	113	118	119	113	116	119	116	119	118	117	93
NC_003494	119	117	117	121	117	112	117	110	114	121	116	115	116	116	117	116	121	115	117	69	119	118	69	115	120	118	115	119	121	120	118	118	120	120	115	121	120	120	119	120	120	122	117	117	113	115	115	68	116	120	116	113	119	120	113	118	120	117	120	119	117	94
OK042108	116	114	121	116	121	115	121	112	118	117	120	115	116	120	121	120	118	119	115	66	115	114	66	116	117	117	119	116	117	116	115	116	116	116	119	117	116	116	115	116	116	117	121	120	117	119	119	65	120	116	120	117	118	116	114	113	116	114	116	116	114	92
OK042109	115	113	120	116	120	115	120	112	118	117	120	114	115	120	120	120	118	119	114	66	115	114	66	115	117	116	119	116	117	116	114	115	116	116	119	117	116	116	115	116	116	117	120	121	117	119	119	65	120	116	120	117	117	116	113	113	116	114	116	116	114	91
OL774653	112	110	117	112	117	112	117	108	115	113	117	111	112	117	117	117	114	116	111	65	111	110	65	112	113	113	116	112	113	112	111	112	112	112	116	113	112	112	111	112	112	113	117	117	117	116	116	64	117	112	117	114	114	112	110	109	112	110	112	112	110	90
OL774654	114	112	119	114	119	114	119	110	117	115	119	113	114	119	119	119	116	118	114	66	113	112	66	115	115	116	119	115	115	115	114	115	115	115	119	115	115	115	114	114	115	115	119	119	116	119	118	65	119	115	119	117	116	114	113	111	114	112	115	114	113	90
OL774655	114	112	119	114	119	114	119	110	117	115	119	113	114	119	119	119	116	118	113	65	113	112	65	114	115	115	118	114	115	114	113	114	114	114	118	115	114	114	113	114	114	115	119	119	116	118	119	64	119	114	119	116	116	114	112	111	114	112	114	114	112	91
OM037668	67	65	65	68	65	64	65	63	65	68	65	66	66	65	65	65	68	65	67	124	67	67	124	64	68	68	65	67	68	68	67	67	68	68	65	68	68	68	67	68	68	68	65	65	64	65	64	125	65	68	65	64	67	67	65	66	67	66	67	66	67	63
ON075463	115	113	120	115	120	115	120	111	118	116	120	114	115	120	120	120	117	119	114	66	114	113	66	115	116	116	119	115	116	115	114	115	115	115	119	116	115	115	114	115	115	116	120	120	117	119	119	65	120	115	120	117	117	115	113	112	115	113	115	115	113	91
ON212400	118	116	116	119	116	111	116	109	113	120	115	114	115	115	116	115	120	114	117	69	118	117	69	115	119	118	115	119	120	120	118	118	120	120	115	120	120	120	119	119	120	120	116	116	112	115	114	68	115	120	115	113	118	119	113	116	119	116	119	118	117	93
ON740976	115	113	120	115	120	115	120	111	118	116	120	114	115	120	120	120	117	119	114	66	114	113	66	115	116	116	119	115	116	115	114	115	115	115	119	116	115	115	114	115	115	116	120	120	117	119	119	65	120	115	120	117	117	115	113	112	115	113	115	115	113	91
ON743042	112	110	117	112	117	112	117	108	116	113	117	111	112	117	117	117	114	116	112	65	111	110	65	113	113	114	117	113	113	113	112	113	113	113	117	113	113	113	112	112	113	113	117	117	114	117	116	64	117	113	117	117	114	112	111	109	112	110	113	112	112	88
OP009387	118	116	118	118	118	114	118	110	115	119	117	115	116	117	118	117	120	116	118	68	117	116	68	116	119	119	116	117	119	118	117	119	118	118	116	119	118	118	117	118	118	119	118	117	114	116	116	67	117	118	117	114	121	118	113	115	118	115	117	119	117	93
OP896201	119	117	116	119	116	111	116	109	113	120	115	114	115	115	116	115	120	114	116	68	119	118	68	114	119	117	114	118	120	119	118	117	119	119	114	120	119	119	119	119	119	120	116	116	112	114	114	67	115	119	115	112	118	120	112	116	120	117	118	119	116	93
OQ475017	112	110	114	113	114	109	114	107	111	113	113	113	114	113	114	113	113	112	113	66	111	110	66	110	112	113	113	113	113	113	112	113	113	113	113	113	113	113	112	112	113	113	114	113	110	113	112	65	113	113	113	111	113	112	117	109	112	110	113	112	111	90
OQ513807	115	113	113	117	113	108	113	106	110	117	112	111	112	112	113	112	117	111	113	67	115	114	67	111	116	114	111	115	117	116	114	114	116	116	111	117	116	116	115	116	116	118	113	113	109	111	111	66	112	116	112	109	115	116	109	118	116	113	116	115	113	91
OR356116	119	117	116	119	116	111	116	109	113	120	115	114	115	115	116	115	120	114	116	68	119	118	68	114	119	117	114	118	120	119	118	117	119	119	114	120	119	119	119	119	119	120	116	116	112	114	114	67	115	119	115	112	118	120	112	116	120	117	118	119	116	93
OR536350	116	114	114	116	114	110	114	107	111	117	113	112	113	113	114	113	117	112	113	67	117	117	67	112	117	114	112	116	117	116	115	114	116	116	112	117	116	116	116	116	116	117	114	114	110	112	112	66	113	116	113	110	115	117	110	113	117	117	116	116	113	91
OR670976	117	115	116	119	116	111	116	109	113	119	115	114	115	115	116	115	119	114	116	68	117	116	68	115	118	117	115	119	119	119	117	117	119	119	115	119	119	119	118	118	119	120	116	116	112	115	114	67	115	119	115	113	117	118	113	116	118	116	120	117	116	93
PP151097	118	116	116	118	116	112	116	109	113	119	115	114	115	115	116	115	119	114	117	67	118	117	67	114	118	117	114	117	119	118	117	118	118	118	114	119	118	118	118	118	118	119	116	116	112	114	114	66	115	118	115	112	119	119	112	115	119	116	117	120	117	92
PP974677	115	113	114	116	114	110	114	107	112	117	113	112	113	113	114	113	117	112	116	68	115	114	68	113	116	116	113	116	117	117	115	117	117	117	113	117	117	117	116	116	117	117	114	114	110	113	112	67	113	117	113	112	117	116	111	113	116	113	116	117	118	90
