Orthogroup	OM037668.1	NC_005946.1
OG0000000	OM037668.1_00035	NC_005946.1_00010
OG0000001	OM037668.1_00056	NC_005946.1_00053
OG0000002	OM037668.1_00057	NC_005946.1_00091
OG0000003	OM037668.1_00050	NC_005946.1_00057
OG0000004	OM037668.1_00076	NC_005946.1_00028
OG0000005	OM037668.1_00080	NC_005946.1_00014
OG0000006	OM037668.1_00021	NC_005946.1_00042
OG0000007	OM037668.1_00084	NC_005946.1_00002
OG0000008	OM037668.1_00038	NC_005946.1_00095
OG0000009	OM037668.1_00077	NC_005946.1_00092
OG0000011	OM037668.1_00009	NC_005946.1_00011
OG0000012	OM037668.1_00041	NC_005946.1_00060
OG0000013	OM037668.1_00098	NC_005946.1_00022
OG0000014	OM037668.1_00078	NC_005946.1_00016
OG0000015	OM037668.1_00004	NC_005946.1_00021
OG0000016	OM037668.1_00089	NC_005946.1_00082
OG0000017	OM037668.1_00124	NC_005946.1_00087
OG0000018	OM037668.1_00073	NC_005946.1_00023
OG0000019	OM037668.1_00090	NC_005946.1_00094
OG0000020	OM037668.1_00123	NC_005946.1_00083
OG0000021	OM037668.1_00013	NC_005946.1_00038
OG0000022	OM037668.1_00127	NC_005946.1_00061
OG0000023	OM037668.1_00113	NC_005946.1_00089
OG0000024	OM037668.1_00064	NC_005946.1_00067
OG0000026	OM037668.1_00074	NC_005946.1_00086
OG0000027	OM037668.1_00087	NC_005946.1_00049
OG0000028	OM037668.1_00110	NC_005946.1_00085
OG0000151	OM037668.1_00001	NC_005946.1_00052
OG0000213	OM037668.1_00063	NC_005946.1_00007
