Orthogroup	OM037668.1	LS484712.1
OG0000000	OM037668.1_00035	LS484712.1_00114
OG0000001	OM037668.1_00056	LS484712.1_00095
OG0000002	OM037668.1_00057	LS484712.1_00142
OG0000003	OM037668.1_00050	LS484712.1_00187
OG0000005	OM037668.1_00080	LS484712.1_00256
OG0000006	OM037668.1_00021	LS484712.1_00040
OG0000007	OM037668.1_00084	LS484712.1_00234, LS484712.1_00050
OG0000008	OM037668.1_00038	LS484712.1_00248
OG0000009	OM037668.1_00077	LS484712.1_00130
OG0000011	OM037668.1_00009	LS484712.1_00203
OG0000012	OM037668.1_00041	LS484712.1_00200
OG0000013	OM037668.1_00098	LS484712.1_00143
OG0000014	OM037668.1_00078	LS484712.1_00202
OG0000015	OM037668.1_00004	LS484712.1_00135
OG0000016	OM037668.1_00089	LS484712.1_00048
OG0000017	OM037668.1_00124	LS484712.1_00240
OG0000018	OM037668.1_00073	LS484712.1_00053
OG0000019	OM037668.1_00090	LS484712.1_00192
OG0000020	OM037668.1_00123	LS484712.1_00188
OG0000021	OM037668.1_00013	LS484712.1_00096
OG0000022	OM037668.1_00127	LS484712.1_00194
OG0000023	OM037668.1_00113	LS484712.1_00117
OG0000024	OM037668.1_00064	LS484712.1_00149
OG0000211	OM037668.1_00017	LS484712.1_00024
