Orthogroup	KT804738.1	MN803438.1
OG0000000	KT804738.1_00029	MN803438.1_00124
OG0000001	KT804738.1_00007	MN803438.1_00023
OG0000003	KT804738.1_00008	MN803438.1_00101, MN803438.1_00056
OG0000004	KT804738.1_00015	MN803438.1_00113
OG0000005	KT804738.1_00028	MN803438.1_00106
OG0000006	KT804738.1_00072	MN803438.1_00142
OG0000007	KT804738.1_00086	MN803438.1_00027
OG0000008	KT804738.1_00109	MN803438.1_00104
OG0000009	KT804738.1_00111	MN803438.1_00109
OG0000010	KT804738.1_00005	MN803438.1_00089
OG0000011	KT804738.1_00021	MN803438.1_00128
OG0000012	KT804738.1_00030	MN803438.1_00068
OG0000013	KT804738.1_00032	MN803438.1_00035
OG0000014	KT804738.1_00034	MN803438.1_00013
OG0000015	KT804738.1_00055	MN803438.1_00007
OG0000016	KT804738.1_00060	MN803438.1_00049
OG0000017	KT804738.1_00082	MN803438.1_00097
OG0000018	KT804738.1_00083	MN803438.1_00122
OG0000019	KT804738.1_00104	MN803438.1_00051
OG0000020	KT804738.1_00119	MN803438.1_00070
OG0000021	KT804738.1_00120	MN803438.1_00046
OG0000022	KT804738.1_00043	MN803438.1_00077
OG0000023	KT804738.1_00092	MN803438.1_00071
OG0000024	KT804738.1_00107	MN803438.1_00126
OG0000026	KT804738.1_00084	MN803438.1_00037
OG0000027	KT804738.1_00046	MN803438.1_00054
OG0000028	KT804738.1_00006	MN803438.1_00145
