Orthogroup	KT804738.1	HF920633.1
OG0000000	KT804738.1_00029	HF920633.1_00044
OG0000001	KT804738.1_00007	HF920633.1_00073
OG0000003	KT804738.1_00008	HF920633.1_00069
OG0000004	KT804738.1_00015	HF920633.1_00127
OG0000005	KT804738.1_00028	HF920633.1_00043
OG0000006	KT804738.1_00072	HF920633.1_00025
OG0000007	KT804738.1_00086	HF920633.1_00091
OG0000008	KT804738.1_00109	HF920633.1_00079
OG0000009	KT804738.1_00111	HF920633.1_00122
OG0000010	KT804738.1_00005	HF920633.1_00097
OG0000011	KT804738.1_00021	HF920633.1_00001
OG0000012	KT804738.1_00030	HF920633.1_00080
OG0000013	KT804738.1_00032	HF920633.1_00158
OG0000014	KT804738.1_00034	HF920633.1_00175
OG0000015	KT804738.1_00055	HF920633.1_00067
OG0000016	KT804738.1_00060	HF920633.1_00118
OG0000017	KT804738.1_00082	HF920633.1_00163
OG0000018	KT804738.1_00083	HF920633.1_00094
OG0000019	KT804738.1_00104	HF920633.1_00003
OG0000020	KT804738.1_00119	HF920633.1_00138
OG0000021	KT804738.1_00120	HF920633.1_00058
OG0000022	KT804738.1_00043	HF920633.1_00017
OG0000025	KT804738.1_00061	HF920633.1_00047
OG0000028	KT804738.1_00006	HF920633.1_00030
