Orthogroup	KT804738.1	MG570132.1
OG0000000	KT804738.1_00029	MG570132.1_00031
OG0000001	KT804738.1_00007	MG570132.1_00007, MG570132.1_00008
OG0000002	KT804738.1_00073	MG570132.1_00074
OG0000003	KT804738.1_00008	MG570132.1_00009
OG0000004	KT804738.1_00015	MG570132.1_00016
OG0000005	KT804738.1_00028	MG570132.1_00030
OG0000006	KT804738.1_00072	MG570132.1_00073
OG0000007	KT804738.1_00086	MG570132.1_00087
OG0000008	KT804738.1_00109	MG570132.1_00108
OG0000009	KT804738.1_00111	MG570132.1_00110
OG0000010	KT804738.1_00005	MG570132.1_00005
OG0000011	KT804738.1_00021	MG570132.1_00023
OG0000012	KT804738.1_00030	MG570132.1_00032
OG0000013	KT804738.1_00032	MG570132.1_00034
OG0000014	KT804738.1_00034	MG570132.1_00036
OG0000015	KT804738.1_00055	MG570132.1_00057
OG0000016	KT804738.1_00060	MG570132.1_00063
OG0000017	KT804738.1_00082	MG570132.1_00083
OG0000018	KT804738.1_00083	MG570132.1_00084
OG0000019	KT804738.1_00104	MG570132.1_00103
OG0000020	KT804738.1_00119	MG570132.1_00118
OG0000021	KT804738.1_00120	MG570132.1_00119
OG0000022	KT804738.1_00043	MG570132.1_00045
OG0000023	KT804738.1_00092	MG570132.1_00092
OG0000024	KT804738.1_00107	MG570132.1_00106
OG0000025	KT804738.1_00061	MG570132.1_00064
OG0000026	KT804738.1_00084	MG570132.1_00085
OG0000027	KT804738.1_00046	MG570132.1_00048
OG0000028	KT804738.1_00006	MG570132.1_00006
OG0000029	KT804738.1_00058	MG570132.1_00061
OG0000030	KT804738.1_00001	MG570132.1_00001
OG0000032	KT804738.1_00085	MG570132.1_00086
OG0000033	KT804738.1_00121	MG570132.1_00120
OG0000034	KT804738.1_00013	MG570132.1_00014
OG0000035	KT804738.1_00014	MG570132.1_00015
OG0000036	KT804738.1_00019	MG570132.1_00020
OG0000037	KT804738.1_00020	MG570132.1_00021
OG0000038	KT804738.1_00022	MG570132.1_00024
OG0000039	KT804738.1_00023	MG570132.1_00025
OG0000040	KT804738.1_00031	MG570132.1_00033
OG0000041	KT804738.1_00035	MG570132.1_00037
OG0000042	KT804738.1_00047	MG570132.1_00049
OG0000043	KT804738.1_00048	MG570132.1_00050
OG0000044	KT804738.1_00053	MG570132.1_00055
OG0000045	KT804738.1_00054	MG570132.1_00056
OG0000047	KT804738.1_00056	MG570132.1_00059
OG0000048	KT804738.1_00057	MG570132.1_00060
OG0000049	KT804738.1_00074	MG570132.1_00075
OG0000050	KT804738.1_00078	MG570132.1_00079
OG0000051	KT804738.1_00079	MG570132.1_00080
OG0000052	KT804738.1_00091	MG570132.1_00091
OG0000053	KT804738.1_00093	MG570132.1_00093
OG0000054	KT804738.1_00096	MG570132.1_00096
