Orthogroup	MN562489.1	KF938901.1
OG0000000	MN562489.1_00102	KF938901.1_00126
OG0000001	MN562489.1_00080	KF938901.1_00044
OG0000003	MN562489.1_00081	KF938901.1_00080
OG0000004	MN562489.1_00087	KF938901.1_00005
OG0000005	MN562489.1_00099	KF938901.1_00067
OG0000006	MN562489.1_00116	KF938901.1_00072
OG0000007	MN562489.1_00052	KF938901.1_00053
OG0000008	MN562489.1_00060	KF938901.1_00043
OG0000009	MN562489.1_00059	KF938901.1_00114
OG0000010	MN562489.1_00124	KF938901.1_00124
OG0000011	MN562489.1_00096	KF938901.1_00054
OG0000012	MN562489.1_00012	KF938901.1_00047
OG0000013	MN562489.1_00011	KF938901.1_00123
OG0000014	MN562489.1_00008	KF938901.1_00023
OG0000015	MN562489.1_00038	KF938901.1_00060
OG0000016	MN562489.1_00128	KF938901.1_00092
OG0000017	MN562489.1_00046	KF938901.1_00012
OG0000018	MN562489.1_00047	KF938901.1_00046
OG0000019	MN562489.1_00063	KF938901.1_00025
OG0000020	MN562489.1_00058	KF938901.1_00074
OG0000021	MN562489.1_00133	KF938901.1_00095
OG0000022	MN562489.1_00023	KF938901.1_00031
OG0000025	MN562489.1_00113	KF938901.1_00093
OG0000149	MN562489.1_00069	KF938901.1_00108
